"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,1,0.7441667,0.7686667,0.7563633384,0.758733333328,0.00617078929824668,1,"small",0.993842447576975,"nk","bla bla","nk",0.154063956979798,"nk",0,0,0
"2",2,2,0.71858335,0.76608336,0.7474266724,0.758733333328,0.0115161987964267,1,"large",0.999999999869282,"nk","bla bla","nk",5.11961217539172e-05,"k",0.56,0,0
"3",3,3,0.6845,0.76175,0.7370433312,0.758733333328,0.0184903046913052,1,"large",0.999999999999999,"nk","bla bla","nk",9.0950560285331e-07,"k",0.68,0.08,0
"4",4,4,0.63558334,0.7531667,0.7212900048,0.758733333328,0.0331822098673922,1,"large",0.999999999999998,"nk","bla bla","nk",1.13162664293727e-06,"k",0.88,0.28,0.04
"5",5,5,0.5664167,0.73408335,0.6850400036,0.758733333328,0.0431860131525851,1,"large",1,"nk","bla bla","nk",4.37950101671158e-11,"k",1,0.64,0.28
"6",6,6,0.30391666,0.6720833,0.5304966668,0.758733333328,0.0963832693413979,1,"large",1,"nk","bla bla","nk",8.01614513901331e-16,"k",1,1,0.96
"7",7,7,0.13483334,0.5208333,0.3061899976,0.758733333328,0.0913366578163763,1,"large",1,"nk","bla bla","nk",5.7782323279142e-29,"k",1,1,1
"8",8,8,0.14441666,0.41758335,0.2644733356,0.758733333328,0.0795453469049146,1,"large",1,"nk","bla bla","nk",2.12534088515208e-33,"k",1,1,1
"9",9,9,0.47125,0.7175,0.6152166628,0.758733333328,0.0652276316868295,1,"large",1,"nk","bla bla","nk",1.1426096016552e-14,"k",1,0.96,0.76
"10",10,10,0.18691666,0.56,0.3571366696,0.758733333328,0.117082981244619,1,"large",1,"nk","bla bla","nk",4.35242000287615e-22,"k",1,1,1
"11",11,11,0.1315,0.44133332,0.2409833316,0.758733333328,0.0794032027523078,1,"large",1,"nk","bla bla","nk",2.32908054516512e-34,"k",1,1,1
"12",12,12,0.09933333,0.27716666,0.1809533328,0.758733333328,0.0535627668751208,1,"large",1,"nk","bla bla","nk",1.63927660134307e-44,"k",1,1,1
"13",13,13,0.17125,0.68075,0.5573033408,0.758733333328,0.105340564129911,1,"large",1,"nk","bla bla","nk",1.12428310222315e-12,"k",1,1,0.88
"14",14,14,0.10666667,0.48941666,0.2667733344,0.758733333328,0.0962658034296093,1,"large",1,"nk","bla bla","nk",1.4385345393486e-29,"k",1,1,1
"15",15,15,0.09983333,0.31308332,0.1849366648,0.758733333328,0.0572905206918442,1,"large",1,"nk","bla bla","nk",5.27012533433059e-43,"k",1,1,1
"16",16,16,0.09875,0.23625,0.13770000072,0.758733333328,0.03477833256399,1,"large",1,"nk","bla bla","nk",9.01002568945294e-55,"k",1,1,1
"17",17,17,0.34358335,0.65708333,0.5318366712,0.758733333328,0.087839161302229,1,"large",1,"nk","bla bla","nk",3.32986350538737e-17,"k",1,1,0.96
"18",18,18,0.1025,0.42433333,0.2249799992,0.758733333328,0.0944068528223868,1,"large",1,"nk","bla bla","nk",1.52091867288968e-31,"k",1,1,1
"19",19,19,0.10233333,0.2675,0.16632666684,0.758733333328,0.0474422589460376,1,"large",1,"nk","bla bla","nk",1.71684970514126e-47,"k",1,1,1
"20",20,20,0.09875,0.20641667,0.11891000036,0.758733333328,0.0249885731636021,1,"large",1,"nk","bla bla","nk",4.99960825712047e-62,"k",1,1,1
