"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,1,0.75941667,0.77916667,0.7681250005,0.760437500005,0.00504406755650881,1,"large",0.999999999991418,"nk","bla bla","nk",2.93270475862166e-05,"k",0.24,0,0
"2",2,2,0.748583333,0.78141667,0.7668666668,0.760437500005,0.00787073045158625,1,"large",0.999995316911073,"nk","bla bla","nk",0.00418072260995574,"k",0.24,0,0
"3",3,3,0.7055,0.78175,0.7294500003,0.760437500005,0.0253105621574189,1,"large",0.999999999999983,"nk","bla bla","nk",4.24952948350624e-06,"k",0.64,0.2,0
"4",4,4,0.73833333,0.767333333,0.75308749885,0.760437500005,0.00871546957622303,1,"large",0.999998587232016,"nk","bla bla","nk",0.00249539044665685,"k",0.24,0,0
"5",5,5,0.714,0.78708333,0.7621125003,0.760437500005,0.0259110218659272,1,"negligible",0.953854672484796,"nk","bla bla","nk",0.778374354887826,"nk",0.68,0.08,0
"6",6,6,0.7455,0.76825,0.7601125007,0.760437500005,0.00633906062190085,1,"negligible",0.951544468658956,"nk","bla bla","nk",0.860245912224261,"nk",0.24,0,0
"7",7,7,0.72983333,0.784333333,0.7495083323,0.760437500005,0.0170068125137482,1,"large",0.999973497952256,"nk","bla bla","nk",0.00911298719923186,"k",0.64,0,0
"8",8,8,0.74025,0.769583333,0.75412083335,0.760437500005,0.00800910831117988,1,"large",0.999991983510334,"nk","bla bla","nk",0.00530022347395959,"k",0.36,0,0
"9",9,9,0.75725,0.78175,0.7726458328,0.760437500005,0.00697740019236746,1,"large",1,"nk","bla bla","nk",2.39877809507365e-07,"k",0.44,0,0
"10",10,10,0.72033333,0.76875,0.74221666645,0.760437500005,0.0141138180898196,1,"large",0.999999999999991,"nk","bla bla","nk",3.5821307076386e-06,"k",0.6,0,0
"11",11,11,0.742416667,0.7645,0.752775,0.760437500005,0.00646561402492469,1,"large",0.999999997993178,"nk","bla bla","nk",0.000191779129921149,"k",0.36,0,0
