"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,1,0.7193333333,0.7480833333,0.732570833325,0.760437500005,0.00766129078252868,1,"large",1,"nk","bla bla","nk",4.905907376303e-16,"k",0.8,0,0
"2",2,3,0.7215833333,0.749,0.73504999999,0.760437500005,0.00654027111525158,1,"large",1,"nk","bla bla","nk",3.63029015491118e-16,"k",0.76,0,0
"3",3,5,0.7076666667,0.7441666667,0.72779166666,0.760437500005,0.00884538651088241,1,"large",1,"nk","bla bla","nk",8.3405181846065e-17,"k",0.8,0,0
"4",4,6,0.7460833333,0.7765833333,0.75899583333,0.760437500005,0.00746211067553202,1,"small",0.969726057712364,"nk","bla bla","nk",0.48275324758508,"nk",0.2,0,0
"5",5,7,0.7099166667,0.7491666667,0.72925416667,0.760437500005,0.00929359785853203,1,"large",1,"nk","bla bla","nk",1.16103651262741e-15,"k",0.8,0,0
"6",6,9,0.71725,0.7518333333,0.734479166675,0.760437500005,0.0103880088185843,1,"large",1,"nk","bla bla","nk",3.48228406975619e-12,"k",0.72,0,0
"7",7,11,0.7434166667,0.7658333333,0.75555,0.760437500005,0.00605236649156722,1,"large",0.999972120482945,"nk","bla bla","nk",0.00932899534911326,"k",0.16,0,0
"8",8,12,0.7305833333,0.7650833333,0.75194583332,0.760437500005,0.00759964387103819,1,"large",0.999999997892797,"nk","bla bla","nk",0.000195211171182634,"k",0.4,0,0
"9",9,14,0.6939166667,0.7294166667,0.708458333335,0.760437500005,0.00896054134374444,1,"large",1,"nk","bla bla","nk",1.59564370918093e-23,"k",0.8,0.56,0
"10",10,16,0.7625,0.78725,0.775974999995,0.760437500005,0.00655978466560402,1,"large",1,"nk","bla bla","nk",4.61590461124728e-10,"k",0.64,0,0
