"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.7465,0.77025,0.759896666668,0.758733333328,0.0056562035724356,1,"small",0.971298413191324,"nk","bla bla","nk",0.459574725463081,"nk",0.28,0,0
"2",2,10,0.7425,0.7700833333,0.757709999992,0.758733333328,0.0066889869485727,1,"negligible",0.964945692278954,"nk","bla bla","nk",0.55375105540314,"nk",0.36,0,0
"3",3,25,0.73875,0.7698333333,0.75345666666,0.758733333328,0.00832465242180373,1,"medium",0.999957922526072,"nk","bla bla","nk",0.0105167241459207,"k",0.44,0,0
"4",4,50,0.702,0.7464166667,0.7276,0.758733333328,0.0106237744482403,1,"large",1,"nk","bla bla","nk",1.95606053258379e-17,"k",0.96,0.04,0
"5",5,75,0.6700833333,0.6965833333,0.683853333324,0.758733333328,0.00719041929052381,1,"large",1,"nk","bla bla","nk",2.29050282813451e-39,"k",1,1,0
"6",6,80,0.6598333333,0.6990833333,0.68099,0.758733333328,0.00847102633276064,1,"large",1,"nk","bla bla","nk",7.09475098892546e-38,"k",1,1,0
"7",7,85,0.6598333333,0.6959166667,0.681360000012,0.758733333328,0.00852718013202271,1,"large",1,"nk","bla bla","nk",1.10336817091013e-37,"k",1,1,0.04
"8",8,90,0.665,0.6919166667,0.679203333332,0.758733333328,0.00685012672599119,1,"large",1,"nk","bla bla","nk",3.25492775570741e-41,"k",1,1,0
"9",9,95,0.66175,0.6970833333,0.67842666666,0.758733333328,0.00847696770056577,1,"large",1,"nk","bla bla","nk",1.60219927475067e-38,"k",1,1,0.04
"10",10,99,0.66525,0.6943333333,0.680899999996,0.758733333328,0.007715499677018,1,"large",1,"nk","bla bla","nk",3.27736853536804e-39,"k",1,1,0
"11",11,100,0.6684166667,0.69125,0.681396666676,0.758733333328,0.0062137038694891,1,"large",1,"nk","bla bla","nk",7.90723427393943e-42,"k",1,1,0
