"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.7411666667,0.7691666667,0.759776666676,0.758733333328,0.00605490502815234,1,"negligible",0.966971606907126,"nk","bla bla","nk",0.52239253223672,"nk",0.32,0,0
"2",2,10,0.751,0.7700833333,0.760523333324,0.758733333328,0.00584302369681303,1,"small",0.985949332648598,"nk","bla bla","nk",0.265160457710728,"nk",0.28,0,0
"3",3,25,0.7404166667,0.7651666667,0.754796666676,0.758733333328,0.0060481803979333,1,"medium",0.999864485571069,"nk","bla bla","nk",0.0187551519122554,"k",0.24,0,0
"4",4,50,0.7415,0.7625833333,0.752543333336,0.758733333328,0.00533632293422392,1,"large",0.999999997146087,"nk","bla bla","nk",0.000165458487008451,"k",0.32,0,0
"5",5,75,0.7259166667,0.7554166667,0.740923333332,0.758733333328,0.00710018094293886,1,"large",1,"nk","bla bla","nk",2.52752840257387e-13,"k",0.8,0,0
"6",6,80,0.7189166667,0.74725,0.735863333336,0.758733333328,0.00887264835262937,1,"large",1,"nk","bla bla","nk",9.46787902106786e-15,"k",0.92,0,0
"7",7,85,0.7155,0.7410833333,0.728393333328,0.758733333328,0.00756126673793142,1,"large",1,"nk","bla bla","nk",2.94548197089707e-21,"k",1,0,0
"8",8,90,0.7024166667,0.744,0.725730000008,0.758733333328,0.010216303005813,1,"large",1,"nk","bla bla","nk",6.37136353154126e-19,"k",1,0.08,0
"9",9,95,0.685,0.73325,0.714663333336,0.758733333328,0.0134277576650692,1,"large",1,"nk","bla bla","nk",5.14982069655074e-20,"k",1,0.32,0
"10",10,99,0.68125,0.7213333333,0.70479333334,0.758733333328,0.0112217526062191,1,"large",1,"nk","bla bla","nk",1.93971259038018e-26,"k",1,0.52,0
"11",11,100,0.6880833333,0.7178333333,0.703326666664,0.758733333328,0.0072709196878323,1,"large",1,"nk","bla bla","nk",3.60363170127803e-33,"k",1,0.68,0
