"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.6859166667,0.76925,0.735846666668,0.758733333328,0.0240199290280432,1,"large",0.999999999978876,"nk","bla bla","nk",2.63273914396913e-05,"k",0.64,0.16,0
"2",2,10,0.448,0.757,0.596300000008,0.758733333328,0.09233231485524,1,"large",1,"nk","bla bla","nk",1.49148925150677e-11,"k",0.88,0.8,0.8
"3",3,25,0.2910833333,0.7524166667,0.591206666668,0.758733333328,0.186641390784613,1,"large",0.999999999906462,"nk","bla bla","nk",4.52426573926114e-05,"k",0.84,0.4,0.4
"4",4,50,0.5818333333,0.7350833333,0.660370000004,0.758733333328,0.052352515939895,1,"large",1,"nk","bla bla","nk",2.21613241312772e-12,"k",1,0.8,0.48
"5",5,75,0.27625,0.62675,0.475503333344,0.758733333328,0.109286137132885,1,"large",1,"nk","bla bla","nk",2.87017032655927e-17,"k",1,1,1
"6",6,80,0.5815,0.7556666667,0.699706666664,0.758733333328,0.0586738775935111,1,"large",0.999999999999344,"nk","bla bla","nk",7.8155783467013e-06,"k",0.92,0.36,0.2
"7",7,85,0.4471666667,0.6324166667,0.557479999996,0.758733333328,0.0489238725053642,1,"large",1,"nk","bla bla","nk",2.45580641272709e-25,"k",1,1,1
"8",8,90,0.2846666667,0.7656666667,0.545303333344,0.758733333328,0.180998648959145,1,"large",1,"nk","bla bla","nk",3.64739506853358e-07,"k",0.88,0.6,0.6
"9",9,95,0.4114166667,0.73675,0.601380000008,0.758733333328,0.104105654572529,1,"large",1,"nk","bla bla","nk",1.07083448932227e-09,"k",1,0.8,0.64
"10",10,99,0.2575,0.5753333333,0.417596666672,0.758733333328,0.111415260830529,1,"large",1,"nk","bla bla","nk",4.44599599174647e-20,"k",1,1,1
