Mutation Number,Layer Num,Accuracy,Loss
0,0,0.100666665,2.302594926
1,0,0.1025,2.302624784
2,0,0.099583335,2.302599921
3,0,0.09758333,2.302625754
4,0,0.09875,2.302621424
5,0,0.10191666,2.302603167
6,0,0.10041667,2.302556458
7,0,0.10366666,2.302553453
8,0,0.10333333,2.302527836
9,0,0.10108333,2.302546694
10,0,0.100083336,2.302675478
11,0,0.09841666,2.302646578
12,0,0.10025,2.302584643
13,0,0.10325,2.302643319
14,0,0.0995,2.302564175
15,0,0.097166665,2.302581779
16,0,0.09641667,2.302618892
17,0,0.09841666,2.30257056
18,0,0.100833334,2.302501684
19,0,0.09658334,2.302673737
0,1,0.100666665,2.302594926
1,1,0.1025,2.302624784
2,1,0.099583335,2.302599921
3,1,0.09758333,2.302625754
4,1,0.09875,2.302621424
5,1,0.10191666,2.302603167
6,1,0.10041667,2.302556458
7,1,0.10366666,2.302553453
8,1,0.10333333,2.302527836
9,1,0.10108333,2.302546694
10,1,0.100083336,2.302675478
11,1,0.09841666,2.302646578
12,1,0.10025,2.302584643
13,1,0.10325,2.302643319
14,1,0.0995,2.302564175
15,1,0.097166665,2.302581779
16,1,0.09641667,2.302618892
17,1,0.09841666,2.30257056
18,1,0.100833334,2.302501684
19,1,0.09658334,2.302673737
0,2,0.100666665,2.302594926
1,2,0.1025,2.302624784
2,2,0.099583335,2.302599921
3,2,0.09758333,2.302625754
4,2,0.09875,2.302621424
5,2,0.10191666,2.302603167
6,2,0.10041667,2.302556458
7,2,0.10366666,2.302553453
8,2,0.10333333,2.302527836
9,2,0.10108333,2.302546694
10,2,0.100083336,2.302675478
11,2,0.09841666,2.302646578
12,2,0.10025,2.302584643
13,2,0.10325,2.302643319
14,2,0.0995,2.302564175
15,2,0.097166665,2.302581779
16,2,0.09641667,2.302618892
17,2,0.09841666,2.30257056
18,2,0.100833334,2.302501684
19,2,0.09658334,2.302673737
0,3,0.100666665,2.302594926
1,3,0.1025,2.302624784
2,3,0.099583335,2.302599921
3,3,0.09758333,2.302625754
4,3,0.09875,2.302621424
5,3,0.10191666,2.302603167
6,3,0.10041667,2.302556458
7,3,0.10366666,2.302553453
8,3,0.10333333,2.302527836
9,3,0.10108333,2.302546694
10,3,0.100083336,2.302675478
11,3,0.09841666,2.302646578
12,3,0.10025,2.302584643
13,3,0.10325,2.302643319
14,3,0.0995,2.302564175
15,3,0.097166665,2.302581779
16,3,0.09641667,2.302618892
17,3,0.09841666,2.30257056
18,3,0.100833334,2.302501684
19,3,0.09658334,2.302673737
0,4,0.100666665,2.302594926
1,4,0.1025,2.302624784
2,4,0.099583335,2.302599921
3,4,0.09758333,2.302625754
4,4,0.09875,2.302621424
5,4,0.10191666,2.302603167
6,4,0.10041667,2.302556458
7,4,0.10366666,2.302553453
8,4,0.10333333,2.302527836
9,4,0.10108333,2.302546694
10,4,0.100083336,2.302675478
11,4,0.09841666,2.302646578
12,4,0.10025,2.302584643
13,4,0.10325,2.302643319
14,4,0.0995,2.302564175
15,4,0.097166665,2.302581779
16,4,0.09641667,2.302618892
17,4,0.09841666,2.30257056
18,4,0.100833334,2.302501684
19,4,0.09658334,2.302673737
0,5,0.100666665,2.302594926
1,5,0.1025,2.302624784
2,5,0.099583335,2.302599921
3,5,0.09758333,2.302625754
4,5,0.09875,2.302621424
5,5,0.10191666,2.302603167
6,5,0.10041667,2.302556458
7,5,0.10366666,2.302553453
8,5,0.10333333,2.302527836
9,5,0.10108333,2.302546694
10,5,0.100083336,2.302675478
11,5,0.09841666,2.302646578
12,5,0.10025,2.302584643
13,5,0.10325,2.302643319
14,5,0.0995,2.302564175
15,5,0.097166665,2.302581779
16,5,0.09641667,2.302618892
17,5,0.09841666,2.30257056
18,5,0.100833334,2.302501684
19,5,0.09658334,2.302673737
0,6,0.100666665,2.302594926
1,6,0.1025,2.302624784
2,6,0.099583335,2.302599921
3,6,0.09758333,2.302625754
4,6,0.09875,2.302621424
5,6,0.10191666,2.302603167
6,6,0.10041667,2.302556458
7,6,0.10366666,2.302553453
8,6,0.10333333,2.302527836
9,6,0.10108333,2.302546694
10,6,0.100083336,2.302675478
11,6,0.09841666,2.302646578
12,6,0.10025,2.302584643
13,6,0.10325,2.302643319
14,6,0.0995,2.302564175
15,6,0.097166665,2.302581779
16,6,0.09641667,2.302618892
17,6,0.09841666,2.30257056
18,6,0.100833334,2.302501684
19,6,0.09658334,2.302673737
0,7,0.100666665,2.302594926
1,7,0.1025,2.302624784
2,7,0.099583335,2.302599921
3,7,0.09758333,2.302625754
4,7,0.09875,2.302621424
5,7,0.10191666,2.302603167
6,7,0.10041667,2.302556458
7,7,0.10366666,2.302553453
8,7,0.10333333,2.302527836
9,7,0.10108333,2.302546694
10,7,0.100083336,2.302675478
11,7,0.09841666,2.302646578
12,7,0.10025,2.302584643
13,7,0.10325,2.302643319
14,7,0.0995,2.302564175
15,7,0.097166665,2.302581779
16,7,0.09641667,2.302618892
17,7,0.09841666,2.30257056
18,7,0.100833334,2.302501684
19,7,0.09658334,2.302673737
