Mutation Number,Run Num,Percentage,St_Dev,Accuracy,Loss
0,0,0.01,0.25,0.75925,0.702071535
0,1,0.01,0.25,0.765,0.692607465
0,2,0.01,0.25,0.74558336,0.741171042
0,3,0.01,0.25,0.7586667,0.706285005
0,4,0.01,0.25,0.7669167,0.687261516
1,0,0.01,0.25,0.75091666,0.718522542
1,1,0.01,0.25,0.75616664,0.713112212
1,2,0.01,0.25,0.75675,0.723554568
1,3,0.01,0.25,0.7514167,0.73113903
1,4,0.01,0.25,0.75166667,0.72219822
2,0,0.01,0.25,0.76425,0.690798367
2,1,0.01,0.25,0.75591666,0.715071744
2,2,0.01,0.25,0.7571667,0.709453551
2,3,0.01,0.25,0.7686667,0.690712198
2,4,0.01,0.25,0.74916667,0.725949778
3,0,0.01,0.25,0.75091666,0.720298083
3,1,0.01,0.25,0.7555,0.705888558
3,2,0.01,0.25,0.7441667,0.74864688
3,3,0.01,0.25,0.75875,0.696377732
3,4,0.01,0.25,0.75525,0.722805854
4,0,0.01,0.25,0.757,0.698719451
4,1,0.01,0.25,0.7510833,0.734121377
4,2,0.01,0.25,0.75925,0.706881203
4,3,0.01,0.25,0.76191664,0.707567936
4,4,0.01,0.25,0.75775,0.705462243
0,0,0.01,0.5,0.7615833,0.701876421
0,1,0.01,0.5,0.7349167,0.783870154
0,2,0.01,0.5,0.74258333,0.75905507
0,3,0.01,0.5,0.7505,0.733939803
0,4,0.01,0.5,0.763,0.695546545
1,0,0.01,0.5,0.75775,0.706473805
1,1,0.01,0.5,0.74675,0.737235023
1,2,0.01,0.5,0.757,0.709280999
1,3,0.01,0.5,0.7374167,0.78641057
1,4,0.01,0.5,0.7424167,0.747240335
2,0,0.01,0.5,0.76608336,0.685454437
2,1,0.01,0.5,0.74725,0.736802862
2,2,0.01,0.5,0.72541666,0.812637461
2,3,0.01,0.5,0.75725,0.717268822
2,4,0.01,0.5,0.71858335,0.847014219
3,0,0.01,0.5,0.75075,0.749268799
3,1,0.01,0.5,0.74275,0.742647606
3,2,0.01,0.5,0.73775,0.775545538
3,3,0.01,0.5,0.75175,0.725190857
3,4,0.01,0.5,0.73941666,0.7615054
4,0,0.01,0.5,0.7564167,0.709216803
4,1,0.01,0.5,0.75375,0.723993645
4,2,0.01,0.5,0.74116665,0.767611417
4,3,0.01,0.5,0.74625,0.746598163
4,4,0.01,0.5,0.7571667,0.715644364
0,0,0.01,0.75,0.73375,0.780459755
0,1,0.01,0.75,0.75633335,0.71458121
0,2,0.01,0.75,0.6845,0.929804878
0,3,0.01,0.75,0.7575,0.718036833
