Mutation Number,Layer Num,Accuracy,Loss
0,0,0.7696667,0.675103376
1,0,0.76283336,0.698825676
2,0,0.76491666,0.694527381
3,0,0.7571667,0.712800739
4,0,0.76475,0.69203032
5,0,0.7661667,0.688598368
6,0,0.76033336,0.706388218
7,0,0.7614167,0.708554412
8,0,0.76241666,0.69508164
9,0,0.7669167,0.681851883
10,0,0.76241666,0.703164175
11,0,0.75983334,0.697449548
12,0,0.7503333,0.719040241
13,0,0.75058335,0.72104645
14,0,0.75491667,0.715244744
15,0,0.761,0.702962704
16,0,0.76308334,0.693388929
17,0,0.758,0.710232444
18,0,0.7579167,0.70220314
19,0,0.75408334,0.716627956
0,1,0.7696667,0.675103376
1,1,0.76283336,0.698825676
2,1,0.76491666,0.694527381
3,1,0.7571667,0.712800739
4,1,0.76475,0.69203032
5,1,0.7661667,0.688598368
6,1,0.76033336,0.706388218
7,1,0.7614167,0.708554412
8,1,0.76241666,0.69508164
9,1,0.7669167,0.681851883
10,1,0.76241666,0.703164175
11,1,0.75983334,0.697449548
12,1,0.7503333,0.719040241
13,1,0.75058335,0.72104645
14,1,0.75491667,0.715244744
15,1,0.761,0.702962704
16,1,0.76308334,0.693388929
17,1,0.758,0.710232444
18,1,0.7579167,0.70220314
19,1,0.75408334,0.716627956
0,2,0.7696667,0.675103376
1,2,0.76283336,0.698825676
2,2,0.76491666,0.694527381
3,2,0.7571667,0.712800739
4,2,0.76475,0.69203032
5,2,0.7661667,0.688598368
6,2,0.76033336,0.706388218
7,2,0.7614167,0.708554412
8,2,0.76241666,0.69508164
9,2,0.7669167,0.681851883
10,2,0.76241666,0.703164175
11,2,0.75983334,0.697449548
12,2,0.7503333,0.719040241
13,2,0.75058335,0.72104645
14,2,0.75491667,0.715244744
15,2,0.761,0.702962704
16,2,0.76308334,0.693388929
17,2,0.758,0.710232444
18,2,0.7579167,0.70220314
19,2,0.75408334,0.716627956
0,3,0.7696667,0.675103376
1,3,0.76283336,0.698825676
2,3,0.76491666,0.694527381
3,3,0.7571667,0.712800739
4,3,0.76475,0.69203032
5,3,0.7661667,0.688598368
6,3,0.76033336,0.706388218
7,3,0.7614167,0.708554412
8,3,0.76241666,0.69508164
9,3,0.7669167,0.681851883
10,3,0.76241666,0.703164175
11,3,0.75983334,0.697449548
12,3,0.7503333,0.719040241
13,3,0.75058335,0.72104645
14,3,0.75491667,0.715244744
15,3,0.761,0.702962704
16,3,0.76308334,0.693388929
17,3,0.758,0.710232444
18,3,0.7579167,0.70220314
19,3,0.75408334,0.716627956
0,4,0.7696667,0.675103376
1,4,0.76283336,0.698825676
2,4,0.76491666,0.694527381
3,4,0.7571667,0.712800739
4,4,0.76475,0.69203032
5,4,0.7661667,0.688598368
6,4,0.76033336,0.706388218
7,4,0.7614167,0.708554412
8,4,0.76241666,0.69508164
9,4,0.7669167,0.681851883
10,4,0.76241666,0.703164175
11,4,0.75983334,0.697449548
12,4,0.7503333,0.719040241
13,4,0.75058335,0.72104645
14,4,0.75491667,0.715244744
15,4,0.761,0.702962704
16,4,0.76308334,0.693388929
17,4,0.758,0.710232444
18,4,0.7579167,0.70220314
19,4,0.75408334,0.716627956
0,5,0.7696667,0.675103376
1,5,0.76283336,0.698825676
2,5,0.76491666,0.694527381
3,5,0.7571667,0.712800739
4,5,0.76475,0.69203032
5,5,0.7661667,0.688598368
6,5,0.76033336,0.706388218
7,5,0.7614167,0.708554412
8,5,0.76241666,0.69508164
9,5,0.7669167,0.681851883
10,5,0.76241666,0.703164175
11,5,0.75983334,0.697449548
12,5,0.7503333,0.719040241
13,5,0.75058335,0.72104645
14,5,0.75491667,0.715244744
15,5,0.761,0.702962704
16,5,0.76308334,0.693388929
17,5,0.758,0.710232444
18,5,0.7579167,0.70220314
19,5,0.75408334,0.716627956
0,6,0.7696667,0.675103376
1,6,0.76283336,0.698825676
2,6,0.76491666,0.694527381
3,6,0.7571667,0.712800739
4,6,0.76475,0.69203032
5,6,0.7661667,0.688598368
6,6,0.76033336,0.706388218
7,6,0.7614167,0.708554412
8,6,0.76241666,0.69508164
9,6,0.7669167,0.681851883
10,6,0.76241666,0.703164175
11,6,0.75983334,0.697449548
12,6,0.7503333,0.719040241
13,6,0.75058335,0.72104645
14,6,0.75491667,0.715244744
15,6,0.761,0.702962704
16,6,0.76308334,0.693388929
17,6,0.758,0.710232444
18,6,0.7579167,0.70220314
19,6,0.75408334,0.716627956
0,7,0.7696667,0.675103376
1,7,0.76283336,0.698825676
2,7,0.76491666,0.694527381
3,7,0.7571667,0.712800739
4,7,0.76475,0.69203032
5,7,0.7661667,0.688598368
6,7,0.76033336,0.706388218
7,7,0.7614167,0.708554412
8,7,0.76241666,0.69508164
9,7,0.7669167,0.681851883
10,7,0.76241666,0.703164175
11,7,0.75983334,0.697449548
12,7,0.7503333,0.719040241
13,7,0.75058335,0.72104645
14,7,0.75491667,0.715244744
15,7,0.761,0.702962704
16,7,0.76308334,0.693388929
17,7,0.758,0.710232444
18,7,0.7579167,0.70220314
19,7,0.75408334,0.716627956
