Mutation Number,Run Num,Percentage,Accuracy,Loss
0,0,0.001,0.74675,0.731969938
0,1,0.001,0.76958334,0.683520087
0,2,0.001,0.75133336,0.726539273
0,3,0.001,0.7610833,0.701531226
0,4,0.001,0.76058334,0.695464691
1,0,0.001,0.7495833,0.715194641
1,1,0.001,0.7524167,0.727888016
1,2,0.001,0.74558336,0.739767505
1,3,0.001,0.75725,0.715335224
1,4,0.001,0.7575833,0.703909544
2,0,0.001,0.75158334,0.717550087
2,1,0.001,0.75725,0.709473568
2,2,0.001,0.7410833,0.767425887
2,3,0.001,0.7679167,0.696228153
2,4,0.001,0.75425,0.71290614
3,0,0.001,0.7514167,0.72311934
3,1,0.001,0.75075,0.718749721
3,2,0.001,0.7481667,0.760969924
3,3,0.001,0.76283336,0.687842652
3,4,0.001,0.755,0.722933676
4,0,0.001,0.7506667,0.714533542
4,1,0.001,0.75383335,0.722569249
4,2,0.001,0.75025,0.728770473
4,3,0.001,0.7636667,0.697030917
4,4,0.001,0.76591665,0.687856708
0,0,0.005,0.7625,0.693763873
0,1,0.005,0.76825,0.683704022
0,2,0.005,0.17841667,3.245178104
0,3,0.005,0.76191664,0.703486445
0,4,0.005,0.7614167,0.704093807
1,0,0.005,0.755,0.702587316
1,1,0.005,0.7604167,0.700852168
1,2,0.005,0.75875,0.69985715
1,3,0.005,0.75208336,0.728492827
1,4,0.005,0.7495,0.726848049
2,0,0.005,0.7585,0.710514766
2,1,0.005,0.75733334,0.710062953
2,2,0.005,0.7531667,0.723385938
2,3,0.005,0.76891667,0.688607697
2,4,0.005,0.75441664,0.713665855
3,0,0.005,0.75325,0.739496901
3,1,0.005,0.75575,0.702138232
3,2,0.005,0.25516668,1.885704408
3,3,0.005,0.7629167,0.689005232
3,4,0.005,0.7353333,0.808563289
4,0,0.005,0.7259167,0.825103651
4,1,0.005,0.7015,0.878294981
4,2,0.005,0.7583333,0.704719825
4,3,0.005,0.7611667,0.708813861
4,4,0.005,0.76341665,0.689522674
0,0,0.01,0.7301667,0.78638503
0,1,0.01,0.7585833,0.707430847
0,2,0.01,0.74583334,0.74824199
0,3,0.01,0.75558335,0.72102319
0,4,0.01,0.763,0.696959626
1,0,0.01,0.75491667,0.703227819
1,1,0.01,0.76266664,0.69639145
1,2,0.01,0.75333333,0.719450319
1,3,0.01,0.68475,1.024779219
1,4,0.01,0.75158334,0.724249927
2,0,0.01,0.76375,0.693084014
2,1,0.01,0.7554167,0.718684013
2,2,0.01,0.7661667,0.693030615
2,3,0.01,0.769,0.689289711
2,4,0.01,0.74808335,0.72748091
3,0,0.01,0.7515,0.723697204
3,1,0.01,0.72083336,0.930718737
3,2,0.01,0.6928333,0.931004608
3,3,0.01,0.7453333,0.740051885
3,4,0.01,0.7036667,0.863204585
4,0,0.01,0.754,0.726376692
4,1,0.01,0.74075,0.762410776
4,2,0.01,0.75875,0.705424046
4,3,0.01,0.7495833,0.787105221
4,4,0.01,0.23941667,2.157126908
0,0,0.05,0.6630833,0.979341672
0,1,0.05,0.7240833,0.823453063
0,2,0.05,0.6921667,0.929096865
0,3,0.05,0.73041666,0.793606053
0,4,0.05,0.66583335,0.989461259
1,0,0.05,0.6495,0.985507905
1,1,0.05,0.64591664,1.054235347
1,2,0.05,0.62525,1.245154638
1,3,0.05,0.69983333,0.879260465
1,4,0.05,0.67466664,0.943190964
2,0,0.05,0.6906667,0.943836357
2,1,0.05,0.5785,1.643786606
2,2,0.05,0.67158335,0.956217493
2,3,0.05,0.7240833,0.824627443
2,4,0.05,0.6533333,1.278216171
3,0,0.05,0.7065,0.856508051
3,1,0.05,0.6935,0.892276988
3,2,0.05,0.73075,0.827489441
3,3,0.05,0.26725,1.958353861
3,4,0.05,0.63816667,1.272507329
4,0,0.05,0.71375,0.888900952
4,1,0.05,0.548,1.62857348
4,2,0.05,0.69983333,0.868813221
4,3,0.05,0.7000833,0.955332361
4,4,0.05,0.48941666,1.566635104
0,0,0.1,0.59816664,1.149913168
0,1,0.1,0.10091667,11.06877741
0,2,0.1,0.17266667,2.261035344
0,3,0.1,0.10975,4.221213572
0,4,0.1,0.5925,1.158377276
1,0,0.1,0.5754167,1.245650292
1,1,0.1,0.5735,1.211331879
1,2,0.1,0.41758335,1.783172761
1,3,0.1,0.123833336,3.648551257
1,4,0.1,0.10933334,5.627881717
2,0,0.1,0.16708334,2.814936332
2,1,0.1,0.18716666,1.861232696
2,2,0.1,0.12125,4.094410949
2,3,0.1,0.39966667,2.797387007
2,4,0.1,0.1105,5.231459789
3,0,0.1,0.15191667,2.043618954
3,1,0.1,0.69341666,0.919938907
3,2,0.1,0.6935833,0.891585282
3,3,0.1,0.6576667,0.997035725
3,4,0.1,0.68666667,1.033393093
4,0,0.1,0.1425,2.176793734
4,1,0.1,0.61791664,1.106307775
4,2,0.1,0.36225,3.267907324
4,3,0.1,0.49808332,1.499140795
4,4,0.1,0.23841667,1.833191292
