Mutation Number,Run Num,Percentage,Accuracy,Loss
0,0,0.001,0.76325,0.694512017
0,1,0.001,0.7690833,0.68384521
0,2,0.001,0.75191665,0.729463984
0,3,0.001,0.7595,0.698835464
0,4,0.001,0.7695,0.67474744
1,0,0.001,0.7553333,0.702121753
1,1,0.001,0.76,0.702167378
1,2,0.001,0.75825,0.700609319
1,3,0.001,0.7305,0.786900431
1,4,0.001,0.75725,0.705805392
2,0,0.001,0.76133335,0.703291625
2,1,0.001,0.7564167,0.710247896
2,2,0.001,0.76475,0.694626958
2,3,0.001,0.76875,0.688988364
2,4,0.001,0.75341666,0.714566151
3,0,0.001,0.7496667,0.732200615
3,1,0.001,0.75733334,0.700835254
3,2,0.001,0.7493333,0.740352318
3,3,0.001,0.763,0.687767101
3,4,0.001,0.75625,0.719458747
4,0,0.001,0.756,0.700905299
4,1,0.001,0.7531667,0.724404429
4,2,0.001,0.7485,0.742134043
4,3,0.001,0.76316667,0.697005414
4,4,0.001,0.76641667,0.687857958
0,0,0.005,0.76275,0.69266099
0,1,0.005,0.7690833,0.683559747
0,2,0.005,0.7510833,0.726331086
0,3,0.005,0.75383335,0.725251851
0,4,0.005,0.76975,0.677281221
1,0,0.005,0.756,0.700275603
1,1,0.005,0.74516666,0.750534753
1,2,0.005,0.75675,0.703518523
1,3,0.005,0.68058336,1.157294126
1,4,0.005,0.75708336,0.706922236
2,0,0.005,0.762,0.705477497
2,1,0.005,0.74625,0.764376763
2,2,0.005,0.7583333,0.708665555
2,3,0.005,0.76883334,0.689628978
2,4,0.005,0.75441664,0.713247138
3,0,0.005,0.7496667,0.744668339
3,1,0.005,0.7399167,0.742833363
3,2,0.005,0.75083333,0.742344028
3,3,0.005,0.76175,0.691390945
3,4,0.005,0.73658335,0.790354702
4,0,0.005,0.74375,0.741241469
4,1,0.005,0.7506667,0.732876977
4,2,0.005,0.75625,0.714974848
4,3,0.005,0.7600833,0.706048548
4,4,0.005,0.7610833,0.711955139
0,0,0.01,0.73108333,0.843938473
0,1,0.01,0.6300833,1.269874457
0,2,0.01,0.75625,0.720554351
0,3,0.01,0.74258333,0.761254906
0,4,0.01,0.7449167,0.774813136
1,0,0.01,0.74625,0.735607148
1,1,0.01,0.7525,0.716491873
1,2,0.01,0.756,0.707153082
1,3,0.01,0.7441667,0.748837283
1,4,0.01,0.7468333,0.746559319
2,0,0.01,0.75191665,0.724900866
2,1,0.01,0.7475,0.748035498
2,2,0.01,0.68275,1.072646713
2,3,0.01,0.63191664,1.052295117
2,4,0.01,0.7506667,0.756042013
3,0,0.01,0.74083334,0.766810943
3,1,0.01,0.7553333,0.705885243
3,2,0.01,0.60391665,1.323958814
3,3,0.01,0.75166667,0.72414733
3,4,0.01,0.71125,0.860881094
4,0,0.01,0.74508333,0.75944006
4,1,0.01,0.73108333,0.792869315
4,2,0.01,0.75525,0.715360219
4,3,0.01,0.60066664,1.177165709
4,4,0.01,0.75783336,0.708636103
0,0,0.05,0.69625,1.05926961
0,1,0.05,0.33625,2.506550982
0,2,0.05,0.09991667,21.45516543
0,3,0.05,0.67183334,1.195800539
0,4,0.05,0.5901667,1.300603035
1,0,0.05,0.67808336,0.97536799
1,1,0.05,0.5195,1.713058624
1,2,0.05,0.5581667,1.319675303
1,3,0.05,0.65141666,1.132784183
1,4,0.05,0.21216667,6.88751826
2,0,0.05,0.69458336,0.948760755
2,1,0.05,0.5158333,2.046149613
2,2,0.05,0.65741664,1.010852979
2,3,0.05,0.71241665,0.8617844
2,4,0.05,0.54866666,1.820310928
3,0,0.05,0.55408335,1.447327003
3,1,0.05,0.19875,9.9636251
3,2,0.05,0.1505,6.925617943
3,3,0.05,0.68041664,1.754815039
3,4,0.05,0.6020833,1.107615984
4,0,0.05,0.71066666,0.922264731
4,1,0.05,0.5409167,1.511945407
4,2,0.05,0.46241668,1.957318293
4,3,0.05,0.6918333,1.005736769
4,4,0.05,0.6839167,1.009620891
0,0,0.1,0.43191665,1.829968041
0,1,0.1,0.17041667,2.285581421
0,2,0.1,0.49375,1.624452666
0,3,0.1,0.38975,1.926747796
0,4,0.1,0.49191666,1.932773451
1,0,0.1,0.35841668,2.368072186
1,1,0.1,0.51641667,1.570050711
1,2,0.1,0.5743333,1.469714321
1,3,0.1,0.355,2.034492746
1,4,0.1,0.15183334,5.0442767
2,0,0.1,0.16133334,14.44337907
2,1,0.1,0.61308336,1.258107022
2,2,0.1,0.10216667,22.80213234
2,3,0.1,0.43233332,2.611189965
2,4,0.1,0.49483332,1.674921666
3,0,0.1,0.35116667,3.509657373
3,1,0.1,0.49458334,1.823659576
3,2,0.1,0.42258334,1.880668452
3,3,0.1,0.44058332,1.830529589
3,4,0.1,0.46125,1.629783806
4,0,0.1,0.212,3.930597754
4,1,0.1,0.35575,2.18176146
4,2,0.1,0.51775,1.640195713
4,3,0.1,0.23025,6.354839519
4,4,0.1,0.152,13.52843325
