Mutation Number,Run Num,Percentage,Accuracy,Loss
0,0,0.001,0.75875,0.711539458
0,1,0.001,0.7654167,0.692818647
0,2,0.001,0.75166667,0.726856345
0,3,0.001,0.76,0.699276339
0,4,0.001,0.7665833,0.685849189
1,0,0.001,0.7581667,0.695495135
1,1,0.001,0.7586667,0.710653547
1,2,0.001,0.7553333,0.711554994
1,3,0.001,0.75483334,0.716169167
1,4,0.001,0.7554167,0.718680845
2,0,0.001,0.75975,0.705939236
2,1,0.001,0.7575833,0.709145863
2,2,0.001,0.76458335,0.699895339
2,3,0.001,0.76525,0.696629375
2,4,0.001,0.7489167,0.725575545
3,0,0.001,0.751,0.720608653
3,1,0.001,0.7525,0.706661574
3,2,0.001,0.7449167,0.74930439
3,3,0.001,0.76166666,0.687467102
3,4,0.001,0.75475,0.721307874
4,0,0.001,0.75308335,0.706128549
4,1,0.001,0.7521667,0.729001578
4,2,0.001,0.75883335,0.703060192
4,3,0.001,0.757,0.726063579
4,4,0.001,0.75666666,0.715788225
0,0,0.005,0.75783336,0.710760804
0,1,0.005,0.7555,0.721534683
0,2,0.005,0.74658334,0.741380721
0,3,0.005,0.75675,0.711594038
0,4,0.005,0.7708333,0.679072121
1,0,0.005,0.756,0.702430952
1,1,0.005,0.75708336,0.711505902
1,2,0.005,0.73375,0.766001615
1,3,0.005,0.7556667,0.718665335
1,4,0.005,0.74583334,0.74446395
2,0,0.005,0.7515,0.732931301
2,1,0.005,0.75575,0.713611027
2,2,0.005,0.76125,0.700648769
2,3,0.005,0.75883335,0.71322474
2,4,0.005,0.7581667,0.707018763
3,0,0.005,0.74341667,0.744032625
3,1,0.005,0.75383335,0.714160265
3,2,0.005,0.7309167,0.769890039
3,3,0.005,0.7545,0.702571563
3,4,0.005,0.74841666,0.735894644
4,0,0.005,0.75441664,0.710660163
4,1,0.005,0.73483336,0.766306739
4,2,0.005,0.7621667,0.694366862
4,3,0.005,0.7455,0.749622406
4,4,0.005,0.7525833,0.715488469
0,0,0.01,0.74941665,0.719346111
0,1,0.01,0.75525,0.724679778
0,2,0.01,0.7399167,0.758811107
0,3,0.01,0.7435,0.735594652
0,4,0.01,0.7069167,1.166966241
1,0,0.01,0.74308336,0.746470888
1,1,0.01,0.7338333,0.773208879
1,2,0.01,0.67008334,1.04893915
1,3,0.01,0.6648333,1.359074961
1,4,0.01,0.69883335,0.853975061
2,0,0.01,0.75616664,0.717768404
2,1,0.01,0.7464167,0.758709777
2,2,0.01,0.74425,0.745882459
2,3,0.01,0.73825,0.753691681
2,4,0.01,0.73508334,0.777104905
3,0,0.01,0.7303333,0.81282133
3,1,0.01,0.74375,0.742284645
3,2,0.01,0.71958333,0.847332836
3,3,0.01,0.75158334,0.731642879
3,4,0.01,0.7514167,0.728264212
4,0,0.01,0.7008333,0.883482582
4,1,0.01,0.75075,0.737882952
4,2,0.01,0.70233333,1.280612547
4,3,0.01,0.73975,0.765225171
4,4,0.01,0.7134167,1.325420841
0,0,0.05,0.6165,1.065111161
0,1,0.05,0.6285,1.07016707
0,2,0.05,0.61308336,1.109227653
0,3,0.05,0.5539167,1.297416935
0,4,0.05,0.59375,1.101542954
1,0,0.05,0.58358335,1.423537086
1,1,0.05,0.6701667,1.53743002
1,2,0.05,0.60658336,1.354575388
1,3,0.05,0.56266665,1.19615527
1,4,0.05,0.64591664,1.248487307
2,0,0.05,0.5923333,1.210451991
2,1,0.05,0.63425,1.095708928
2,2,0.05,0.56341666,1.394546506
2,3,0.05,0.58225,1.199264922
2,4,0.05,0.44816667,1.495803702
3,0,0.05,0.59933335,1.167622835
3,1,0.05,0.63375,1.089606944
3,2,0.05,0.52075,1.417727755
3,3,0.05,0.43033335,1.773986288
3,4,0.05,0.5750833,1.29092429
4,0,0.05,0.54375,1.818991708
4,1,0.05,0.56333333,1.253355673
4,2,0.05,0.63733333,1.055880185
4,3,0.05,0.6009167,1.287396463
4,4,0.05,0.58133334,1.636259509
0,0,0.1,0.475,1.596985999
0,1,0.1,0.42416668,1.883658573
0,2,0.1,0.576,1.257521105
0,3,0.1,0.543,1.351029879
0,4,0.1,0.60791665,1.191952356
1,0,0.1,0.44916666,1.835718884
1,1,0.1,0.35925,1.773745075
1,2,0.1,0.3675,2.666794043
1,3,0.1,0.38441667,1.700137475
1,4,0.1,0.31275,2.765970112
2,0,0.1,0.48783332,1.419251322
2,1,0.1,0.421,2.2290542
2,2,0.1,0.541,1.95426298
2,3,0.1,0.48525,2.302255478
2,4,0.1,0.37675,1.967897779
3,0,0.1,0.32675,2.412449153
3,1,0.1,0.26158333,2.466350581
3,2,0.1,0.34616667,2.026499041
3,3,0.1,0.5528333,1.360407215
3,4,0.1,0.45625,1.594170895
4,0,0.1,0.50958335,1.41747661
4,1,0.1,0.28008333,2.037866907
4,2,0.1,0.39541668,2.010140443
4,3,0.1,0.22908333,2.223516499
4,4,0.1,0.40691668,1.537891524
