"Layer Number","Run Number","Loss","Accuracy"
1,0,0.7770653191,0.7374166667
1,1,0.8042450285,0.7259166667
1,2,0.7752685284,0.7409166667
1,3,0.7975376077,0.7298333333
1,4,0.756540598,0.7410833333
1,5,0.8149255488,0.72075
1,6,0.77946398,0.73375
1,7,0.7809423306,0.738
1,8,0.8099494464,0.7303333333
1,9,0.7439779543,0.7480833333
1,10,0.7936971928,0.7380833333
1,11,0.7665070364,0.7370833333
1,12,0.7905138512,0.7340833333
1,13,0.788624855,0.73025
1,14,0.7913020806,0.7288333333
1,15,0.748831211,0.7411666667
1,16,0.8094519223,0.724
1,17,0.7880650098,0.7280833333
1,18,0.8123195661,0.7193333333
1,19,0.8054725026,0.7244166667
3,0,0.7818472775,0.734
3,1,0.7717929985,0.73525
3,2,0.7552998149,0.74475
3,3,0.7976619359,0.727
3,4,0.7701990668,0.73775
3,5,0.7972379071,0.7273333333
3,6,0.7719715636,0.7369166667
3,7,0.776252375,0.7373333333
3,8,0.7955399896,0.72875
3,9,0.762977962,0.7385
3,10,0.8017697903,0.73025
3,11,0.7782226785,0.7385833333
3,12,0.7501826509,0.749
3,13,0.7785009169,0.7315833333
3,14,0.7874621483,0.7310833333
3,15,0.7667091749,0.7400833333
3,16,0.772586825,0.7408333333
3,17,0.7871381638,0.7315
3,18,0.8400628425,0.7215833333
3,19,0.7828580328,0.7389166667
5,0,0.836787919,0.7270833333
5,1,0.7889954917,0.73875
5,2,0.8326804025,0.71825
5,3,0.8558998706,0.7076666667
5,4,0.7862080167,0.73675
5,5,0.8010480254,0.7335833333
5,6,0.799960616,0.7305833333
5,7,0.8035546699,0.7365833333
5,8,0.8802424773,0.71625
5,9,0.8384677379,0.7238333333
5,10,0.8310261467,0.7309166667
5,11,0.7793802091,0.7441666667
5,12,0.8489506995,0.7315833333
5,13,0.8300437886,0.7260833333
5,14,0.8058792756,0.7333333333
5,15,0.9215765572,0.7278333333
5,16,0.8204545558,0.7276666667
5,17,0.86336481,0.7231666667
5,18,0.8159326964,0.7271666667
5,19,0.8975600774,0.7145833333
6,0,0.7058262229,0.7605
6,1,0.6972629947,0.763
6,2,0.7035473541,0.7609166667
6,3,0.744614555,0.7485
6,4,0.6664066656,0.7765833333
6,5,0.7097482634,0.7571666667
6,6,0.7151660827,0.7625
6,7,0.7733670869,0.7460833333
6,8,0.7059727015,0.7615833333
6,9,0.6871988722,0.76875
6,10,0.7363484129,0.76
6,11,0.7335880373,0.7605833333
6,12,0.6985833898,0.76125
6,13,0.6954921988,0.7606666667
6,14,0.7086668565,0.7595833333
6,15,0.6847283119,0.7649166667
6,16,0.725879059,0.7540833333
6,17,0.7271173753,0.7580833333
6,18,0.7255109628,0.74775
6,19,0.7291363281,0.7474166667
7,0,0.8060538229,0.7491666667
7,1,0.8101023159,0.737
