"Run Number","Mutation Number","Accuracy","Loss"
0,0,0.757,0.7013425757
0,1,0.7534166667,0.716366498
0,2,0.7680833333,0.70700801
0,3,0.7595833333,0.6964311801
0,4,0.7575833333,0.7085157978
1,0,0.7638333333,0.6973637551
1,1,0.7619166667,0.6858912664
1,2,0.7610833333,0.7004867631
1,3,0.7333333333,0.7714186404
1,4,0.76525,0.6952107945
2,0,0.7514166667,0.7229630689
2,1,0.7566666667,0.719131436
2,2,0.75725,0.713601479
2,3,0.7605,0.71228748
2,4,0.7623333333,0.7077566972
3,0,0.7643333333,0.684150162
3,1,0.75475,0.7296239901
3,2,0.7631666667,0.6980049958
3,3,0.7594166667,0.6965053805
3,4,0.7535,0.7246801075
4,0,0.7639166667,0.7089961452
4,1,0.7594166667,0.6998182668
4,2,0.7649166667,0.6971649648
4,3,0.7596666667,0.6833678523
4,4,0.7600833333,0.7026318935
