Run Number,Mutation Number,Percentage,Accuracy,Loss
0,0,5,0.760666667,0.705592683
0,1,5,0.766,0.68553994
0,2,5,0.752166667,0.720225527
0,3,5,0.75175,0.716557293
0,4,5,0.7645,0.683715893
1,0,5,0.744416667,0.782495891
1,1,5,0.751166667,0.732274023
1,2,5,0.753333333,0.734531735
1,3,5,0.748,0.74203323
1,4,5,0.7615,0.698876698
2,0,5,0.754916667,0.712852402
2,1,5,0.746416667,0.735438621
2,2,5,0.76025,0.713322793
2,3,5,0.752333333,0.734166906
2,4,5,0.76025,0.715103273
3,0,5,0.761916667,0.712498748
3,1,5,0.753833333,0.721167589
3,2,5,0.767333333,0.672043837
3,3,5,0.74525,0.763953206
3,4,5,0.752,0.734873718
4,0,5,0.769583333,0.681670887
4,1,5,0.761083333,0.699284281
4,2,5,0.758,0.714131567
4,3,5,0.75525,0.716649128
4,4,5,0.760166667,0.708253239
0,0,10,0.757,0.713411926
0,1,10,0.747583333,0.74086454
0,2,10,0.75375,0.722498508
0,3,10,0.758166667,0.705072208
0,4,10,0.741333333,0.759011214
1,0,10,0.748583333,0.736367626
1,1,10,0.766,0.673850854
1,2,10,0.7635,0.698031107
1,3,10,0.75625,0.702160616
1,4,10,0.758166667,0.70961564
2,0,10,0.754333333,0.709189536
2,1,10,0.750083333,0.743087098
2,2,10,0.759083333,0.726013303
2,3,10,0.75825,0.698269924
2,4,10,0.763666667,0.702879406
3,0,10,0.7615,0.723857145
3,1,10,0.75725,0.713677996
3,2,10,0.759416667,0.699780501
3,3,10,0.754916667,0.716220164
3,4,10,0.7555,0.719076307
4,0,10,0.751166667,0.736392247
4,1,10,0.73175,0.794846984
4,2,10,0.73625,0.787138601
4,3,10,0.750333333,0.717346007
4,4,10,0.759416667,0.71167973
0,0,25,0.756,0.735182304
0,1,25,0.756,0.7068029
0,2,25,0.748,0.748889954
0,3,25,0.754083333,0.710441491
0,4,25,0.761,0.703698766
1,0,25,0.759083333,0.702035488
1,1,25,0.757166667,0.710209124
1,2,25,0.761416667,0.713249723
1,3,25,0.738666667,0.764931681
1,4,25,0.746333333,0.731869863
2,0,25,0.755666667,0.710414721
2,1,25,0.75175,0.740868429
2,2,25,0.739416667,0.768546678
2,3,25,0.749583333,0.734535592
2,4,25,0.757416667,0.707095696
3,0,25,0.76,0.713862205
3,1,25,0.75725,0.71476156
3,2,25,0.75725,0.695478208
3,3,25,0.757083333,0.712170028
3,4,25,0.727166667,0.798586291
4,0,25,0.760833333,0.70957584
4,1,25,0.745583333,0.748595814
4,2,25,0.74675,0.737578989
4,3,25,0.750666667,0.729911789
4,4,25,0.750166667,0.717323758
0,0,50,0.74875,0.739708807
0,1,50,0.754166667,0.718254984
0,2,50,0.75675,0.71722443
0,3,50,0.739666667,0.751822221
0,4,50,0.760666667,0.699540927
1,0,50,0.757583333,0.710059341
1,1,50,0.748583333,0.736223252
1,2,50,0.75775,0.724080793
1,3,50,0.728583333,0.797225222
1,4,50,0.746083333,0.741471082
2,0,50,0.745416667,0.73964473
2,1,50,0.750416667,0.74842018
2,2,50,0.750416667,0.740051542
2,3,50,0.73425,0.794968384
2,4,50,0.72775,0.807426805
3,0,50,0.749916667,0.75204851
3,1,50,0.751333333,0.725646463
3,2,50,0.749916667,0.735613978
3,3,50,0.75475,0.716475809
3,4,50,0.728166667,0.814379158
4,0,50,0.746083333,0.745638369
4,1,50,0.749583333,0.723405863
4,2,50,0.7425,0.748043202
4,3,50,0.752416667,0.71610159
4,4,50,0.754833333,0.721071406
0,0,75,0.742583333,0.747747023
0,1,75,0.743,0.7643715
0,2,75,0.744583333,0.750857051
0,3,75,0.733083333,0.764144551
0,4,75,0.742583333,0.773744969
1,0,75,0.74275,0.766475535
1,1,75,0.734416667,0.777025956
1,2,75,0.720833333,0.843962787
1,3,75,0.736916667,0.770284556
1,4,75,0.733916667,0.798296561
2,0,75,0.729583333,0.797365436
2,1,75,0.734833333,0.787799782
2,2,75,0.74025,0.756825936
