"Run Number","Mutation Number","Percentage","Loss","Accuracy"
1,0,5,0.7297772093,0.75175
1,1,5,0.6839612874,0.7655833333
1,2,5,0.709371652,0.7590833333
1,3,5,0.7278416446,0.7458333333
1,4,5,0.7024746873,0.7605833333
2,0,5,0.7043675777,0.7624166667
2,1,5,0.7394434903,0.74725
2,2,5,0.6937230421,0.7628333333
2,3,5,0.6860827148,0.7599166667
2,4,5,0.7242294705,0.75125
3,0,5,0.7067324576,0.76025
3,1,5,0.7074340928,0.7566666667
3,2,5,0.7233969208,0.7528333333
3,3,5,0.7132804478,0.75525
3,4,5,0.7149012289,0.7539166667
4,0,5,0.6955694467,0.7630833333
4,1,5,0.7375970354,0.7469166667
4,2,5,0.7253545012,0.7505
4,3,5,0.7367489869,0.747
4,4,5,0.6944570948,0.75775
0,0,5,0.7533531888,0.7446666667
0,1,5,0.7109979793,0.7593333333
0,2,5,0.7032508841,0.75775
0,3,5,0.7242261868,0.7493333333
0,4,5,0.7069608287,0.7588333333
1,0,10,0.7622090492,0.7435
1,1,10,0.6830044505,0.768
1,2,10,0.687464799,0.7609166667
1,3,10,0.7053375944,0.7563333333
1,4,10,0.6879603523,0.7658333333
2,0,10,0.703042675,0.7594166667
2,1,10,0.7092503985,0.7581666667
2,2,10,0.7388050038,0.7484166667
2,3,10,0.7102363393,0.7518333333
2,4,10,0.7532796063,0.7475
3,0,10,0.7513236291,0.7470833333
3,1,10,0.6860052745,0.769
3,2,10,0.7177841303,0.7565833333
3,3,10,0.7104039406,0.7540833333
3,4,10,0.6885285292,0.766
4,0,10,0.684724605,0.7670833333
4,1,10,0.7407973108,0.7543333333
4,2,10,0.698949319,0.76625
4,3,10,0.6959894449,0.7570833333
4,4,10,0.684510786,0.7674166667
0,0,10,0.7223751704,0.7581666667
0,1,10,0.7003016842,0.7639166667
0,2,10,0.7216652372,0.7495833333
0,3,10,0.7093977917,0.75575
0,4,10,0.7030310953,0.7571666667
1,0,25,0.7152146312,0.7650833333
1,1,25,0.7395872731,0.7504166667
1,2,25,0.716457932,0.7616666667
1,3,25,0.7243536286,0.7485
1,4,25,0.7101564062,0.76275
2,0,25,0.7573830868,0.7490833333
2,1,25,0.7300152616,0.7568333333
2,2,25,0.7315816487,0.7580833333
2,3,25,0.7148522573,0.7561666667
2,4,25,0.7030219541,0.7623333333
3,0,25,0.7012586838,0.77125
3,1,25,0.7182943286,0.7596666667
3,2,25,0.7151357079,0.7611666667
3,3,25,0.7187401028,0.7535
3,4,25,0.7263824636,0.7514166667
4,0,25,0.6895303426,0.7648333333
4,1,25,0.7375788247,0.752
4,2,25,0.7508064531,0.758
4,3,25,0.714325907,0.7578333333
4,4,25,0.7214723434,0.75675
0,0,25,0.6992870884,0.7674166667
0,1,25,0.7169451245,0.7565
0,2,25,0.7578966833,0.7480833333
0,3,25,0.7098583755,0.757
0,4,25,0.7300246801,0.7558333333
1,0,50,0.7692490632,0.7524166667
1,1,50,0.7198003759,0.761
1,2,50,0.7988234086,0.74925
1,3,50,0.7720680703,0.7403333333
1,4,50,0.7582398295,0.7445833333
2,0,50,0.8000590223,0.7555
2,1,50,0.7328811699,0.7565
2,2,50,0.7895431906,0.7361666667
2,3,50,0.7459382207,0.7565
2,4,50,0.7534119837,0.7498333333
3,0,50,0.7024979983,0.7694166667
3,1,50,0.7178692427,0.7606666667
3,2,50,0.7224260119,0.7633333333
3,3,50,0.7149110001,0.7556666667
3,4,50,0.7339945183,0.75225
4,0,50,0.7143318434,0.7643333333
4,1,50,0.7535335823,0.7526666667
4,2,50,0.7801725581,0.7576666667
4,3,50,0.7390494257,0.7566666667
4,4,50,0.7136194104,0.7634166667
0,0,50,0.7021583449,0.7666666667
0,1,50,0.7160234319,0.7624166667
0,2,50,0.7095902246,0.7600833333
0,3,50,0.7121288782,0.7544166667
0,4,50,0.7310698286,0.7515
1,0,75,0.7389748937,0.7573333333
1,1,75,0.7449086492,0.7580833333
1,2,75,0.7396101699,0.75725
1,3,75,0.7573359435,0.755
1,4,75,0.7207836716,0.7630833333
2,0,75,0.7196848226,0.7668333333
2,1,75,0.8092543615,0.7583333333
2,2,75,0.725764856,0.7624166667
2,3,75,0.7259196975,0.7601666667
2,4,75,0.7427980786,0.7624166667
3,0,75,0.7753284297,0.7519166667
3,1,75,0.7595734072,0.7575833333
3,2,75,0.7444163986,0.7579166667
3,3,75,0.7381469564,0.7515833333
3,4,75,0.7312057817,0.7558333333
4,0,75,0.749040712,0.7550833333
4,1,75,0.7189302662,0.7625
4,2,75,0.7680223008,0.7455833333
4,3,75,0.7260737322,0.7569166667
4,4,75,0.7545814743,0.7531666667
0,0,75,0.7541596174,0.7565
0,1,75,0.7497344045,0.7548333333
0,2,75,0.74129367,0.7600833333
0,3,75,0.7855126003,0.74325
0,4,75,0.7136534444,0.761
1,0,80,0.7263176971,0.7563333333
1,1,80,0.7592559675,0.75675
1,2,80,0.7979344345,0.7364166667
1,3,80,0.7660413275,0.7560833333
1,4,80,0.7262801039,0.7634166667
2,0,80,0.7779892344,0.7453333333
2,1,80,0.7451256675,0.7635
2,2,80,0.743928273,0.7540833333
2,3,80,0.7157229625,0.7615833333
2,4,80,0.7810812967,0.7506666667
3,0,80,0.748180891,0.7598333333
3,1,80,0.7296726075,0.7658333333
3,2,80,0.7181198447,0.7585833333
3,3,80,0.7805704604,0.7486666667
3,4,80,0.7527388281,0.7588333333
4,0,80,0.9058988592,0.7245833333
4,1,80,0.7706799823,0.7518333333
4,2,80,0.8284838174,0.73575
4,3,80,0.741041453,0.7511666667
4,4,80,0.7276523076,0.7561666667
0,0,80,0.7421043962,0.767
0,1,80,0.7711452406,0.7494166667
0,2,80,0.7407317081,0.7651666667
0,3,80,0.7620810194,0.7534166667
0,4,80,0.7423590009,0.7595
1,0,85,0.7673042471,0.7598333333
1,1,85,0.7771220018,0.7468333333
1,2,85,0.7796584333,0.7605
1,3,85,0.7726614904,0.7505
1,4,85,0.7474653366,0.7623333333
2,0,85,0.7508691861,0.76025
2,1,85,0.7472428677,0.7519166667
2,2,85,0.7693439499,0.7574166667
2,3,85,0.7278036447,0.75875
2,4,85,0.7263216608,0.7620833333
3,0,85,0.761348793,0.7535833333
3,1,85,0.7911930688,0.7458333333
3,2,85,0.7235897311,0.7621666667
3,3,85,0.8219891189,0.7485
3,4,85,0.7189798202,0.7570833333
4,0,85,0.7611275708,0.75875
4,1,85,0.712367005,0.7656666667
4,2,85,0.7516492941,0.7566666667
4,3,85,0.7987328181,0.7360833333
4,4,85,0.7698900932,0.753
0,0,85,0.7763250669,0.7450833333
0,1,85,0.7702906535,0.7545
0,2,85,0.7408052298,0.7569166667
0,3,85,0.7462182898,0.74975
0,4,85,0.7349182223,0.76375
1,0,90,0.822165405,0.7435833333
1,1,90,0.7335908558,0.7706666667
1,2,90,0.7255523922,0.7594166667
1,3,90,0.7636420792,0.7529166667
1,4,90,0.78626823,0.7556666667
2,0,90,0.8388372668,0.74025
2,1,90,0.75918746,0.763
2,2,90,0.7718164395,0.75525
2,3,90,0.7594221116,0.75475
2,4,90,0.7485928586,0.75425
3,0,90,0.7722639762,0.748
3,1,90,0.783014527,0.7631666667
3,2,90,0.7520684443,0.753
3,3,90,0.7550580011,0.755
3,4,90,0.7685933748,0.7581666667
4,0,90,0.7401989863,0.7625
4,1,90,0.8015469018,0.7473333333
4,2,90,0.7704709806,0.7583333333
4,3,90,0.7580164924,0.7491666667
4,4,90,0.7422962182,0.756
0,0,90,0.785323572,0.7500833333
0,1,90,0.7422485893,0.7596666667
0,2,90,0.7271539727,0.75925
0,3,90,0.7592726636,0.7486666667
0,4,90,0.7677972105,0.75875
1,0,95,0.7272841852,0.75825
1,1,95,0.7272472111,0.7556666667
1,2,95,0.7327405128,0.7614166667
1,3,95,0.8051753964,0.7441666667
1,4,95,0.7949887951,0.7421666667
2,0,95,0.7729576502,0.76175
2,1,95,0.822216729,0.7514166667
2,2,95,0.7443892682,0.76675
2,3,95,0.8241109521,0.7355
2,4,95,0.7183641952,0.7623333333
3,0,95,0.7566740348,0.7601666667
3,1,95,0.791841059,0.7468333333
3,2,95,0.8098408965,0.7598333333
3,3,95,0.7754626535,0.74925
3,4,95,0.7681054115,0.75225
4,0,95,0.7494229994,0.7583333333
4,1,95,0.745454365,0.7656666667
4,2,95,0.7939999007,0.7451666667
4,3,95,0.751801775,0.7506666667
4,4,95,0.8343324744,0.7383333333
0,0,95,0.7974743295,0.7541666667
0,1,95,0.7937258479,0.74575
0,2,95,0.751600042,0.75425
0,3,95,0.8227012331,0.7415
0,4,95,0.7269373629,0.7584166667
1,0,99,0.7653825924,0.759
1,1,99,0.7605899649,0.7555
1,2,99,0.7394586731,0.7634166667
1,3,99,0.8439326446,0.7445833333
1,4,99,0.7557583876,0.7588333333
2,0,99,0.7514610879,0.76075
2,1,99,0.7777310905,0.751
2,2,99,0.7573834374,0.7499166667
2,3,99,0.8537464854,0.7125
2,4,99,0.7527507171,0.7541666667
3,0,99,0.7559937402,0.758
3,1,99,0.8058993197,0.7373333333
3,2,99,0.7754494994,0.751
3,3,99,0.8848165232,0.7371666667
3,4,99,0.7713107022,0.7601666667
4,0,99,0.7939897887,0.7460833333
4,1,99,0.7566284277,0.7624166667
4,2,99,0.7710503189,0.7486666667
4,3,99,0.7469566549,0.7556666667
4,4,99,0.7882618807,0.7570833333
0,0,99,0.7527716542,0.7581666667
0,1,99,0.7590047052,0.7638333333
0,2,99,0.7477868903,0.7643333333
0,3,99,0.7311978464,0.7591666667
0,4,99,0.7814962588,0.74175
1,0,100,0.7566711697,0.7504166667
1,1,100,0.7145695181,0.7558333333
1,2,100,0.7295077927,0.75625
1,3,100,0.7207535789,0.7545
1,4,100,0.7417546133,0.7473333333
2,0,100,0.8057643921,0.7335
2,1,100,0.6748633265,0.7694166667
2,2,100,0.7367165438,0.755
2,3,100,0.7448749883,0.7501666667
2,4,100,0.6991676312,0.76125
3,0,100,0.680441804,0.7709166667
3,1,100,0.6760373979,0.77275
3,2,100,0.6981847239,0.76125
3,3,100,0.7351931365,0.7484166667
3,4,100,0.6823938429,0.7690833333
4,0,100,0.6972924337,0.7669166667
4,1,100,0.6973724569,0.7618333333
4,2,100,0.7445407476,0.752
4,3,100,0.7259699081,0.7515
4,4,100,0.6837762958,0.76175
0,0,100,0.721074079,0.755
0,1,100,0.6965158352,0.7671666667
0,2,100,0.7547790143,0.7484166667
0,3,100,0.7097203721,0.7611666667
0,4,100,0.7186944838,0.7605
