"Run Number","Mutation Number","Percentage","Loss","Accuracy"
0,0,5,0.7135298389,0.75625
0,1,5,0.6987583957,0.7620833333
0,2,5,0.7102254139,0.7549166667
0,3,5,0.7170576429,0.7491666667
0,4,5,0.6879519437,0.7645833333
1,0,5,0.6865554368,0.7654166667
1,1,5,0.7385552034,0.7465
1,2,5,0.7100762577,0.7599166667
1,3,5,0.6950972714,0.7611666667
1,4,5,0.6834932775,0.7655
2,0,5,0.6937770711,0.76175
2,1,5,0.68916351,0.76475
2,2,5,0.6982248962,0.7590833333
2,3,5,0.7140981995,0.7576666667
2,4,5,0.7137076552,0.7633333333
3,0,5,0.678100064,0.76625
3,1,5,0.7295876929,0.75225
3,2,5,0.6897630111,0.77025
3,3,5,0.6992767386,0.7614166667
3,4,5,0.6939819218,0.7625
4,0,5,0.7151267849,0.7560833333
4,1,5,0.7152913,0.756
4,2,5,0.7131084088,0.7575833333
4,3,5,0.7134116513,0.75675
4,4,5,0.6923894776,0.76625
0,0,10,0.7151602603,0.7578333333
0,1,10,0.7054136078,0.76125
0,2,10,0.7144109473,0.76325
0,3,10,0.7327735354,0.7473333333
0,4,10,0.7015535138,0.7641666667
1,0,10,0.6863276792,0.7684166667
1,1,10,0.7657543583,0.7425
1,2,10,0.6999635127,0.7621666667
1,3,10,0.7122177196,0.7555
1,4,10,0.7222032045,0.7565
2,0,10,0.6947532704,0.7585
2,1,10,0.726652606,0.7513333333
2,2,10,0.7104644618,0.7558333333
2,3,10,0.7200802927,0.7495
2,4,10,0.6900895476,0.76425
3,0,10,0.6788000638,0.7700833333
3,1,10,0.7347749845,0.7540833333
3,2,10,0.73901861,0.7539166667
3,3,10,0.7027356789,0.7586666667
3,4,10,0.7301443422,0.7603333333
4,0,10,0.7249559548,0.7558333333
4,1,10,0.6923561238,0.76725
4,2,10,0.7158250684,0.7568333333
4,3,10,0.7072119338,0.7580833333
4,4,10,0.7364068162,0.7493333333
0,0,25,0.7345760251,0.7556666667
0,1,25,0.7385069232,0.75775
0,2,25,0.7543227847,0.7474166667
0,3,25,0.7792297054,0.73875
0,4,25,0.7574874713,0.7513333333
1,0,25,0.745458807,0.7485833333
1,1,25,0.7580278947,0.7475
1,2,25,0.7410516443,0.75875
1,3,25,0.7571507332,0.7449166667
1,4,25,0.7041163186,0.7635833333
2,0,25,0.7862780255,0.7440833333
2,1,25,0.694935895,0.7698333333
2,2,25,0.7579361819,0.7445833333
2,3,25,0.7537729005,0.7421666667
2,4,25,0.7132077835,0.7676666667
3,0,25,0.7360582918,0.7560833333
3,1,25,0.7191074042,0.7583333333
3,2,25,0.7650177816,0.751
3,3,25,0.7403154818,0.7438333333
3,4,25,0.7416400321,0.75675
4,0,25,0.7389669308,0.75275
4,1,25,0.7082493103,0.7615
4,2,25,0.7274018655,0.7609166667
4,3,25,0.7278560894,0.7500833333
4,4,25,0.7145353937,0.7625833333
0,0,50,0.7953759789,0.7191666667
0,1,50,0.7618118902,0.73125
0,2,50,0.7615398574,0.7323333333
0,3,50,0.7846006173,0.7165833333
0,4,50,0.7559402835,0.7363333333
1,0,50,0.797294476,0.7150833333
1,1,50,0.7437770187,0.7331666667
1,2,50,0.7768303761,0.7363333333
1,3,50,0.7723669979,0.7258333333
1,4,50,0.7472302286,0.7454166667
2,0,50,0.7610899588,0.724
2,1,50,0.7492699406,0.7379166667
2,2,50,0.7677128557,0.7326666667
2,3,50,0.7607340013,0.7173333333
2,4,50,0.7966519664,0.7150833333
3,0,50,0.775341834,0.7334166667
3,1,50,0.7757984918,0.7221666667
3,2,50,0.8087042994,0.702
3,3,50,0.7518566839,0.7270833333
3,4,50,0.7488297714,0.73975
4,0,50,0.7594901744,0.7464166667
4,1,50,0.7791783556,0.72
4,2,50,0.7802052823,0.723
4,3,50,0.7870008554,0.7214166667
4,4,50,0.781573439,0.73625
0,0,75,0.8570753052,0.68925
0,1,75,0.8076149396,0.6901666667
0,2,75,0.8837628078,0.6789166667
0,3,75,0.843315793,0.67475
0,4,75,0.8359813863,0.6785833333
1,0,75,0.8556274169,0.6815833333
1,1,75,0.7924089147,0.6949166667
1,2,75,0.8229473482,0.68975
1,3,75,0.8369533141,0.6800833333
1,4,75,0.8255741202,0.6868333333
2,0,75,0.8293991011,0.6905833333
2,1,75,0.7936403674,0.6925833333
2,2,75,0.8285790914,0.68525
2,3,75,0.8385933562,0.6735
2,4,75,0.8317484953,0.6858333333
3,0,75,0.8127121553,0.6965833333
3,1,75,0.8153351505,0.6903333333
3,2,75,0.8408974854,0.6791666667
3,3,75,0.8485187407,0.6729166667
3,4,75,0.8339438929,0.6843333333
4,0,75,0.822842383,0.68725
4,1,75,0.8637196258,0.6858333333
4,2,75,0.8534920527,0.681
4,3,75,0.9070754209,0.6700833333
4,4,75,0.8585889701,0.67625
0,0,80,0.8147919758,0.6945
0,1,80,0.874626239,0.6836666667
0,2,80,0.9059934112,0.6761666667
0,3,80,0.8627387354,0.6749166667
0,4,80,0.869749673,0.6855833333
1,0,80,0.8284657338,0.6869166667
1,1,80,0.8076644762,0.6990833333
1,2,80,0.8391300944,0.68625
1,3,80,0.9236002553,0.6598333333
1,4,80,0.858056281,0.6670833333
2,0,80,0.876303969,0.6861666667
2,1,80,0.8530125705,0.6841666667
2,2,80,0.9132725636,0.6824166667
2,3,80,0.8636666075,0.6738333333
2,4,80,0.8452009956,0.6740833333
3,0,80,0.8982258075,0.6808333333
3,1,80,0.845552476,0.6853333333
3,2,80,0.8497778352,0.6836666667
3,3,80,0.8216353124,0.6856666667
3,4,80,0.8839001696,0.6728333333
4,0,80,0.8365073223,0.6855
4,1,80,0.8661414187,0.686
4,2,80,0.8837187478,0.6828333333
4,3,80,0.8822780731,0.6711666667
4,4,80,0.8677879883,0.67625
1,0,85,0.8919540895,0.6791666667
1,1,85,0.8699958722,0.68825
1,2,85,0.8641091103,0.6891666667
1,3,85,0.8576490901,0.6734166667
1,4,85,0.8809349096,0.67575
2,0,85,0.8817171052,0.6901666667
2,1,85,0.9394746472,0.691
2,2,85,0.9310017633,0.6845
2,3,85,0.9151040824,0.674
2,4,85,0.9234721988,0.6733333333
3,0,85,0.8418798572,0.6959166667
3,1,85,0.9271338753,0.6731666667
3,2,85,0.9148304123,0.6849166667
3,3,85,0.8728476066,0.6759166667
3,4,85,0.9083783194,0.6755
4,0,85,0.8453624778,0.6920833333
4,1,85,0.8940968317,0.6854166667
4,2,85,0.8782740567,0.6831666667
4,3,85,0.8655178664,0.6695
4,4,85,0.864552804,0.6809166667
0,0,85,0.9016295079,0.6898333333
0,1,85,0.8624670617,0.685
0,2,85,0.8556374106,0.6874166667
0,3,85,0.8569077464,0.6766666667
0,4,85,0.9549025888,0.6598333333
1,0,90,0.945451578,0.6794166667
1,1,90,0.9344954201,0.6836666667
1,2,90,0.929943526,0.685
1,3,90,0.906638133,0.6749166667
1,4,90,0.9583576533,0.67425
2,0,90,0.9473135258,0.6759166667
2,1,90,0.9846777871,0.6785833333
2,2,90,0.9849645545,0.6846666667
2,3,90,1.0340225768,0.665
2,4,90,0.9872088034,0.6735
3,0,90,1.0233148355,0.6786666667
3,1,90,0.9329407491,0.6785833333
3,2,90,0.9677378696,0.6733333333
3,3,90,0.9384374993,0.6720833333
3,4,90,0.9493402543,0.6765833333
4,0,90,0.9358139048,0.6914166667
4,1,90,0.9378690837,0.6919166667
4,2,90,1.0007577545,0.6835833333
4,3,90,0.9932194619,0.67225
4,4,90,0.9639658631,0.6820833333
0,0,90,0.9804226166,0.6769166667
0,1,90,0.8791870991,0.6913333333
0,2,90,0.9437734039,0.6878333333
0,3,90,0.9940959224,0.67425
0,4,90,1.002493588,0.6743333333
1,0,95,1.1889463657,0.6661666667
1,1,95,1.0683022388,0.68925
1,2,95,1.1446433944,0.6813333333
1,3,95,1.2546226865,0.6660833333
1,4,95,1.1584606153,0.6775
2,0,95,1.1416935193,0.6773333333
2,1,95,1.0348383852,0.6970833333
2,2,95,1.2438033059,0.68175
2,3,95,0.9932312876,0.6685833333
2,4,95,1.1094340711,0.67625
3,0,95,1.18980078,0.6833333333
3,1,95,1.1320622985,0.6848333333
3,2,95,1.0991586321,0.67925
3,3,95,1.1607631569,0.66175
3,4,95,0.989270592,0.6765
4,0,95,1.0416490455,0.6895
4,1,95,1.1547308162,0.6828333333
4,2,95,1.1915121357,0.6781666667
4,3,95,1.0722548538,0.6813333333
4,4,95,1.1753227005,0.6671666667
0,0,95,1.1040618567,0.66825
0,1,95,1.0264221146,0.68675
0,2,95,1.0955379799,0.6811666667
0,3,95,1.2070128372,0.6755833333
0,4,95,1.1067525776,0.6829166667
1,0,99,2.1155215842,0.6880833333
1,1,99,2.227403826,0.6905
1,2,99,2.1842570476,0.6838333333
1,3,99,2.2477533709,0.6713333333
1,4,99,2.1349669887,0.678
2,0,99,2.1371190585,0.6943333333
2,1,99,2.2075627056,0.6823333333
2,2,99,2.16012994,0.6809166667
2,3,99,2.2414880315,0.6653333333
2,4,99,2.2441224486,0.685
3,0,99,2.2577461576,0.66525
3,1,99,2.2109757473,0.6911666667
3,2,99,2.1753762627,0.6886666667
3,3,99,2.2180092324,0.6755833333
3,4,99,2.2400661014,0.68
4,0,99,2.1513506653,0.68775
4,1,99,2.1834018606,0.68825
4,2,99,2.1835272501,0.6841666667
4,3,99,2.2352124085,0.676
4,4,99,2.2351222401,0.6766666667
0,0,99,2.1796164842,0.683
0,1,99,2.2284521724,0.67125
0,2,99,2.1681612107,0.68
0,3,99,2.2016081405,0.6743333333
0,4,99,2.2716155388,0.68075
1,0,100,2.1857161387,0.6800833333
1,1,100,2.2208203653,0.6856666667
1,2,100,2.1994890501,0.6881666667
