"Run Number","Mutation Number","Percentage","Loss","Accuracy"
1,0,5,0.7023628404,0.76125
1,1,5,0.7288399105,0.7519166667
1,2,5,0.7085458486,0.7623333333
1,3,5,0.7292145503,0.7516666667
1,4,5,0.6906006054,0.763
2,0,5,0.7146015759,0.7594166667
2,1,5,0.7114984988,0.7559166667
2,2,5,0.7082779289,0.75925
2,3,5,0.6892635964,0.7621666667
2,4,5,0.7028894014,0.7601666667
3,0,5,0.6991944731,0.7643333333
3,1,5,0.6926307212,0.7669166667
3,2,5,0.7132375383,0.7621666667
3,3,5,0.7661073833,0.7411666667
3,4,5,0.7030593667,0.76475
4,0,5,0.6711293793,0.7675833333
4,1,5,0.6794902727,0.7691666667
4,2,5,0.7311370647,0.757
4,3,5,0.7012180013,0.7618333333
4,4,5,0.7024157472,0.7603333333
0,0,5,0.6918932749,0.7621666667
0,1,5,0.6895710105,0.76375
0,2,5,0.7176868865,0.7550833333
0,3,5,0.7089977637,0.7589166667
0,4,5,0.7333059374,0.7521666667
1,0,10,0.6825985196,0.76475
1,1,10,0.7084512883,0.7600833333
1,2,10,0.7015888639,0.7629166667
1,3,10,0.717488325,0.7538333333
1,4,10,0.6753181117,0.7688333333
2,0,10,0.678918296,0.7683333333
2,1,10,0.7017776768,0.7585833333
2,2,10,0.6994496659,0.7691666667
2,3,10,0.7248702847,0.7559166667
2,4,10,0.7174742843,0.7524166667
3,0,10,0.6894633021,0.7700833333
3,1,10,0.7371113966,0.751
3,2,10,0.7295689145,0.7570833333
3,3,10,0.7196398012,0.75325
3,4,10,0.6955562705,0.7635833333
4,0,10,0.7085937161,0.7613333333
4,1,10,0.7100557845,0.7621666667
4,2,10,0.719605324,0.7553333333
4,3,10,0.7195807772,0.7510833333
4,4,10,0.7144401853,0.7575833333
0,0,10,0.7140165622,0.7595
0,1,10,0.6948959123,0.7649166667
0,2,10,0.7008104392,0.7621666667
0,3,10,0.693924998,0.7618333333
0,4,10,0.6774179114,0.7673333333
1,0,25,0.7563151894,0.7523333333
1,1,25,0.756080289,0.7474166667
1,2,25,0.72089202,0.7613333333
1,3,25,0.7126252491,0.7579166667
1,4,25,0.732041002,0.7545
2,0,25,0.7265547032,0.7596666667
2,1,25,0.6911857965,0.7639166667
2,2,25,0.7398370049,0.7525833333
2,3,25,0.7239854595,0.7519166667
2,4,25,0.7435500491,0.75875
3,0,25,0.7151936319,0.7651666667
3,1,25,0.7502441838,0.7463333333
3,2,25,0.7288940363,0.7578333333
3,3,25,0.7427894635,0.754
3,4,25,0.7583537532,0.7514166667
4,0,25,0.7695082614,0.7404166667
4,1,25,0.7359723184,0.7546666667
4,2,25,0.7047074835,0.76075
4,3,25,0.7153998694,0.756
4,4,25,0.7189668687,0.7554166667
0,0,25,0.7635078797,0.7496666667
0,1,25,0.7632757463,0.744
0,2,25,0.7253363958,0.7571666667
0,3,25,0.7110751719,0.7560833333
0,4,25,0.7134719539,0.7606666667
1,0,50,0.7729277112,0.7511666667
