"Run Number","Mutation Number","Percentage","Accuracy","Loss"
1,0,5,0.76925,0.6672637575
1,1,5,0.7474166667,0.7361482973
1,2,5,0.7476666667,0.7510903574
1,3,5,0.74675,0.7378453683
1,4,5,0.7579166667,0.7172216576
1,0,5,0.753,0.7180441009
1,1,5,0.7513333333,0.7336419117
1,2,5,0.7573333333,0.7199314359
1,3,5,0.7503333333,0.7289008709
1,4,5,0.7283333333,0.7912826988
1,0,5,0.72775,0.787633107
1,1,5,0.7405833333,0.7502021123
1,2,5,0.7200833333,0.8147925541
1,3,5,0.7301666667,0.7993040837
1,4,5,0.7494166667,0.7281140691
1,0,5,0.6859166667,0.9418256273
1,1,5,0.6886666667,0.8952578923
1,2,5,0.7069166667,0.8621085192
1,3,5,0.698,0.8640599612
1,4,5,0.6925833333,0.8750992463
0,0,5,0.749,0.7587767242
0,1,5,0.7565,0.7213409278
0,2,5,0.747,0.7336039512
0,3,5,0.7371666667,0.753873589
0,4,5,0.7570833333,0.719414474
1,0,10,0.639,1.0413735733
1,1,10,0.6309166667,1.0464864405
1,2,10,0.5825833333,1.1869898313
1,3,10,0.6334166667,1.0426759555
1,4,10,0.6244166667,1.0737855946
1,0,10,0.5369166667,1.4150146151
1,1,10,0.5945,1.1649944671
1,2,10,0.57125,1.2200312335
1,3,10,0.5961666667,1.146681513
1,4,10,0.6151666667,1.096678054
1,0,10,0.5354166667,1.3476450265
1,1,10,0.5200833333,1.3643694421
1,2,10,0.4941666667,1.4946780092
1,3,10,0.5634166667,1.2234968249
1,4,10,0.5285833333,1.3363945378
1,0,10,0.448,1.5844266577
1,1,10,0.4988333333,1.4028766653
1,2,10,0.5125,1.3640289941
1,3,10,0.498,1.4111707881
1,4,10,0.53725,1.3032798309
0,0,10,0.7541666667,0.7230340689
0,1,10,0.75375,0.7367114486
0,2,10,0.7444166667,0.7382928342
0,3,10,0.757,0.711516626
0,4,10,0.7375833333,0.7672072488
1,0,25,0.4341666667,1.5558109582
1,1,25,0.4635,1.5053078944
1,2,25,0.4655,1.4816804034
1,3,25,0.4080833333,1.6156324193
1,4,25,0.4483333333,1.5234301974
1,0,25,0.3195833333,1.9100402956
1,1,25,0.3256666667,1.8778377552
1,2,25,0.2925833333,1.9400579967
1,3,25,0.29625,1.937719011
1,4,25,0.2910833333,1.9390933736
2,0,25,0.728,0.8104885557
2,1,25,0.7173333333,0.8318794426
2,2,25,0.7331666667,0.779956593
2,3,25,0.73825,0.7440931181
2,4,25,0.7524166667,0.7329616345
2,0,25,0.74725,0.7458334618
2,1,25,0.7203333333,0.8654495318
2,2,25,0.7421666667,0.759963632
2,3,25,0.7409166667,0.733725078
2,4,25,0.7461666667,0.7346915865
0,0,25,0.7361666667,0.7740071041
0,1,25,0.7346666667,0.7815606662
0,2,25,0.7434166667,0.7526725278
0,3,25,0.7175833333,0.8264892681
0,4,25,0.7375833333,0.7479290106
2,0,50,0.7261666667,0.8052302675
2,1,50,0.681,0.9509405607
2,2,50,0.7350833333,0.7744064291
2,3,50,0.7268333333,0.7856080333
2,4,50,0.7308333333,0.7886534763
2,0,50,0.6914166667,0.9047878774
2,1,50,0.71275,0.8287639781
2,2,50,0.706,0.8546545715
2,3,50,0.6556666667,0.9875929955
2,4,50,0.6496666667,1.021789195
2,0,50,0.6034166667,1.1246711032
2,1,50,0.6031666667,1.1484651483
2,2,50,0.64125,1.0311683869
2,3,50,0.6178333333,1.0938069841
2,4,50,0.59525,1.163565728
2,0,50,0.5981666667,1.1219190582
2,1,50,0.5936666667,1.1555127622
2,2,50,0.6021666667,1.1358815498
2,3,50,0.5818333333,1.1881631552
2,4,50,0.5970833333,1.1469100955
