Run Number,Mutation Number,Percentage,StDev,Accuracy,Loss
0,0,5,25,0.724126449,0.7539167
0,1,5,25,0.737745872,0.75158334
0,2,5,25,0.724420264,0.7543333
0,3,5,25,0.722708514,0.76025
0,4,5,25,0.725544847,0.757
1,0,5,25,0.723916982,0.75825
1,1,5,25,0.772116929,0.7543333
1,2,5,25,0.72723583,0.7550833
1,3,5,25,0.709532834,0.7615
1,4,5,25,0.698159117,0.7643333
2,0,5,25,0.710920276,0.75808334
2,1,5,25,0.769114986,0.7455
2,2,5,25,0.797641869,0.7493333
2,3,5,25,0.737713558,0.75408334
2,4,5,25,0.715269703,0.7558333
3,0,5,25,0.745173463,0.7455
3,1,5,25,0.741939298,0.7414167
3,2,5,25,0.723725978,0.7525833
3,3,5,25,0.703434859,0.75633335
3,4,5,25,0.707934972,0.756
4,0,5,25,0.750120813,0.75025
4,1,5,25,0.727435267,0.7495
4,2,5,25,0.720995116,0.75375
4,3,5,25,0.716586593,0.74983335
4,4,5,25,0.693102264,0.7665
0,0,5,50,0.76321104,0.7515
0,1,5,50,0.733261165,0.75425
0,2,5,50,0.69749131,0.7650833
0,3,5,50,0.734788422,0.7515
0,4,5,50,0.751168698,0.7428333
1,0,5,50,0.74982874,0.75616664
1,1,5,50,0.707430842,0.7581667
1,2,5,50,0.722643032,0.74791664
1,3,5,50,0.728603047,0.7524167
1,4,5,50,0.738279045,0.74908334
2,0,5,50,0.784934013,0.74091667
2,1,5,50,0.716177944,0.7589167
2,2,5,50,0.706270931,0.76575
2,3,5,50,0.718555097,0.7593333
2,4,5,50,0.720561045,0.75708336
3,0,5,50,0.769577563,0.7456667
3,1,5,50,0.72937705,0.75191665
3,2,5,50,0.736424972,0.7468333
3,3,5,50,0.730370375,0.7510833
3,4,5,50,0.718124525,0.7499167
4,0,5,50,0.711849746,0.75558335
4,1,5,50,0.751468726,0.7499167
4,2,5,50,0.742819321,0.7585
4,3,5,50,0.704922564,0.75783336
4,4,5,50,0.706299893,0.75458336
0,0,5,75,0.713132414,0.75925
0,1,5,75,0.743934069,0.74908334
0,2,5,75,0.700901826,0.75733334
0,3,5,75,0.712626171,0.7579167
0,4,5,75,0.705351864,0.7629167
1,0,5,75,0.726127419,0.7564167
1,1,5,75,0.714787201,0.7558333
1,2,5,75,0.718875286,0.75808334
1,3,5,75,0.720628801,0.7543333
1,4,5,75,0.71464422,0.7554167
