"Run Number","Accuracy","Loss"
0,0.7696666667,0.6751033748
1,0.7628333333,0.6988256695
2,0.7649166667,0.6945273791
3,0.7571666667,0.7128007367
4,0.76475,0.6920303195
5,0.7661666667,0.6885983662
6,0.7603333333,0.7063882171
7,0.7614166667,0.7085544072
8,0.7624166667,0.6950816348
9,0.7669166667,0.6818518751
10,0.7624166667,0.7031641695
11,0.7598333333,0.6974495467
12,0.7503333333,0.7190402401
13,0.7505833333,0.7210464509
14,0.7549166667,0.7152447366
15,0.761,0.7029627073
16,0.7630833333,0.6933889258
17,0.758,0.7102324462
18,0.7579166667,0.70220314
19,0.7540833333,0.7166279534
