"Run Number","Mutation Number","Accuracy","Loss"
0,0,0.7558333333,0.7048779019
0,1,0.7633333333,0.6830613731
0,2,0.7516666667,0.7268563378
0,3,0.76,0.6992763373
0,4,0.7695833333,0.6746464906
1,0,0.75475,0.7015415837
1,1,0.76,0.7036513218
1,2,0.7584166667,0.7004138217
1,3,0.7570833333,0.7154473995
1,4,0.7565,0.7064716358
2,0,0.7619166667,0.7027879609
2,1,0.7575833333,0.7091460076
2,2,0.7655,0.6942918891
2,3,0.7690833333,0.6889750494
2,4,0.7533333333,0.7140272178
3,0,0.7521666667,0.720455713
3,1,0.75675,0.7002815828
3,2,0.749,0.7400656555
3,3,0.7630833333,0.6878630437
3,4,0.756,0.7194531181
4,0,0.75525,0.7011785177
4,1,0.7535833333,0.7225420839
4,2,0.759,0.7033678573
4,3,0.76325,0.6966620779
4,4,0.7656666667,0.6878848156
