"Run Number","Mutation Number","Accuracy","Loss"
0,0,0.73,1.0471096596
0,1,0.6565,1.5079137715
0,2,0.6316666667,1.5709181813
0,3,0.70475,1.1387768652
0,4,0.6779166667,1.2436299571
1,0,0.75625,0.9570569332
1,1,0.742,0.9621683722
1,2,0.6988333333,1.1785940586
1,3,0.7321666667,1.0170815682
1,4,0.6173333333,1.7600190384
2,0,0.66675,1.3524947861
2,1,0.74,1.0389737175
2,2,0.7068333333,1.147191371
2,3,0.6224166667,1.7348772461
2,4,0.7171666667,1.1558150094
3,0,0.5955833333,1.899567584
3,1,0.7536666667,1.0009837902
3,2,0.597,1.758507452
3,3,0.6483333333,1.7154060116
3,4,0.6710833333,1.2835191642
4,0,0.6600833333,1.4224209293
4,1,0.7410833333,1.0043924131
4,2,0.6763333333,1.4121669783
4,3,0.69425,1.2201465575
4,4,0.5323333333,2.2509084733
