"Run Number","Mutation Number","Percentage","Accuracy","Loss"
0,0,5,0.7150833335,1.0539703169
0,1,5,0.7070833335,0.9955817388
0,2,5,0.6990833332,1.190461943
0,3,5,0.7203333333,1.0110273215
0,4,5,0.7085833332,1.0457395015
1,0,5,0.7425,0.987166516
1,1,5,0.7460833333,0.9275930756
1,2,5,0.7401666668,0.9237688287
1,3,5,0.6985,1.0513635678
1,4,5,0.7249166667,1.0582123976
2,0,5,0.7105,1.088915829
2,1,5,0.6674166667,1.2822253335
2,2,5,0.6661666668,1.2844848824
2,3,5,0.7340000002,0.9569193858
2,4,5,0.74025,0.9205463279
3,0,5,0.7166666667,1.0744001156
3,1,5,0.6409166667,1.4277363229
3,2,5,0.7389166667,1.0435476478
3,3,5,0.7453333333,0.9970926185
3,4,5,0.66225,1.27936057
4,0,5,0.64425,1.4411287451
4,1,5,0.72825,1.0452167734
4,2,5,0.6315833333,1.3875652568
4,3,5,0.6273333333,1.7486939247
4,4,5,0.71775,1.1002384568
0,0,10,0.6973333332,1.0977216323
0,1,10,0.7424999998,0.9866414299
0,2,10,0.7456666665,0.8909979393
0,3,10,0.7078333333,1.1094271534
0,4,10,0.7430000002,0.9562426934
1,0,10,0.70975,1.1196445875
1,1,10,0.7282499998,0.9745126859
1,2,10,0.7050000002,1.1175072066
1,3,10,0.7038333335,1.1604167004
1,4,10,0.6974166668,1.1459441379
2,0,10,0.7419166665,0.9747209689
2,1,10,0.7400000002,1.0451670446
2,2,10,0.7205833333,1.0221789311
2,3,10,0.7374999998,0.9815341172
2,4,10,0.7522500002,0.9884752204
3,0,10,0.722,1.0554796152
3,1,10,0.6084166667,1.7320231315
3,2,10,0.679,1.2676454989
3,3,10,0.6451666667,1.4853827758
3,4,10,0.7146666667,1.1315397706
4,0,10,0.66625,1.3136434377
4,1,10,0.6915833333,1.2794000505
4,2,10,0.6925833333,1.228715263
4,3,10,0.66925,1.3904689768
4,4,10,0.5850833333,1.95203134
