"Run Number","Mutation Number","Percentage","Accuracy","Loss"
0,0,5,0.6846666667,1.2186562313
0,1,5,0.6673333333,1.3975270793
0,2,5,0.6455833333,1.557732053
0,3,5,0.6576666667,1.382578296
0,4,5,0.6826666667,1.2470058767
1,0,5,0.6901666667,1.2620707537
1,1,5,0.6494166667,1.3791681976
1,2,5,0.6783333333,1.488516832
1,3,5,0.6721666667,1.2516180115
1,4,5,0.6755833333,1.2701292443
2,0,5,0.6694166667,1.3530518435
2,1,5,0.6903333333,1.2576545097
2,2,5,0.6758333333,1.3534469169
2,3,5,0.64875,1.5564319545
2,4,5,0.6913333333,1.1868174152
3,0,5,0.71,1.065904474
3,1,5,0.70175,1.2062930211
3,2,5,0.66775,1.4456746324
3,3,5,0.7099166667,1.1895785308
3,4,5,0.6820833333,1.2641265184
4,0,5,0.7168333333,1.1180567925
4,1,5,0.53125,2.3025534722
4,2,5,0.6836666667,1.2203643104
4,3,5,0.60625,1.5101189319
4,4,5,0.6294166667,1.5513772265
0,0,10,0.72075,1.0731117674
0,1,10,0.5825833333,1.6746932658
0,2,10,0.62575,1.7357689301
0,3,10,0.7425,0.9356390992
0,4,10,0.6723333333,1.2540438673
1,0,10,0.7044166667,1.154724177
1,1,10,0.6619166667,1.3700716804
1,2,10,0.7135833333,1.2168318184
1,3,10,0.6745833333,1.3141650529
1,4,10,0.7100833333,1.1584967773
2,0,10,0.6996666667,1.1636795629
2,1,10,0.7044166667,1.1454871938
2,2,10,0.63875,1.4820816247
2,3,10,0.6900833333,1.0895593584
2,4,10,0.6546666667,1.4607376358
3,0,10,0.7064166667,1.1015016439
3,1,10,0.5774166667,2.0400884034
3,2,10,0.6916666667,1.205664675
3,3,10,0.70525,1.1705323009
3,4,10,0.7343333333,1.0061925634
4,0,10,0.6843333333,1.2818850705
4,1,10,0.6645833333,1.3064843681
4,2,10,0.6679166667,1.3689115508
4,3,10,0.7165,1.0680376122
4,4,10,0.6736666667,1.4035194702
0,0,25,0.6645833333,1.3288666825
0,1,25,0.6783333333,1.3214402595
0,2,25,0.6195,1.8840869821
0,3,25,0.66025,1.4500699485
0,4,25,0.7266666667,1.0046234461
1,0,25,0.6840833333,1.3185800358
1,1,25,0.6774166667,1.2197268896
1,2,25,0.6443333333,1.3972615925
1,3,25,0.7383333333,1.0033128378
1,4,25,0.7173333333,1.1213661761
2,0,25,0.6994166667,1.2394773237
2,1,25,0.7141666667,1.103473825
2,2,25,0.6150833333,1.5412385963
2,3,25,0.6296666667,1.7164393924
2,4,25,0.6095,1.8601744148
3,0,25,0.7348333333,1.0202894191
3,1,25,0.5789166667,1.8479788114
3,2,25,0.6855833333,1.1168475533
3,3,25,0.5206666667,2.2114990433
3,4,25,0.7143333333,1.0621763369
4,0,25,0.7273333333,1.0677512489
4,1,25,0.6645,1.3804378885
4,2,25,0.7034166667,1.203479905
4,3,25,0.6590833333,1.3181433873
4,4,25,0.71275,1.1107603532
0,0,50,0.605,1.5619060044
0,1,50,0.6951666667,1.2433019878
0,2,50,0.73375,0.9956250771
0,3,50,0.6931666667,1.1590846356
0,4,50,0.6893333333,1.1715225566
1,0,50,0.7069166667,1.1296511997
1,1,50,0.6896666667,1.2314544371
1,2,50,0.6756666667,1.283475763
1,3,50,0.6839166667,1.1878021631
1,4,50,0.6261666667,1.4609081813
2,0,50,0.6573333333,1.290747345
2,1,50,0.7214166667,1.0642395878
2,2,50,0.7085,1.1118170358
2,3,50,0.6250833333,1.5756116719
2,4,50,0.603,1.563272384
3,0,50,0.6153333333,1.6331690798
3,1,50,0.6624166667,1.3821606593
