Run Number,Mutation Number,Percentage,Std_Percentage,Loss,Accuracy
0,0,5,25,1.084388699,0.70575
0,1,5,25,1.622710074,0.605916667
0,2,5,25,1.750406643,0.623916667
0,3,5,25,1.02410747,0.732333333
0,4,5,25,1.226810843,0.689333333
1,0,5,25,1.208850589,0.666583333
1,1,5,25,1.247269268,0.6755
1,2,5,25,1.323497588,0.684416667
1,3,5,25,1.215495737,0.6975
1,4,5,25,1.05588558,0.71625
2,0,5,25,1.197814107,0.690333333
2,1,5,25,1.510829919,0.642666667
2,2,5,25,1.788647958,0.5925
2,3,5,25,1.336088849,0.670083333
2,4,5,25,1.447109174,0.655833333
3,0,5,25,1.491028858,0.6515
3,1,5,25,1.682758791,0.630166667
3,2,5,25,1.39746371,0.656166667
3,3,5,25,1.362325378,0.664083333
3,4,5,25,1.343948864,0.672166667
4,0,5,25,1.456651905,0.648583333
4,1,5,25,1.395572572,0.663416667
4,2,5,25,1.287268924,0.671833333
4,3,5,25,1.421878349,0.634166667
4,4,5,25,1.015452748,0.741583333
0,0,5,50,1.243389981,0.699666667
0,1,5,50,1.714210737,0.59475
0,2,5,50,1.228813283,0.689916667
0,3,5,50,1.094543051,0.7125
0,4,5,50,1.420071656,0.626916667
1,0,5,50,0.983145803,0.741583333
1,1,5,50,1.799916404,0.597416667
1,2,5,50,1.161231949,0.706583333
1,3,5,50,1.300270575,0.685916667
1,4,5,50,1.274494069,0.672166667
2,0,5,50,1.242528478,0.663333333
2,1,5,50,1.924623309,0.596833333
2,2,5,50,1.487236382,0.634583333
2,3,5,50,1.205790543,0.695083333
2,4,5,50,1.27378939,0.686916667
3,0,5,50,1.054890896,0.721833333
3,1,5,50,1.511819023,0.666083333
3,2,5,50,1.202141011,0.702416667
3,3,5,50,1.369522266,0.644416667
3,4,5,50,1.496200056,0.608666667
4,0,5,50,1.628021988,0.614666667
4,1,5,50,1.253034065,0.68275
4,2,5,50,1.074974188,0.729
4,3,5,50,1.376891731,0.660833333
4,4,5,50,1.286610731,0.673583333
0,0,5,75,1.494253999,0.6535
0,1,5,75,1.336903341,0.68825
0,2,5,75,0.974548301,0.735833333
0,3,5,75,1.253643459,0.677333333
0,4,5,75,1.632909356,0.61375
1,0,5,75,1.278660992,0.700833333
1,1,5,75,1.285808314,0.69175
1,2,5,75,1.22040765,0.687333333
1,3,5,75,1.755040234,0.601166667
1,4,5,75,1.264321945,0.678
2,0,5,75,1.153274591,0.7085
2,1,5,75,1.109576074,0.714583333
2,2,5,75,1.108861493,0.70825
2,3,5,75,1.306579057,0.664416667
2,4,5,75,1.477092906,0.643833333
3,0,5,75,1.917905899,0.5905
3,1,5,75,1.141745521,0.69975
3,2,5,75,1.549888463,0.645583333
3,3,5,75,1.170744852,0.709666667
3,4,5,75,1.337249692,0.64
4,0,5,75,2.178715402,0.52125
4,1,5,75,1.415546933,0.672
4,2,5,75,1.092271487,0.722833333
4,3,5,75,1.510982979,0.636416667
4,4,5,75,1.323153541,0.678416667
0,0,5,100,1.418276986,0.668416667
0,1,5,100,1.06009634,0.711583333
0,2,5,100,1.649736367,0.638
0,3,5,100,1.253251548,0.698333333
0,4,5,100,1.286176202,0.671333333
1,0,5,100,1.08040536,0.746583333
1,1,5,100,1.324738528,0.680083333
1,2,5,100,1.44063894,0.681166667
1,3,5,100,1.208880821,0.717916667
1,4,5,100,1.168118592,0.712166667
2,0,5,100,1.598772979,0.617416667
2,1,5,100,1.306497307,0.667833333
2,2,5,100,1.512448986,0.637083333
2,3,5,100,1.045239822,0.734166667
2,4,5,100,1.510617348,0.606333333
3,0,5,100,1.091210549,0.726583333
3,1,5,100,1.058029646,0.72475
3,2,5,100,1.109144276,0.72325
3,3,5,100,1.463624241,0.665916667
3,4,5,100,1.204185714,0.6815
4,0,5,100,1.284233821,0.672416667
4,1,5,100,1.056067668,0.71225
4,2,5,100,1.005428085,0.732416667
4,3,5,100,1.184738005,0.705583333
4,4,5,100,1.231479352,0.690583333
0,0,10,25,2.213595085,0.543583333
0,1,10,25,1.288330059,0.65625
0,2,10,25,1.580125381,0.615916667
0,3,10,25,1.229737734,0.69275
0,4,10,25,1.246992982,0.678416667
1,0,10,25,1.241203441,0.707833333
1,1,10,25,1.154397318,0.71375
1,2,10,25,1.058913411,0.720916667
1,3,10,25,1.265317755,0.675416667
1,4,10,25,1.469087389,0.660083333
2,0,10,25,1.077102492,0.719666667
2,1,10,25,1.537903849,0.621583333
2,2,10,25,1.351694179,0.661833333
2,3,10,25,1.418290646,0.668083333
2,4,10,25,1.096844352,0.718333333
3,0,10,25,0.966828121,0.745666667
3,1,10,25,1.171962137,0.68975
3,2,10,25,1.569877921,0.61025
3,3,10,25,1.339540929,0.66825
3,4,10,25,1.091163177,0.716333333
4,0,10,25,1.278414372,0.691
4,1,10,25,1.184331752,0.679583333
4,2,10,25,0.898628507,0.748416667
4,3,10,25,1.43192381,0.640083333
4,4,10,25,1.174352734,0.6785
0,0,10,50,1.471432206,0.681
0,1,10,50,1.15698026,0.692916667
0,2,10,50,1.329098225,0.64275
0,3,10,50,1.093725994,0.706666667
0,4,10,50,1.406427076,0.636166667
1,0,10,50,0.979918379,0.728083333
1,1,10,50,1.206038897,0.68825
1,2,10,50,1.179347762,0.68425
1,3,10,50,1.368953832,0.6385
1,4,10,50,1.515040315,0.630666667
2,0,10,50,1.230018253,0.681666667
2,1,10,50,1.106444095,0.724
2,2,10,50,1.265823861,0.697583333
2,3,10,50,1.680998455,0.631333333
2,4,10,50,1.140609691,0.708083333
3,0,10,50,1.448876829,0.662916667
3,1,10,50,1.313739577,0.645833333
3,2,10,50,1.178078055,0.703166667
3,3,10,50,1.369262972,0.67075
3,4,10,50,1.296616653,0.67925
4,0,10,50,1.049219507,0.71875
4,1,10,50,0.993287794,0.738833333
4,2,10,50,1.313252648,0.668583333
4,3,10,50,0.984328216,0.733916667
4,4,10,50,1.462841339,0.662
0,0,10,75,1.231862447,0.681833333
0,1,10,75,1.379637171,0.665
0,2,10,75,1.040964876,0.72575
0,3,10,75,1.359392001,0.682416667
0,4,10,75,1.765942972,0.586833333
1,0,10,75,1.277138212,0.67675
1,1,10,75,1.147067828,0.716583333
1,2,10,75,1.078135845,0.72025
1,3,10,75,1.565584515,0.654833333
1,4,10,75,1.113220715,0.71475
2,0,10,75,1.224062165,0.687416667
2,1,10,75,1.093092747,0.709
2,2,10,75,1.060995294,0.704583333
2,3,10,75,1.42877843,0.664083333
2,4,10,75,1.238752028,0.687083333
3,0,10,75,1.203679047,0.6915
3,1,10,75,1.779740814,0.584916667
3,2,10,75,1.607948979,0.630833333
3,3,10,75,1.164323974,0.691166667
3,4,10,75,1.072458938,0.72
4,0,10,75,1.395122091,0.66
4,1,10,75,1.427131561,0.662083333
4,2,10,75,1.339856652,0.668333333
4,3,10,75,1.253531847,0.68
4,4,10,75,1.069455164,0.70825
0,0,10,100,1.382628376,0.627583333
0,1,10,100,1.212857091,0.70525
0,2,10,100,1.222805581,0.68875
0,3,10,100,0.937544337,0.744
0,4,10,100,1.677665496,0.635
1,0,10,100,1.117971633,0.7015
1,1,10,100,1.538694637,0.647416667
1,2,10,100,1.312125303,0.675833333
1,3,10,100,1.239803198,0.67825
1,4,10,100,1.151704396,0.707666667
2,0,10,100,1.41014364,0.65175
2,1,10,100,1.046449368,0.711416667
2,2,10,100,1.199237388,0.693416667
2,3,10,100,1.582727549,0.6365
2,4,10,100,1.425065288,0.656
3,0,10,100,1.355000808,0.687666667
3,1,10,100,1.099549099,0.72125
3,2,10,100,1.183454835,0.70325
3,3,10,100,1.491444159,0.651916667
3,4,10,100,1.714301147,0.617333333
4,0,10,100,1.300567885,0.672083333
4,1,10,100,1.323190961,0.680666667
4,2,10,100,1.3102391,0.675083333
4,3,10,100,1.2136997,0.701833333
4,4,10,100,1.447715749,0.659666667
0,0,25,25,2.156174884,0.575166667
0,1,25,25,1.46552425,0.643166667
0,2,25,25,1.995102322,0.553333333
0,3,25,25,1.10645204,0.718083333
0,4,25,25,1.174884062,0.69375
1,0,25,25,1.526378618,0.640666667
1,1,25,25,1.351219596,0.667333333
1,2,25,25,1.053633899,0.72325
1,3,25,25,1.107973534,0.705
1,4,25,25,1.415330598,0.68175
2,0,25,25,1.09029062,0.704416667
2,1,25,25,1.267960738,0.6895
2,2,25,25,1.085912871,0.711083333
2,3,25,25,1.337287138,0.680583333
2,4,25,25,1.394643535,0.647416667
3,0,25,25,1.528918631,0.632583333
3,1,25,25,1.456570558,0.634833333
3,2,25,25,0.999987127,0.721416667
3,3,25,25,1.893440269,0.6015
3,4,25,25,1.057370331,0.726583333
4,0,25,25,1.045041011,0.711166667
4,1,25,25,2.057469223,0.576166667
4,2,25,25,1.304804254,0.645833333
4,3,25,25,1.133866165,0.701916667
4,4,25,25,1.394512531,0.645666667
0,0,25,50,1.470730367,0.60875
0,1,25,50,1.054707419,0.718583333
0,2,25,50,1.523329836,0.603583333
0,3,25,50,1.158934962,0.71675
