"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,1,0.9893571,0.9918572,0.9906657116,0.99065142858,0.00073126718311253,1,"negligible",0.950220761915936,"nk","bla bla","nk",0.947202780627755,"nk",0,0,0
"2",2,2,0.989,0.9917143,0.9905685696,0.99065142858,0.000750138018786534,1,"negligible",0.956765704179389,"nk","bla bla","nk",0.70446803754634,"nk",0,0,0
"3",3,3,0.98914284,0.9917857,0.9905828572,0.99065142858,0.000770327205811063,1,"negligible",0.954624254136854,"nk","bla bla","nk",0.756589606546958,"nk",0,0,0
"4",4,4,0.9885,0.9918572,0.9904314376,0.99065142858,0.000856029831627181,1,"small",0.979582721138191,"nk","bla bla","nk",0.348360310461214,"nk",0,0,0
"5",5,5,0.98807144,0.9918572,0.9903542864,0.99065142858,0.000929597530806931,1,"small",0.988720153840628,"nk","bla bla","nk",0.228012793340557,"nk",0,0,0
"6",6,6,0.9867143,0.9909286,0.9894028584,0.99065142858,0.00109573488987103,1,"large",0.999999999975122,"nk","bla bla","nk",2.79239542549256e-05,"k",0,0,0
"7",7,7,0.98535717,0.9902857,0.9879514236,0.99065142858,0.00126818145376519,1,"large",1,"nk","bla bla","nk",5.95759367007156e-12,"k",0,0,0
"8",8,8,0.97492856,0.9885,0.9846314264,0.99065142858,0.00310041424975609,1,"large",1,"nk","bla bla","nk",1.77582993732181e-12,"k",0.08,0,0
"9",9,9,0.98664284,0.9915,0.9897571476,0.99065142858,0.0010820865546414,1,"large",0.999999296872076,"nk","bla bla","nk",0.00160491144717055,"k",0,0,0
"10",10,10,0.96992856,0.99,0.9868799956,0.99065142858,0.0039132143559782,1,"large",0.999999999989585,"nk","bla bla","nk",2.04470062427665e-05,"k",0.04,0,0
"11",11,11,0.9629286,0.9875714,0.9815457184,0.99065142858,0.00584987483585451,1,"large",1,"nk","bla bla","nk",5.97917544336011e-10,"k",0.28,0,0
"12",12,12,0.85014284,0.9854286,0.9570428588,0.99065142858,0.0340096033664789,1,"large",0.999999999998692,"nk","bla bla","nk",9.89575427816932e-06,"k",0.8,0.16,0.08
"13",13,13,0.9855,0.99128574,0.9898999976,0.99065142858,0.00131125853581994,1,"medium",0.999880386116217,"nk","bla bla","nk",0.0176133051171243,"k",0,0,0
"14",14,14,0.97642857,0.9892857,0.9853285728,0.99065142858,0.00361656607157318,1,"large",1,"nk","bla bla","nk",3.74193052093013e-09,"k",0.12,0,0
"15",15,15,0.8690714,0.9843571,0.96757428,0.99065142858,0.0252359709238595,1,"large",0.999999999956238,"nk","bla bla","nk",3.42605801395283e-05,"k",0.72,0.08,0.04
"16",16,16,0.64914286,0.97242856,0.9269685728,0.99065142858,0.0673796048180679,1,"large",0.999999999989647,"nk","bla bla","nk",2.04032890637138e-05,"k",1,0.44,0.12
"17",17,17,0.9860714,0.99135715,0.9894885688,0.99065142858,0.00122034796140049,1,"large",0.999999994562016,"nk","bla bla","nk",0.000213205472738449,"k",0,0,0
"18",18,18,0.9729286,0.9893571,0.9829657104,0.99065142858,0.004864172286858,1,"large",1,"nk","bla bla","nk",4.43082939399007e-10,"k",0.28,0,0
"19",19,19,0.7984286,0.98314285,0.9654314248,0.99065142858,0.035501337795014,1,"large",0.999999830193885,"nk","bla bla","nk",0.000871235390685087,"k",0.84,0.04,0.04
"20",20,20,0.6512857,0.9745714,0.8953028548,0.99065142858,0.0874378393405072,1,"large",0.999999999999994,"nk","bla bla","nk",1.70181026946984e-06,"k",1,0.52,0.36
