"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.989,0.9919285714,0.990634285708,0.99065142858,0.000671428564379443,1,"negligible",0.950342614191704,"nk","bla bla","nk",0.934213572856042,"nk",0,0,0
"2",2,10,0.9897857143,0.9922857143,0.990911428572,0.99065142858,0.000718227213141693,1,"small",0.988740123627448,"nk","bla bla","nk",0.227740436850155,"nk",0,0,0
"3",3,25,0.989,0.9916428571,0.990619999996,0.99065142858,0.000598936127657706,1,"negligible",0.951248817520252,"nk","bla bla","nk",0.874218172567948,"nk",0,0,0
"4",4,50,0.9870714286,0.9922142857,0.990694285724,0.99065142858,0.000904805759248585,1,"negligible",0.951572585321253,"nk","bla bla","nk",0.858777276654482,"nk",0,0,0
"5",5,75,0.9893571429,0.9925,0.990831428576,0.99065142858,0.000703151306031266,1,"small",0.975863561086211,"nk","bla bla","nk",0.397346971656577,"nk",0,0,0
"6",6,80,0.9902857143,0.9922142857,0.990985714284,0.99065142858,0.000529327002229359,1,"small",0.997774914589658,"nk","bla bla","nk",0.0838607700260175,"nk",0,0,0
"7",7,85,0.9889285714,0.9928571429,0.990940000004,0.99065142858,0.000748774520278088,1,"small",0.99145345515211,"nk","bla bla","nk",0.189796398614399,"nk",0,0,0
"8",8,90,0.9868571429,0.9921428571,0.990531428568,0.99065142858,0.0011277046032376,1,"negligible",0.958669401754437,"nk","bla bla","nk",0.664304741115625,"nk",0,0,0
"9",9,95,0.9894285714,0.992,0.990797142848,0.99065142858,0.000642751316524951,1,"small",0.970124050502004,"nk","bla bla","nk",0.476167950467012,"nk",0,0,0
"10",10,99,0.9892857143,0.9917857143,0.990734285696,0.99065142858,0.000598510048489471,1,"negligible",0.958064590659596,"nk","bla bla","nk",0.676586125835065,"nk",0,0,0
"11",11,100,0.9883571429,0.9919285714,0.99076,0.99065142858,0.000827328701621801,1,"negligible",0.96012419884264,"nk","bla bla","nk",0.636239026262527,"nk",0,0,0
