"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.989,0.9916428571,0.990614285708,0.99065142858,0.000702582685150148,0.748705249418902,"negligible",0.951527839261628,"nk","-0.00291705066265136:0.00299390171577728","nk",0.860811108348865,"nk",0,0,0
"2",2,10,0.9873571429,0.9918571429,0.990454285724,0.99065142858,0.000879393724405519,0.442948633582414,"small",0.975127823271483,"nk","-0.00376903821346316:0.00363918766580214","nk",0.407180351372353,"nk",0,0,0
"3",3,25,0.9873571429,0.9917142857,0.990182857144,0.99065142858,0.000995542788652208,0.0787860370850812,"medium",0.998348352634959,"nk","-0.00441384461165442:0.00447169385765021","nk",0.0707727581842919,"nk",0,0,0
"4",4,50,0.8978571429,0.9790714286,0.934874285716,0.99065142858,0.0293809302902411,1.40546552509057e-09,"large",1,"k","-0.0676097185626821:-0.0437037222686912","k",1.37206250415141e-12,"k",25,15,0
"5",5,75,0.8880714286,0.8936428571,0.891411428572,0.99065142858,0.00159416452014287,1.40166097120377e-09,"large",1,"k","-0.0999361723670646:-0.09852257120842","k",9.89696477105101e-79,"k",25,25,7
"6",6,80,0.8877142857,0.8937142857,0.891474285724,0.99065142858,0.0014578663018284,1.39786563689231e-09,"large",1,"k","-0.0998586020351813:-0.0985039732160845","k",3.44424559096666e-80,"k",25,25,6
"7",7,85,0.8883571429,0.893,0.891411428568,0.99065142858,0.0012832781027814,1.40166097120377e-09,"large",1,"k","-0.0998687468768414:-0.0986551748212233","k",3.35191898027826e-82,"k",25,25,8
"8",8,90,0.8887857143,0.8932857143,0.891511428572,0.99065142858,0.0012864878522353,1.40292813046776e-09,"large",1,"k","-0.0997764730718226:-0.0985273831419039","k",3.83888996152582e-82,"k",25,25,6
"9",9,95,0.8876428571,0.8931428571,0.89151714286,0.99065142858,0.0016657667710989,1.39281949887677e-09,"large",1,"k","-0.0998857126718392:-0.0983636853073351","k",5.7623703375718e-78,"k",25,25,6
"10",10,99,0.8871428571,0.8936428571,0.891448571424,0.99065142858,0.00173444495464707,1.40039483633676e-09,"large",1,"k","-0.0999864032946757:-0.0984452286616894","k",2.75346726624728e-77,"k",25,25,7
"11",11,100,0.8869285714,0.8937142857,0.891254285712,0.99065142858,0.00156615456873953,1.39534052633609e-09,"large",1,"k","-0.100072619719635:-0.0986809202473259","k",4.63806104745698e-79,"k",25,25,8
