"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.9887857143,0.9917142857,0.990308571424,0.99065142858,0.000733874260622866,0.0968220867334678,"small",0.996061953646797,"nk","-0.00387436762780681:0.00372010451763622","nk",0.117216151945079,"nk",0,0,0
"2",2,10,0.9883571429,0.9914285714,0.989997142864,0.99065142858,0.000770822064514806,0.00755595957051241,"large",0.99999268465304,"k","-0.0034078798245668:0.00334144106532995","nk",0.00459389479806291,"k",0,0,0
"3",3,25,0.9885,0.9910714286,0.989937142864,0.99065142858,0.000605852974671545,0.00126597545860287,"large",0.999999881683605,"k","-0.00360116183856277:0.00356241570543105","nk",0.000748084483138383,"k",0,0,0
"4",4,50,0.9867857143,0.9905714286,0.989294285716,0.99065142858,0.000956609663127253,5.8162703247134e-06,"large",0.999999999999995,"k","-0.00363556762393783:0.00332779597055868","nk",1.52586200467169e-06,"k",0,0,0
"5",5,75,0.9737142857,0.9882142857,0.984108571436,0.99065142858,0.00330623252302057,1.3966025708653e-09,"large",1,"k","-0.00787159779339919:-0.0051640867679697","k",8.65796632594906e-13,"k",3,0,0
"6",6,80,0.9747142857,0.9868571429,0.982605714284,0.99065142858,0.00318038471970665,1.40419631485459e-09,"large",1,"k","-0.00929358211441853:-0.00671322363967192","k",2.01219925254993e-16,"k",7,0,0
"7",7,85,0.9619285714,0.9831428571,0.97560285714,0.99065142858,0.0044672885140339,1.40419631485459e-09,"large",1,"k","-0.016808311847985:-0.0131985888990377","k",1.64137238628465e-21,"k",23,0,0
"8",8,90,0.8912142857,0.9684285714,0.933474285712,0.99065142858,0.0194976001523342,1.40673576190246e-09,"large",1,"k","-0.0648571935945133:-0.049184469949905","k",2.43176312462519e-19,"k",25,15,1
"9",9,95,0.8880714286,0.8937857143,0.891542857144,0.99065142858,0.00156614370628673,1.39786563689231e-09,"large",1,"k","-0.099815267874478:-0.0983893101216833","k",5.33082388046765e-79,"k",25,25,7
"10",10,99,0.8861428571,0.8935,0.891428571416,0.99065142858,0.00182539251195573,1.39407950258101e-09,"large",1,"k","-0.100025000632701:-0.0984510867899828","k",2.12233488491598e-76,"k",25,25,7
"11",11,100,0.887,0.8937142857,0.89145142858,0.99065142858,0.00185985607132768,1.40039483633676e-09,"large",1,"k","-0.100039333108708:-0.0983703320273841","k",4.58529050989352e-76,"k",25,25,6
