"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.989,0.9916428571,0.990614285708,0.99065142858,0.000702582685150148,1,"negligible",0.951527839261628,"nk","bla bla","nk",0.860811108348865,"nk",0,0,0
"2",2,10,0.9873571429,0.9918571429,0.990454285724,0.99065142858,0.000879393724405519,1,"small",0.975127823271483,"nk","bla bla","nk",0.407180351372353,"nk",0,0,0
"3",3,25,0.9873571429,0.9917142857,0.990182857144,0.99065142858,0.000995542788652208,1,"medium",0.998348352634959,"nk","bla bla","nk",0.0707727581842919,"nk",0,0,0
"4",4,50,0.8978571429,0.9790714286,0.934874285716,0.99065142858,0.0293809302902411,1,"large",1,"nk","bla bla","nk",1.37206250415141e-12,"k",1,0.6,0
"5",5,75,0.8880714286,0.8936428571,0.891411428572,0.99065142858,0.00159416452014287,1,"large",1,"nk","bla bla","nk",9.89696477105101e-79,"k",1,1,0.28
"6",6,80,0.8877142857,0.8937142857,0.891474285724,0.99065142858,0.0014578663018284,1,"large",1,"nk","bla bla","nk",3.44424559096666e-80,"k",1,1,0.24
"7",7,85,0.8883571429,0.893,0.891411428568,0.99065142858,0.0012832781027814,1,"large",1,"nk","bla bla","nk",3.35191898027826e-82,"k",1,1,0.32
"8",8,90,0.8887857143,0.8932857143,0.891511428572,0.99065142858,0.0012864878522353,1,"large",1,"nk","bla bla","nk",3.83888996152582e-82,"k",1,1,0.24
"9",9,95,0.8876428571,0.8931428571,0.89151714286,0.99065142858,0.0016657667710989,1,"large",1,"nk","bla bla","nk",5.7623703375718e-78,"k",1,1,0.24
"10",10,99,0.8871428571,0.8936428571,0.891448571424,0.99065142858,0.00173444495464707,1,"large",1,"nk","bla bla","nk",2.75346726624728e-77,"k",1,1,0.28
"11",11,100,0.8869285714,0.8937142857,0.891254285712,0.99065142858,0.00156615456873953,1,"large",1,"nk","bla bla","nk",4.63806104745698e-79,"k",1,1,0.32
