"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.9887857143,0.9917142857,0.990308571424,0.99065142858,0.000733874260622866,1,"small",0.996061953646797,"nk","bla bla","nk",0.117216151945079,"nk",0,0,0
"2",2,10,0.9883571429,0.9914285714,0.989997142864,0.99065142858,0.000770822064514806,1,"large",0.99999268465304,"nk","bla bla","nk",0.00459389479806291,"k",0,0,0
"3",3,25,0.9885,0.9910714286,0.989937142864,0.99065142858,0.000605852974671545,1,"large",0.999999881683605,"nk","bla bla","nk",0.000748084483138383,"k",0,0,0
"4",4,50,0.9867857143,0.9905714286,0.989294285716,0.99065142858,0.000956609663127253,1,"large",0.999999999999995,"nk","bla bla","nk",1.52586200467169e-06,"k",0,0,0
"5",5,75,0.9737142857,0.9882142857,0.984108571436,0.99065142858,0.00330623252302057,1,"large",1,"nk","bla bla","nk",8.65796632594906e-13,"k",0.12,0,0
"6",6,80,0.9747142857,0.9868571429,0.982605714284,0.99065142858,0.00318038471970665,1,"large",1,"nk","bla bla","nk",2.01219925254993e-16,"k",0.28,0,0
"7",7,85,0.9619285714,0.9831428571,0.97560285714,0.99065142858,0.0044672885140339,1,"large",1,"nk","bla bla","nk",1.64137238628465e-21,"k",0.92,0,0
"8",8,90,0.8912142857,0.9684285714,0.933474285712,0.99065142858,0.0194976001523342,1,"large",1,"nk","bla bla","nk",2.43176312462519e-19,"k",1,0.6,0.04
"9",9,95,0.8880714286,0.8937857143,0.891542857144,0.99065142858,0.00156614370628673,1,"large",1,"nk","bla bla","nk",5.33082388046765e-79,"k",1,1,0.28
"10",10,99,0.8861428571,0.8935,0.891428571416,0.99065142858,0.00182539251195573,1,"large",1,"nk","bla bla","nk",2.12233488491598e-76,"k",1,1,0.28
"11",11,100,0.887,0.8937142857,0.89145142858,0.99065142858,0.00185985607132768,1,"large",1,"nk","bla bla","nk",4.58529050989352e-76,"k",1,1,0.24
