Mutation Number,Layer Num,Accuracy,Loss
0,0,0.11285714,2.3017094039916994
1,0,0.11657143,2.3019614892687117
2,0,0.11064286,2.302853595461164
3,0,0.11364286,2.3023008161272323
4,0,0.10171428,2.3022924374171665
5,0,0.113785714,2.300834241594587
6,0,0.114285715,2.301850497654506
7,0,0.11164286,2.301796609333583
8,0,0.11121429,2.3028106218065534
9,0,0.11207143,2.302136283329555
10,0,0.10821429,2.302913389478411
11,0,0.1075,2.303090103966849
12,0,0.10357143,2.302494250706264
13,0,0.11328571,2.3030696890694755
14,0,0.1135,2.3015084844316753
15,0,0.11821429,2.3014926283700126
16,0,0.11457143,2.3015889919825963
17,0,0.0995,2.302078618458339
18,0,0.115,2.301623514175415
19,0,0.11242857,2.3012975324903215
0,1,0.11285714,2.3017094039916994
1,1,0.11657143,2.3019614892687117
2,1,0.11064286,2.302853595461164
3,1,0.11364286,2.3023008161272323
4,1,0.10171428,2.3022924374171665
5,1,0.113785714,2.300834241594587
6,1,0.114285715,2.301850497654506
7,1,0.11164286,2.301796609333583
8,1,0.11121429,2.3028106218065534
9,1,0.11207143,2.302136283329555
10,1,0.10821429,2.302913389478411
11,1,0.1075,2.303090103966849
12,1,0.10357143,2.302494250706264
13,1,0.11328571,2.3030696890694755
14,1,0.1135,2.3015084844316753
15,1,0.11821429,2.3014926283700126
16,1,0.11457143,2.3015889919825963
17,1,0.0995,2.302078618458339
18,1,0.115,2.301623514175415
19,1,0.11242857,2.3012975324903215
0,2,0.11285714,2.3017094039916994
1,2,0.11657143,2.3019614892687117
2,2,0.11064286,2.302853595461164
3,2,0.11364286,2.3023008161272323
4,2,0.10171428,2.3022924374171665
5,2,0.113785714,2.300834241594587
6,2,0.114285715,2.301850497654506
7,2,0.11164286,2.301796609333583
8,2,0.11121429,2.3028106218065534
9,2,0.11207143,2.302136283329555
10,2,0.10821429,2.302913389478411
11,2,0.1075,2.303090103966849
12,2,0.10357143,2.302494250706264
13,2,0.11328571,2.3030696890694755
14,2,0.1135,2.3015084844316753
15,2,0.11821429,2.3014926283700126
16,2,0.11457143,2.3015889919825963
17,2,0.0995,2.302078618458339
18,2,0.115,2.301623514175415
19,2,0.11242857,2.3012975324903215
0,3,0.11285714,2.3017094039916994
1,3,0.11657143,2.3019614892687117
2,3,0.11064286,2.302853595461164
3,3,0.11364286,2.3023008161272323
4,3,0.10171428,2.3022924374171665
5,3,0.113785714,2.300834241594587
6,3,0.114285715,2.301850497654506
7,3,0.11164286,2.301796609333583
8,3,0.11121429,2.3028106218065534
9,3,0.11207143,2.302136283329555
10,3,0.10821429,2.302913389478411
11,3,0.1075,2.303090103966849
12,3,0.10357143,2.302494250706264
13,3,0.11328571,2.3030696890694755
14,3,0.1135,2.3015084844316753
15,3,0.11821429,2.3014926283700126
16,3,0.11457143,2.3015889919825963
17,3,0.0995,2.302078618458339
18,3,0.115,2.301623514175415
19,3,0.11242857,2.3012975324903215
