Mutation Number,Run Num,Percentage,Scale,Accuracy,Loss
0,0,1.0,0.75,0.9882143,0.05016830133995232
0,0,1.0,0.5,0.9860714,0.06364928656446447
0,0,1.0,0.25,0.98707145,0.05992452980342114
0,0,1.0,1.0,0.98414284,0.07343195071379341
0,0,0.25,0.75,0.9908571,0.03462370889142819
0,0,0.25,0.5,0.9884286,0.05017142313032829
0,0,0.25,0.25,0.99035716,0.03785020794812226
0,0,0.25,1.0,0.99064285,0.0364789324828606
0,0,0.5,0.75,0.98885715,0.046611862887871475
0,0,0.5,0.5,0.98957145,0.041193528759392
0,0,0.5,0.25,0.9900714,0.039817181717983395
0,0,0.5,1.0,0.9908571,0.035969244429492134
0,0,0.75,0.75,0.98457146,0.07232745583935561
0,0,0.75,0.5,0.98721427,0.05533027427646825
0,0,0.75,0.25,0.98735714,0.05642339928434064
0,0,0.75,1.0,0.99057144,0.04006174689049723
0,0,0.01,0.75,0.99064285,0.03467678684434629
0,0,0.01,0.5,0.99064285,0.0345925023687887
0,0,0.01,0.25,0.99064285,0.03459041766835591
0,0,0.01,1.0,0.99064285,0.034637732632028406
0,1,1.0,0.75,0.98971426,0.04406382774649001
0,1,1.0,0.5,0.9901429,0.042607468762577226
0,1,1.0,0.25,0.98814285,0.05393945777282153
0,1,1.0,1.0,0.9885,0.05103688028720015
0,1,0.25,0.75,0.99128574,0.03438979148849493
0,1,0.25,0.5,0.9908571,0.03217328662120729
0,1,0.25,0.25,0.99135715,0.03435240888682191
0,1,0.25,1.0,0.9908571,0.03597919092393866
0,1,0.5,0.75,0.9902143,0.03894346325985082
0,1,0.5,0.5,0.9910714,0.03448528431648447
0,1,0.5,0.25,0.9907143,0.03609306294972287
0,1,0.5,1.0,0.9908571,0.038851978684987895
0,1,0.75,0.75,0.991,0.0378144716403356
0,1,0.75,0.5,0.9902857,0.04131956313529307
0,1,0.75,0.25,0.9901429,0.0416314546865089
0,1,0.75,1.0,0.98992854,0.04323891904562762
0,1,0.01,0.75,0.9908571,0.0318187561510401
0,1,0.01,0.5,0.9907857,0.03180723663666971
0,1,0.01,0.25,0.9907857,0.0318040628311189
0,1,0.01,1.0,0.9907857,0.03180723663666971
0,2,1.0,0.75,0.9890714,0.0482989648391727
0,2,1.0,0.5,0.98892856,0.04736444627709924
0,2,1.0,0.25,0.98971426,0.044210186211361975
0,2,1.0,1.0,0.98892856,0.04581835257634995
0,2,0.25,0.75,0.9919286,0.030042698303636175
0,2,0.25,0.5,0.9919286,0.03163120890513814
0,2,0.25,0.25,0.9917143,0.030815067179447528
0,2,0.25,1.0,0.99135715,0.0313049518612783
0,2,0.5,0.75,0.99221426,0.031777319223619996
0,2,0.5,0.5,0.98957145,0.04305053361748199
0,2,0.5,0.25,0.99057144,0.039238977885412495
0,2,0.5,1.0,0.99164283,0.03357594603387432
0,2,0.75,0.75,0.9886429,0.050973068892810745
0,2,0.75,0.5,0.9912143,0.03559710190955554
0,2,0.75,0.25,0.99,0.042264581028519974
0,2,0.75,1.0,0.99064285,0.03971931217922042
0,2,0.01,0.75,0.9917143,0.029525221136937552
0,2,0.01,0.5,0.9917143,0.02952105074392239
0,2,0.01,0.25,0.9917143,0.029526307567028457
0,2,0.01,1.0,0.9917143,0.029518462917186947
0,3,1.0,0.75,0.99,0.045269649207678835
0,3,1.0,0.5,0.99042857,0.04199340829034736
0,3,1.0,0.25,0.98971426,0.043462468614073
0,3,1.0,1.0,0.9907857,0.041002134983180866
0,3,0.25,0.75,0.99114287,0.03426076401081549
0,3,0.25,0.5,0.99135715,0.0329091478733956
0,3,0.25,0.25,0.99135715,0.03210651232442303
0,3,0.25,1.0,0.99128574,0.03209815201897696
0,3,0.5,0.75,0.99164283,0.03221138865548346
0,3,0.5,0.5,0.9907857,0.03608744952924898
0,3,0.5,0.25,0.99135715,0.03475026303070133
0,3,0.5,1.0,0.991,0.03172419911934932
0,3,0.75,0.75,0.9910714,0.04029413028671498
0,3,0.75,0.5,0.99114287,0.03930863125756254
0,3,0.75,0.25,0.9908571,0.03800533779612325
0,3,0.75,1.0,0.99114287,0.03391474264819798
0,3,0.01,0.75,0.991,0.03149479137097764
0,3,0.01,0.5,0.991,0.03150112607211382
0,3,0.01,0.25,0.991,0.03150112607211382
0,3,0.01,1.0,0.991,0.031504453154772426
0,4,1.0,0.75,0.98792857,0.05612057838042951
0,4,1.0,0.5,0.98142856,0.09081837146645609
0,4,1.0,0.25,0.98892856,0.04975656770669431
0,4,1.0,1.0,0.9842857,0.07567538324287033
0,4,0.25,0.75,0.9901429,0.03838658003247136
0,4,0.25,0.5,0.9902143,0.039640024956191025
0,4,0.25,0.25,0.98985714,0.04480699298630309
0,4,0.25,1.0,0.99042857,0.03813969258469479
0,4,0.5,0.75,0.989,0.04829216016115983
0,4,0.5,0.5,0.9902857,0.041054960440703975
0,4,0.5,0.25,0.98964286,0.046627349354433655
0,4,0.5,1.0,0.9885714,0.05270861081734373
0,4,0.75,0.75,0.98571426,0.06637343222826407
0,4,0.75,0.5,0.9867143,0.0625063341074334
0,4,0.75,0.25,0.9892143,0.04891133687963234
0,4,0.75,1.0,0.9851429,0.06917470937845133
0,4,0.01,0.75,0.99057144,0.03637444991337855
0,4,0.01,0.5,0.99057144,0.036374222549245
0,4,0.01,0.25,0.99057144,0.03636888414601137
0,4,0.01,1.0,0.99064285,0.03634943557067319
1,0,1.0,0.75,0.9885714,0.05245294119493418
1,0,1.0,0.5,0.9868571,0.06397592269589092
1,0,1.0,0.25,0.9883571,0.051168605733357776
1,0,1.0,1.0,0.98657143,0.06506603750359889
1,0,0.25,0.75,0.99114287,0.03296745698814214
1,0,0.25,0.5,0.9907857,0.03629355440969942
1,0,0.25,0.25,0.9901429,0.03726789958478236
1,0,0.25,1.0,0.99035716,0.035632006710609336
1,0,0.5,0.75,0.9907143,0.0335100571227683
1,0,0.5,0.5,0.9910714,0.03625833430468369
1,0,0.5,0.25,0.989,0.046466106995385024
1,0,0.5,1.0,0.99035716,0.04131390767870666
1,0,0.75,0.75,0.9902857,0.0409453957143643
1,0,0.75,0.5,0.9902143,0.03719100813373994
1,0,0.75,0.25,0.99057144,0.03675792238456727
1,0,0.75,1.0,0.9902143,0.042901372038964575
1,0,0.01,0.75,0.9909286,0.032705228535267195
1,0,0.01,0.5,0.9908571,0.03272637262514659
1,0,0.01,0.25,0.9908571,0.03271157951211873
1,0,0.01,1.0,0.9908571,0.032727805898782596
1,1,1.0,0.75,0.9915,0.03117150698463021
1,1,1.0,0.5,0.991,0.03329639019199177
1,1,1.0,0.25,0.98978573,0.03777875106494996
1,1,1.0,1.0,0.9908571,0.03673359086897212
1,1,0.25,0.75,0.9912143,0.03049240921229232
1,1,0.25,0.5,0.99042857,0.033461270187313076
1,1,0.25,0.25,0.991,0.03227897404549211
1,1,0.25,1.0,0.9919286,0.029062582960784702
1,1,0.5,0.75,0.9918572,0.02904427540247395
1,1,0.5,0.5,0.99142855,0.029624874325365196
1,1,0.5,0.25,0.9907857,0.03386967351251431
1,1,0.5,1.0,0.9912143,0.030371463763128433
1,1,0.75,0.75,0.9909286,0.031148584506707266
1,1,0.75,0.5,0.9915714,0.03225540193057116
1,1,0.75,0.25,0.991,0.03156498524668236
1,1,0.75,1.0,0.9907143,0.031755164781065104
1,1,0.01,0.75,0.9917143,0.029040751808796943
1,1,0.01,0.5,0.9917143,0.029041915460182022
1,1,0.01,0.25,0.9915714,0.02905071270537779
1,1,0.01,1.0,0.9917143,0.029047167009457812
1,2,1.0,0.75,0.9890714,0.04211834874287745
1,2,1.0,0.5,0.98992854,0.03938651602716839
1,2,1.0,0.25,0.9907143,0.035829560026372616
1,2,1.0,1.0,0.99,0.038627852477514484
1,2,0.25,0.75,0.98957145,0.03406407312246405
1,2,0.25,0.5,0.99042857,0.0338086070448366
1,2,0.25,0.25,0.98964286,0.03384071692595275
1,2,0.25,1.0,0.99,0.03332579256934904
1,2,0.5,0.75,0.99,0.03516505558818452
1,2,0.5,0.5,0.98971426,0.03391693030434544
1,2,0.5,0.25,0.99057144,0.034959010041310516
1,2,0.5,1.0,0.98985714,0.03554673414758093
1,2,0.75,0.75,0.9908571,0.033469409035101434
1,2,0.75,0.5,0.98978573,0.03921013594775546
1,2,0.75,0.25,0.9901429,0.0349495056496193
1,2,0.75,1.0,0.99042857,0.03580917576925016
