Mutation Number,Run Num,Percentage,St_Dev,Accuracy,Loss
0,0,0.01,0.25,0.99064285,0.034644573
0,1,0.01,0.25,0.9907143,0.031920927
0,2,0.01,0.25,0.9917143,0.029614708
0,3,0.01,0.25,0.9910714,0.031685851
0,4,0.01,0.25,0.9905,0.036539077
1,0,0.01,0.25,0.9907143,0.032827267
1,1,0.01,0.25,0.99142855,0.029118
1,2,0.01,0.25,0.9895,0.033926232
1,3,0.01,0.25,0.9907857,0.031131209
1,4,0.01,0.25,0.99,0.034394619
2,0,0.01,0.25,0.99142855,0.031924408
2,1,0.01,0.25,0.9918572,0.033705229
2,2,0.01,0.25,0.99128574,0.032514362
2,3,0.01,0.25,0.9915714,0.033889306
2,4,0.01,0.25,0.9912143,0.034012589
3,0,0.01,0.25,0.9915714,0.034291454
3,1,0.01,0.25,0.99042857,0.038178423
3,2,0.01,0.25,0.9901429,0.033010831
3,3,0.01,0.25,0.9902143,0.03532581
3,4,0.01,0.25,0.98964286,0.03710112
4,0,0.01,0.25,0.98971426,0.03950284
4,1,0.01,0.25,0.9893571,0.039810434
4,2,0.01,0.25,0.98992854,0.039741347
4,3,0.01,0.25,0.99042857,0.036334942
4,4,0.01,0.25,0.9907857,0.039288636
0,0,0.01,0.5,0.9907143,0.03486587
0,1,0.01,0.5,0.9907143,0.032017076
0,2,0.01,0.5,0.99142855,0.029417425
0,3,0.01,0.5,0.99064285,0.031801832
0,4,0.01,0.5,0.99064285,0.036647791
1,0,0.01,0.5,0.99035716,0.03345724
1,1,0.01,0.5,0.9917143,0.029255149
1,2,0.01,0.5,0.989,0.034712065
1,3,0.01,0.5,0.9907857,0.031636879
1,4,0.01,0.5,0.98978573,0.034539566
2,0,0.01,0.5,0.99142855,0.031821225
2,1,0.01,0.5,0.99142855,0.032068467
2,2,0.01,0.5,0.99142855,0.03259586
2,3,0.01,0.5,0.99114287,0.035759527
2,4,0.01,0.5,0.9912143,0.034661609
3,0,0.01,0.5,0.99114287,0.034732156
3,1,0.01,0.5,0.99064285,0.03806327
3,2,0.01,0.5,0.99035716,0.033237399
3,3,0.01,0.5,0.99035716,0.035405137
3,4,0.01,0.5,0.9892857,0.037439135
4,0,0.01,0.5,0.9893571,0.039670334
4,1,0.01,0.5,0.9892857,0.040410029
4,2,0.01,0.5,0.9902857,0.039232848
4,3,0.01,0.5,0.9905,0.03570063
4,4,0.01,0.5,0.99057144,0.039607205
0,0,0.01,0.75,0.99042857,0.034757146
0,1,0.01,0.75,0.99114287,0.031057205
0,2,0.01,0.75,0.9917857,0.029654707
0,3,0.01,0.75,0.9907857,0.033020137
0,4,0.01,0.75,0.9907143,0.036750866
1,0,0.01,0.75,0.9909286,0.033048053
1,1,0.01,0.75,0.9915,0.029138448
1,2,0.01,0.75,0.9895,0.034035964
1,3,0.01,0.75,0.99057144,0.032336536
1,4,0.01,0.75,0.98992854,0.034666584
2,0,0.01,0.75,0.991,0.031514121
2,1,0.01,0.75,0.9915,0.034807074
2,2,0.01,0.75,0.9915714,0.03222799
2,3,0.01,0.75,0.9909286,0.035530954
2,4,0.01,0.75,0.99135715,0.03361433
3,0,0.01,0.75,0.99114287,0.034290273
3,1,0.01,0.75,0.9905,0.037872821
3,2,0.01,0.75,0.99042857,0.032808887
3,3,0.01,0.75,0.9902857,0.035636672
3,4,0.01,0.75,0.98914284,0.037711182
4,0,0.01,0.75,0.9895,0.041025461
4,1,0.01,0.75,0.98914284,0.039558515
4,2,0.01,0.75,0.9894286,0.039788958
4,3,0.01,0.75,0.99057144,0.036567539
4,4,0.01,0.75,0.9907857,0.039139449
0,0,0.01,1,0.99035716,0.034737127
0,1,0.01,1,0.9907857,0.032112642
0,2,0.01,1,0.9918572,0.030020466
0,3,0.01,1,0.9909286,0.031517302
0,4,0.01,1,0.99035716,0.038195474
1,0,0.01,1,0.99035716,0.033521745
1,1,0.01,1,0.9915714,0.029060892
1,2,0.01,1,0.98914284,0.034875413
1,3,0.01,1,0.9909286,0.031152181
1,4,0.01,1,0.98978573,0.034951054
2,0,0.01,1,0.9912143,0.031405013
2,1,0.01,1,0.9917143,0.03430257
2,2,0.01,1,0.99128574,0.032957422
2,3,0.01,1,0.991,0.039639042
2,4,0.01,1,0.99064285,0.035154443
3,0,0.01,1,0.9912143,0.034113292
3,1,0.01,1,0.98985714,0.039282056
3,2,0.01,1,0.9905,0.032962126
3,3,0.01,1,0.9901429,0.035604562
3,4,0.01,1,0.9885,0.041892147
4,0,0.01,1,0.9895,0.039973964
4,1,0.01,1,0.9892857,0.0399856
4,2,0.01,1,0.9901429,0.039318135
4,3,0.01,1,0.9893571,0.039540894
4,4,0.01,1,0.99035716,0.042800213
0,0,0.25,0.25,0.99035716,0.035781283
0,1,0.25,0.25,0.9902857,0.031817295
0,2,0.25,0.25,0.9905,0.031759379
0,3,0.25,0.25,0.99064285,0.031831603
0,4,0.25,0.25,0.991,0.037712502
1,0,0.25,0.25,0.98807144,0.039901795
1,1,0.25,0.25,0.99128574,0.029959374
1,2,0.25,0.25,0.98971426,0.033730324
1,3,0.25,0.25,0.9905,0.031881523
1,4,0.25,0.25,0.99035716,0.036983902
2,0,0.25,0.25,0.9908571,0.033061474
2,1,0.25,0.25,0.9918572,0.03264699
2,2,0.25,0.25,0.9917143,0.033650818
2,3,0.25,0.25,0.9909286,0.036337963
2,4,0.25,0.25,0.98992854,0.036165908
3,0,0.25,0.25,0.9917857,0.033546818
3,1,0.25,0.25,0.9910714,0.037427038
3,2,0.25,0.25,0.99035716,0.034803891
3,3,0.25,0.25,0.99064285,0.036031322
3,4,0.25,0.25,0.98964286,0.0366121
4,0,0.25,0.25,0.989,0.040629764
4,1,0.25,0.25,0.9886429,0.042017773
4,2,0.25,0.25,0.98992854,0.040679685
4,3,0.25,0.25,0.9895,0.037269873
4,4,0.25,0.25,0.9902857,0.039182167
0,0,0.25,0.5,0.99042857,0.035434811
0,1,0.25,0.5,0.9901429,0.034103208
0,2,0.25,0.5,0.9908571,0.031510396
0,3,0.25,0.5,0.9893571,0.036271714
0,4,0.25,0.5,0.9885,0.036651356
1,0,0.25,0.5,0.9892143,0.036429386
1,1,0.25,0.5,0.9909286,0.032513473
1,2,0.25,0.5,0.9867143,0.043105318
1,3,0.25,0.5,0.99,0.033481136
1,4,0.25,0.5,0.9901429,0.035138616
2,0,0.25,0.5,0.98878574,0.036178327
2,1,0.25,0.5,0.9905,0.037425179
2,2,0.25,0.5,0.9902143,0.033781166
2,3,0.25,0.5,0.9907857,0.038204627
2,4,0.25,0.5,0.98957145,0.038207768
3,0,0.25,0.5,0.9885714,0.040670205
3,1,0.25,0.5,0.9890714,0.044096863
3,2,0.25,0.5,0.99057144,0.033789518
3,3,0.25,0.5,0.9892143,0.037537932
3,4,0.25,0.5,0.9885714,0.041941457
4,0,0.25,0.5,0.98885715,0.040699525
4,1,0.25,0.5,0.98742855,0.045554171
4,2,0.25,0.5,0.98914284,0.038982756
4,3,0.25,0.5,0.98785716,0.043925893
4,4,0.25,0.5,0.98964286,0.038474452
0,0,0.25,0.75,0.9890714,0.040953759
0,1,0.25,0.75,0.9882857,0.036795431
0,2,0.25,0.75,0.98657143,0.045836867
0,3,0.25,0.75,0.98535717,0.05010924
0,4,0.25,0.75,0.9882857,0.047455944
1,0,0.25,0.75,0.9883571,0.039370111
1,1,0.25,0.75,0.9882857,0.040523783
1,2,0.25,0.75,0.9867143,0.044746253
1,3,0.25,0.75,0.98721427,0.040599321
1,4,0.25,0.75,0.9895,0.039241302
2,0,0.25,0.75,0.98885715,0.036185822
2,1,0.25,0.75,0.98707145,0.053689795
2,2,0.25,0.75,0.98971426,0.039377245
2,3,0.25,0.75,0.9885,0.041010132
2,4,0.25,0.75,0.98914284,0.039092794
3,0,0.25,0.75,0.9902857,0.038625171
3,1,0.25,0.75,0.9867143,0.046734465
3,2,0.25,0.75,0.98892856,0.037891745
3,3,0.25,0.75,0.989,0.040441843
3,4,0.25,0.75,0.987,0.043109497
4,0,0.25,0.75,0.9884286,0.042233267
4,1,0.25,0.75,0.9858571,0.055308773
4,2,0.25,0.75,0.98714286,0.04627987
4,3,0.25,0.75,0.9865,0.048709245
4,4,0.25,0.75,0.988,0.047425929
0,0,0.25,1,0.98728573,0.046428873
0,1,0.25,1,0.97492856,0.084779403
0,2,0.25,1,0.9787857,0.064787763
0,3,0.25,1,0.98235714,0.063912535
0,4,0.25,1,0.98335713,0.054131752
1,0,0.25,1,0.98164284,0.070713339
1,1,0.25,1,0.98721427,0.044023716
1,2,0.25,1,0.98564285,0.046209356
1,3,0.25,1,0.9852857,0.04959758
