Run Number,Percentage,St_Dev,Accuracy,Loss
0,0.01,0.1,0.9908571,0.031026859
1,0.01,0.1,0.9900714,0.033171093
2,0.01,0.1,0.9910714,0.032082292
3,0.01,0.1,0.99064285,0.036592518
4,0.01,0.1,0.9918572,0.03398214
5,0.01,0.1,0.9900714,0.035683623
6,0.01,0.1,0.98992854,0.033211868
7,0.01,0.1,0.99035716,0.045888754
8,0.01,0.1,0.99057144,0.035887337
9,0.01,0.1,0.98792857,0.046977169
10,0.01,0.1,0.99035716,0.037769537
11,0.01,0.1,0.9909286,0.037918646
12,0.01,0.1,0.98985714,0.040451743
13,0.01,0.1,0.98964286,0.041068832
14,0.01,0.1,0.99214286,0.028621156
15,0.01,0.1,0.9902857,0.03235023
16,0.01,0.1,0.9883571,0.043736056
17,0.01,0.1,0.9910714,0.030343806
18,0.01,0.1,0.9900714,0.039053312
19,0.01,0.1,0.9908571,0.031985431
0,0.01,0.25,0.9907857,0.03103688
1,0.01,0.25,0.9900714,0.033214258
2,0.01,0.25,0.9910714,0.032061922
3,0.01,0.25,0.9907143,0.036576897
4,0.01,0.25,0.9918572,0.033988482
5,0.01,0.25,0.9900714,0.035671912
6,0.01,0.25,0.98992854,0.033225718
7,0.01,0.25,0.99035716,0.045845474
8,0.01,0.25,0.99057144,0.03591548
9,0.01,0.25,0.98792857,0.046994729
10,0.01,0.25,0.99035716,0.037755522
11,0.01,0.25,0.9907857,0.037933058
12,0.01,0.25,0.98985714,0.040451477
13,0.01,0.25,0.98964286,0.041035485
14,0.01,0.25,0.99207145,0.028504817
15,0.01,0.25,0.9902857,0.032338774
16,0.01,0.25,0.9882143,0.043797768
17,0.01,0.25,0.9910714,0.030323659
18,0.01,0.25,0.9900714,0.039101204
19,0.01,0.25,0.9908571,0.031978087
0,0.01,0.5,0.9908571,0.031084602
1,0.01,0.5,0.98992854,0.03382635
2,0.01,0.5,0.99114287,0.032069663
3,0.01,0.5,0.99064285,0.036643141
4,0.01,0.5,0.9918572,0.034021368
5,0.01,0.5,0.99,0.035862824
6,0.01,0.5,0.98992854,0.033176708
7,0.01,0.5,0.99042857,0.045964687
8,0.01,0.5,0.99057144,0.035895673
9,0.01,0.5,0.98792857,0.046971114
10,0.01,0.5,0.9902857,0.037810336
11,0.01,0.5,0.9907143,0.038045722
12,0.01,0.5,0.98978573,0.040487733
13,0.01,0.5,0.98957145,0.041176925
14,0.01,0.5,0.99214286,0.028574607
15,0.01,0.5,0.9901429,0.032341136
16,0.01,0.5,0.9882857,0.043834897
17,0.01,0.5,0.99114287,0.030500441
18,0.01,0.5,0.99,0.039036071
19,0.01,0.5,0.9908571,0.0319671
0,0.01,0.75,0.9908571,0.031073676
1,0.01,0.75,0.9900714,0.033247594
2,0.01,0.75,0.9910714,0.032002236
3,0.01,0.75,0.9907143,0.036876197
4,0.01,0.75,0.9917857,0.03394009
5,0.01,0.75,0.9900714,0.035594766
6,0.01,0.75,0.98992854,0.033204047
7,0.01,0.75,0.99035716,0.045465285
8,0.01,0.75,0.9905,0.035881952
9,0.01,0.75,0.988,0.046895454
10,0.01,0.75,0.99035716,0.03764303
11,0.01,0.75,0.9908571,0.037874172
12,0.01,0.75,0.98978573,0.040402727
13,0.01,0.75,0.98957145,0.041090563
14,0.01,0.75,0.992,0.028514883
15,0.01,0.75,0.9902143,0.032335329
16,0.01,0.75,0.9884286,0.043734401
17,0.01,0.75,0.9912143,0.030247666
18,0.01,0.75,0.9902143,0.038951777
19,0.01,0.75,0.991,0.031966144
0,0.01,1,0.9908571,0.031092682
1,0.01,1,0.9900714,0.033226411
2,0.01,1,0.9909286,0.031917006
3,0.01,1,0.99057144,0.036449799
4,0.01,1,0.9918572,0.033985359
5,0.01,1,0.99,0.03579426
6,0.01,1,0.99,0.033196869
7,0.01,1,0.9902857,0.04572348
8,0.01,1,0.9905,0.035959597
9,0.01,1,0.9877857,0.047117811
10,0.01,1,0.9901429,0.037452421
11,0.01,1,0.9909286,0.037962348
12,0.01,1,0.98985714,0.040407454
13,0.01,1,0.98964286,0.04081247
14,0.01,1,0.99214286,0.028576872
15,0.01,1,0.9902143,0.032402366
16,0.01,1,0.9882857,0.044053486
17,0.01,1,0.99114287,0.030150581
18,0.01,1,0.9901429,0.039133069
19,0.01,1,0.9909286,0.03211093
0,0.25,0.1,0.9908571,0.031090259
1,0.25,0.1,0.9901429,0.033224506
2,0.25,0.1,0.99114287,0.032070364
3,0.25,0.1,0.9908571,0.036505503
4,0.25,0.1,0.9917857,0.033986477
5,0.25,0.1,0.9900714,0.035758093
6,0.25,0.1,0.98992854,0.033183514
7,0.25,0.1,0.99035716,0.046048105
8,0.25,0.1,0.99057144,0.035885427
9,0.25,0.1,0.98785716,0.0471198
10,0.25,0.1,0.9902857,0.037600376
11,0.25,0.1,0.9907857,0.037904647
12,0.25,0.1,0.98971426,0.04068237
13,0.25,0.1,0.98964286,0.041059585
14,0.25,0.1,0.99214286,0.02861005
15,0.25,0.1,0.9902143,0.032257323
16,0.25,0.1,0.9884286,0.043573941
17,0.25,0.1,0.9912143,0.030379556
18,0.25,0.1,0.9902857,0.038885698
19,0.25,0.1,0.9908571,0.032270146
0,0.25,0.25,0.991,0.031030931
1,0.25,0.25,0.9901429,0.032782383
2,0.25,0.25,0.9910714,0.03198028
3,0.25,0.25,0.991,0.036336339
4,0.25,0.25,0.9917857,0.034089353
5,0.25,0.25,0.98978573,0.03546354
6,0.25,0.25,0.98985714,0.033231555
7,0.25,0.25,0.99035716,0.045240554
8,0.25,0.25,0.99057144,0.035777803
9,0.25,0.25,0.98785716,0.046962631
10,0.25,0.25,0.9900714,0.037438373
11,0.25,0.25,0.9909286,0.037768777
12,0.25,0.25,0.98992854,0.040096973
13,0.25,0.25,0.98957145,0.041203239
14,0.25,0.25,0.99207145,0.028264108
15,0.25,0.25,0.9900714,0.031855328
16,0.25,0.25,0.9885,0.043397655
17,0.25,0.25,0.9909286,0.030443365
18,0.25,0.25,0.9902143,0.039349847
19,0.25,0.25,0.99114287,0.031867259
0,0.25,0.5,0.9907857,0.031129989
1,0.25,0.5,0.9902143,0.033333043
2,0.25,0.5,0.9910714,0.032425873
3,0.25,0.5,0.991,0.035734882
4,0.25,0.5,0.9917143,0.034158107
5,0.25,0.5,0.98985714,0.036142003
6,0.25,0.5,0.98971426,0.033493798
7,0.25,0.5,0.98992854,0.045172677
8,0.25,0.5,0.99057144,0.036057134
9,0.25,0.5,0.98792857,0.046567829
10,0.25,0.5,0.9902857,0.037342368
11,0.25,0.5,0.9907143,0.037793259
12,0.25,0.5,0.98992854,0.041809296
13,0.25,0.5,0.98971426,0.0412293
14,0.25,0.5,0.992,0.028032213
15,0.25,0.5,0.9900714,0.032748674
16,0.25,0.5,0.9882143,0.043715447
17,0.25,0.5,0.9912143,0.030691885
18,0.25,0.5,0.9902857,0.038342837
19,0.25,0.5,0.9912143,0.032026899
0,0.25,0.75,0.9909286,0.031062219
1,0.25,0.75,0.99042857,0.032954489
2,0.25,0.75,0.99114287,0.031716291
3,0.25,0.75,0.9907857,0.036493442
4,0.25,0.75,0.99164283,0.03422884
5,0.25,0.75,0.98985714,0.035897925
6,0.25,0.75,0.98985714,0.034090098
7,0.25,0.75,0.98992854,0.046803779
8,0.25,0.75,0.99057144,0.036417203
9,0.25,0.75,0.98792857,0.046833553
10,0.25,0.75,0.9901429,0.038123572
11,0.25,0.75,0.9908571,0.037433147
12,0.25,0.75,0.9890714,0.043840036
13,0.25,0.75,0.98957145,0.041421415
14,0.25,0.75,0.99128574,0.029712036
15,0.25,0.75,0.98992854,0.033442961
16,0.25,0.75,0.9883571,0.044668357
17,0.25,0.75,0.99064285,0.030963555
18,0.25,0.75,0.9907857,0.036844969
19,0.25,0.75,0.9909286,0.032307
0,0.25,1,0.9907143,0.031146331
1,0.25,1,0.99,0.033873086
2,0.25,1,0.99114287,0.031858689
3,0.25,1,0.9909286,0.036640045
4,0.25,1,0.99221426,0.033873094
5,0.25,1,0.9895,0.035013534
6,0.25,1,0.98957145,0.033860166
7,0.25,1,0.9902857,0.044777991
8,0.25,1,0.9907143,0.035872065
9,0.25,1,0.9877143,0.047855299
10,0.25,1,0.9902857,0.037981824
11,0.25,1,0.99064285,0.037617677
12,0.25,1,0.98971426,0.038926778
13,0.25,1,0.98971426,0.041915049
14,0.25,1,0.9915,0.028799467
15,0.25,1,0.98971426,0.032502018
16,0.25,1,0.9882143,0.044273009
17,0.25,1,0.99064285,0.031069018
18,0.25,1,0.9902857,0.038751628
19,0.25,1,0.9907857,0.03199069
0,0.5,0.1,0.9909286,0.031030892
1,0.5,0.1,0.98992854,0.033574054
2,0.5,0.1,0.991,0.031965908
3,0.5,0.1,0.99057144,0.036561374
4,0.5,0.1,0.9918572,0.034081855
5,0.5,0.1,0.9900714,0.035617444
6,0.5,0.1,0.99,0.033153671
7,0.5,0.1,0.99042857,0.046177367
8,0.5,0.1,0.9905,0.035908395
9,0.5,0.1,0.98785716,0.047150663
10,0.5,0.1,0.99035716,0.037650479
11,0.5,0.1,0.99064285,0.038062033
12,0.5,0.1,0.98985714,0.040353174
13,0.5,0.1,0.98957145,0.041135352
14,0.5,0.1,0.992,0.028718109
15,0.5,0.1,0.9900714,0.03239944
16,0.5,0.1,0.9882143,0.043990813
17,0.5,0.1,0.9912143,0.030402003
18,0.5,0.1,0.9900714,0.038986875
19,0.5,0.1,0.9907857,0.032077812
0,0.5,0.25,0.9908571,0.031074181
1,0.5,0.25,0.9900714,0.032600894
2,0.5,0.25,0.99135715,0.031484314
3,0.5,0.25,0.9908571,0.036595709
4,0.5,0.25,0.992,0.033954181
5,0.5,0.25,0.98971426,0.035216262
6,0.5,0.25,0.99,0.03310402
7,0.5,0.25,0.99042857,0.045997033
8,0.5,0.25,0.9907143,0.036098417
9,0.5,0.25,0.98785716,0.046516197
10,0.5,0.25,0.9905,0.037564911
11,0.5,0.25,0.9907857,0.037529284
12,0.5,0.25,0.98985714,0.04021653
13,0.5,0.25,0.98964286,0.040867383
14,0.5,0.25,0.992,0.028652943
15,0.5,0.25,0.9902143,0.031793042
16,0.5,0.25,0.9883571,0.043330076
17,0.5,0.25,0.99114287,0.030333683
18,0.5,0.25,0.9900714,0.038385278
19,0.5,0.25,0.9907857,0.032226085
0,0.5,0.5,0.9910714,0.030854105
1,0.5,0.5,0.9902143,0.032627794
2,0.5,0.5,0.9912143,0.031930216
3,0.5,0.5,0.9908571,0.036550366
4,0.5,0.5,0.9918572,0.033893371
5,0.5,0.5,0.98957145,0.034733503
6,0.5,0.5,0.99,0.032968384
7,0.5,0.5,0.9900714,0.046113094
8,0.5,0.5,0.9907857,0.036872777
9,0.5,0.5,0.9877857,0.047592409
10,0.5,0.5,0.9902143,0.037638302
11,0.5,0.5,0.9907857,0.037637616
12,0.5,0.5,0.98978573,0.04017484
13,0.5,0.5,0.98985714,0.04093212
14,0.5,0.5,0.9918572,0.02890351
15,0.5,0.5,0.98985714,0.032782527
16,0.5,0.5,0.9883571,0.043440929
17,0.5,0.5,0.9912143,0.031225016
18,0.5,0.5,0.99,0.039808116
19,0.5,0.5,0.9910714,0.031816701
0,0.5,0.75,0.991,0.032597828
1,0.5,0.75,0.9902857,0.033698473
2,0.5,0.75,0.99114287,0.031242548
3,0.5,0.75,0.9901429,0.037000978
4,0.5,0.75,0.9918572,0.03374654
5,0.5,0.75,0.9902143,0.033878365
6,0.5,0.75,0.9900714,0.032941354
7,0.5,0.75,0.99035716,0.044210273
8,0.5,0.75,0.9909286,0.036493086
9,0.5,0.75,0.98792857,0.046658897
10,0.5,0.75,0.9902857,0.037129799
11,0.5,0.75,0.9902857,0.037682685
12,0.5,0.75,0.98978573,0.040227935
13,0.5,0.75,0.98971426,0.041294998
14,0.5,0.75,0.9917143,0.029035252
15,0.5,0.75,0.9901429,0.031961441
16,0.5,0.75,0.98664284,0.047422865
17,0.5,0.75,0.9907857,0.031362242
18,0.5,0.75,0.9900714,0.037944948
19,0.5,0.75,0.99042857,0.032481093
0,0.5,1,0.99064285,0.032069773
1,0.5,1,0.9901429,0.034838124
2,0.5,1,0.9912143,0.032123447
3,0.5,1,0.99057144,0.036828846
4,0.5,1,0.99164283,0.034282432
5,0.5,1,0.98914284,0.040075135
6,0.5,1,0.9893571,0.034412256
7,0.5,1,0.98992854,0.04740545
8,0.5,1,0.99035716,0.035863741
9,0.5,1,0.9877143,0.046366837
10,0.5,1,0.9895,0.038363332
11,0.5,1,0.9907143,0.037476616
12,0.5,1,0.9902143,0.040316273
13,0.5,1,0.98971426,0.041500853
14,0.5,1,0.9917857,0.029274903
15,0.5,1,0.98878574,0.038601734
16,0.5,1,0.988,0.043988839
17,0.5,1,0.9901429,0.035514308
18,0.5,1,0.9900714,0.038940733
