Mutation Number,Layer Num,Accuracy,Loss
0,0,0.9909286,0.03128150326952995
1,0,0.11657143,2.3022409744262697
2,0,0.9907143,0.03453228701298966
3,0,0.11364286,2.3014102769579208
4,0,0.99114287,0.039072643284909385
5,0,0.991,0.029295635365851922
6,0,0.12842858,2.227589232308524
7,0,0.9915,0.035209563147484524
8,0,0.9902857,0.03734904303741704
9,0,0.9887143,0.039247700117208295
10,0,0.99,0.04085739298590592
11,0,0.1075,2.475852967943464
12,0,0.9900714,0.03568141998451444
13,0,0.097,2.3064385610307965
14,0,0.9915,0.026972259647986253
15,0,0.99035716,0.03345410397981011
16,0,0.9890714,0.044315814334367
17,0,0.09035714,2.3021742480141776
18,0,0.9909286,0.03122803304567268
19,0,0.9900714,0.07087301694921085
0,1,0.28942856,8.91100478907994
1,1,0.47007143,2.004638626098633
2,1,0.9907143,0.03453228701298966
3,1,0.9892143,0.03513513825713224
4,1,0.99114287,0.039072643284909385
5,1,0.26871428,11.434649455479214
6,1,0.98957145,0.03554052684623873
7,1,0.9915714,0.03806012121257352
8,1,0.9902857,0.03734904303741704
9,1,0.09728572,12.189073451450893
10,1,0.41228572,1.937119982310704
11,1,0.36235714,6.000824202946254
12,1,0.62871426,1.956966925757272
13,1,0.40807143,2.001444744655064
14,1,0.99128574,0.02865498911645201
15,1,0.40092856,1.956450859614781
16,1,0.09828571,11.158676725115095
17,1,0.9910714,0.035746505295591695
18,1,0.3255,10.03243896484375
19,1,0.99042857,0.033101137216440944
0,2,0.9909286,0.03128150326952995
1,2,0.99057144,0.033599085869026435
2,2,0.9907143,0.03550281933606584
3,2,0.9892143,0.03513513825713224
4,2,0.99114287,0.039072643284909385
5,2,0.9907857,0.03169179655071054
6,2,0.100428574,9.847081917898995
7,2,0.9915714,0.03806012121257352
8,2,0.1935,9.386344511304582
9,2,0.09728572,12.189073451450893
10,2,0.9907857,0.03492014539557983
11,2,0.55721426,4.668626723153251
12,2,0.9900714,0.03568141998451444
13,2,0.9892143,0.03857177412682462
14,2,0.99128574,0.02865498911645201
15,2,0.99035716,0.03345410397981011
16,2,0.09828571,11.158676725115095
17,2,0.99164283,0.027393660825413203
18,2,0.20521429,10.716805995396205
19,2,0.27085716,11.05992021724156
0,3,0.9909286,0.032022186499271944
1,3,0.22192857,10.004753858293805
2,3,0.98885715,0.043181710648217374
3,3,0.98878574,0.04004709066166262
4,3,0.097642854,10.915902856009348
5,3,0.19735715,11.679644461495537
6,3,0.112571426,9.37560888998849
7,3,0.9915,0.03920311848866342
8,3,0.1935,9.386344511304582
9,3,0.9887143,0.039247700117208295
10,3,0.9907857,0.03592711195849811
11,3,0.71,1.9956280114310128
12,3,0.9900714,0.036694456827271744
13,3,0.98914284,0.03557633689970576
14,3,0.99128574,0.02865498911645201
15,3,0.37107143,2.00511988231114
16,3,0.09821428,11.720254941667829
17,3,0.99164283,0.027393660825413203
18,3,0.33235714,2.0352928959982735
19,3,0.27085716,11.05992021724156
0,4,0.9909286,0.03128150326952995
1,4,0.98985714,0.032010968995904214
2,4,0.09792857,13.475773699079241
3,4,0.38128573,8.28816147831508
4,4,0.3452857,8.382284091404506
5,4,0.9902857,0.03375548654235899
6,4,0.114285715,2.302411609649658
7,4,0.47264287,7.050210377829416
8,4,0.9902857,0.03734904303741704
9,4,0.13357143,11.384974479675293
10,4,0.20807143,10.839228628976004
11,4,0.40028572,5.623085669926235
12,4,0.98992854,0.03373840078899437
13,4,0.10014286,11.6893497303554
14,4,0.99128574,0.02865498911645201
15,4,0.19578572,11.16346613747733
16,4,0.23885715,9.302103718348912
17,4,0.99164283,0.028033716964053122
18,4,0.20521429,10.716805995396205
19,4,0.99042857,0.033715201695632586
0,5,0.9909286,0.03128150326952995
1,5,0.97985715,0.4407926277092525
2,5,0.9907143,0.03550582621607438
3,5,0.98878574,0.041160815558817246
4,5,0.99114287,0.039072643284909385
5,5,0.9907857,0.0325677555453619
6,5,0.98957145,0.03554052684623873
7,5,0.9915714,0.03915919000562176
8,5,0.8413572,2.1367482790265764
9,5,0.9877857,0.11427637926169804
10,5,0.9907857,0.03590437947571211
11,5,0.9564286,0.5953064926011222
12,5,0.98971426,0.10054045753819602
13,5,0.5882857,2.142509541102818
14,5,0.9884286,0.03369117201944547
15,5,0.99035716,0.03345410397981011
16,5,0.9890714,0.04367954067034849
17,5,0.99164283,0.02802232696757918
18,5,0.9902857,0.1110204040322985
19,5,0.99042857,0.033101137216440944
0,6,0.991,0.03199788683088523
1,6,0.9786429,0.47903908954347885
2,6,0.9887143,0.035828799991169946
3,6,0.9875,0.05622623961951052
4,6,0.99114287,0.039072643284909385
5,6,0.9901429,0.09372783903564726
6,6,0.98957145,0.03554052684623873
7,6,0.9902143,0.10476887734447207
8,6,0.9902857,0.03841191873892447
9,6,0.89992857,0.6721863981655666
10,6,0.98035717,0.4756275678362165
11,6,0.47657144,2.134877898624965
12,6,0.9900714,0.03568141998451444
13,6,0.5882857,2.142509541102818
14,6,0.9655,0.5393224494116647
15,6,0.98807144,0.039384837262665055
16,6,0.9890714,0.04510555104626785
17,6,0.9910714,0.09726743460553033
18,6,0.9908571,0.03210503956709207
19,6,0.99042857,0.033101137216440944
0,7,0.9909286,2.008907791137695
1,7,0.99057144,0.033599085869026435
2,7,0.9907143,1.4721607766832625
3,7,0.98878574,0.04004709066166262
4,7,0.99114287,0.039072646044347493
5,7,0.9907857,0.03169179655071054
6,7,0.98957145,0.03554052684623873
7,7,0.9915714,0.038060124457030074
8,7,0.9902857,2.009210033416748
9,7,0.9887143,1.474366877419608
10,7,0.9907857,0.03492014897483698
11,7,0.98957145,0.0388115536358195
12,7,0.9900714,1.4728088556017194
13,7,0.9892143,1.9721559020451136
14,7,0.99128574,0.02865498911645201
15,7,0.99035716,0.03345410397981011
16,7,0.9890714,0.042558590044483674
17,7,0.99164283,0.027393660825413203
18,7,0.9908571,0.03131878143443776
19,7,0.99042857,1.9723593066079277
