Mutation Number,Run Num,Percentage,Accuracy,Loss
0,0,0.001,0.99042857,0.03500299
0,1,0.001,0.9907857,0.031373978
0,2,0.001,0.99,0.034117037
0,3,0.001,0.97414285,0.095838421
0,4,0.001,0.9900714,0.035474268
1,0,0.001,0.98792857,0.041408789
1,1,0.001,0.99207145,0.028425674
1,2,0.001,0.9892857,0.034536489
1,3,0.001,0.9901429,0.032708202
1,4,0.001,0.9900714,0.034114178
2,0,0.001,0.99164283,0.030704819
2,1,0.001,0.9917143,0.034324923
2,2,0.001,0.9912143,0.031845055
2,3,0.001,0.99142855,0.034389494
2,4,0.001,0.98642856,0.053941078
3,0,0.001,0.9907857,0.03547634
3,1,0.001,0.99035716,0.038102089
3,2,0.001,0.9902857,0.034150698
3,3,0.001,0.9908571,0.034449764
3,4,0.001,0.98885715,0.041222518
4,0,0.001,0.99042857,0.03662286
4,1,0.001,0.8552143,1.661224891
4,2,0.001,0.98985714,0.039340499
4,3,0.001,0.98985714,0.03710123
4,4,0.001,0.9909286,0.039064992
0,0,0.005,0.98985714,0.035993005
0,1,0.005,0.99128574,0.032135417
0,2,0.005,0.98385715,0.064095331
0,3,0.005,0.99042857,0.033342605
0,4,0.005,0.9867857,0.05518912
1,0,0.005,0.72914284,2.092008858
1,1,0.005,0.9895,0.035144776
1,2,0.005,0.9892143,0.035519034
1,3,0.005,0.9778572,0.094243446
1,4,0.005,0.9901429,0.034014889
2,0,0.005,0.99142855,0.031892112
2,1,0.005,0.99214286,0.033198885
2,2,0.005,0.9915714,0.032755122
2,3,0.005,0.99135715,0.034453499
2,4,0.005,0.98964286,0.038408484
3,0,0.005,0.9876429,0.047044148
3,1,0.005,0.9829286,0.070338155
3,2,0.005,0.9907857,0.033132742
3,3,0.005,0.9908571,0.035087437
3,4,0.005,0.98564285,0.051591621
4,0,0.005,0.98914284,0.041256306
4,1,0.005,0.9890714,0.041611917
4,2,0.005,0.9895,0.040498889
4,3,0.005,0.9905,0.036165503
4,4,0.005,0.70042855,1.925913441
0,0,0.01,0.9902143,0.037062357
0,1,0.01,0.99035716,0.031458651
0,2,0.01,0.9902143,0.03440244
0,3,0.01,0.9905,0.032692214
0,4,0.01,0.98721427,0.053651106
1,0,0.01,0.99064285,0.03250939
1,1,0.01,0.9912143,0.029932589
1,2,0.01,0.9875,0.047888977
1,3,0.01,0.98035717,0.07292793
1,4,0.01,0.9832857,0.065728978
2,0,0.01,0.9912143,0.031359727
2,1,0.01,0.8133571,1.396632891
2,2,0.01,0.9907857,0.034218386
2,3,0.01,0.99064285,0.034889665
2,4,0.01,0.8559286,1.58258763
3,0,0.01,0.99135715,0.032482193
3,1,0.01,0.9887143,0.038238493
3,2,0.01,0.9908571,0.033856105
3,3,0.01,0.98892856,0.043648759
3,4,0.01,0.98878574,0.039406143
4,0,0.01,0.9893571,0.040373388
4,1,0.01,0.9892857,0.041091
4,2,0.01,0.9902143,0.037761502
4,3,0.01,0.9895,0.038744706
4,4,0.01,0.99057144,0.039410006
0,0,0.05,0.9860714,0.048423067
0,1,0.05,0.97764283,0.077614194
0,2,0.05,0.96585715,0.130610434
0,3,0.05,0.9742857,0.081829356
0,4,0.05,0.9596428,0.183902655
1,0,0.05,0.94864285,0.173422097
1,1,0.05,0.9745714,0.079905548
1,2,0.05,0.4597857,2.946911535
1,3,0.05,0.9811429,0.064928744
1,4,0.05,0.9415714,0.189116626
2,0,0.05,0.7007857,2.108519432
2,1,0.05,0.98992854,0.03317674
2,2,0.05,0.97907144,0.070719658
2,3,0.05,0.5325,2.315272858
2,4,0.05,0.75528574,1.13832578
3,0,0.05,0.9282857,0.262256721
3,1,0.05,0.64414287,3.01001731
3,2,0.05,0.1987857,6.514096321
3,3,0.05,0.97842854,0.074245652
3,4,0.05,0.9712857,0.108854
4,0,0.05,0.9467143,0.224633538
4,1,0.05,0.97164285,0.122451134
4,2,0.05,0.77271426,1.591859823
4,3,0.05,0.9850714,0.0591396
4,4,0.05,0.47335714,2.229009934
0,0,0.1,0.4567857,3.661462587
0,1,0.1,0.36035714,3.396590962
0,2,0.1,0.14564286,9.009551878
0,3,0.1,0.35421428,2.422667067
0,4,0.1,0.21757142,3.07799009
1,0,0.1,0.186,5.091333895
1,1,0.1,0.2,4.625620326
1,2,0.1,0.9077857,0.289093231
1,3,0.1,0.26292858,3.315405437
1,4,0.1,0.15378572,5.242351428
2,0,0.1,0.9300714,0.259397721
2,1,0.1,0.15685715,8.555465913
2,2,0.1,0.5627143,1.469492402
2,3,0.1,0.19285715,4.945689759
2,4,0.1,0.8510714,0.483806181
3,0,0.1,0.9480714,0.170125008
3,1,0.1,0.8890714,0.374300727
3,2,0.1,0.73407143,1.105290584
3,3,0.1,0.96757144,0.106661299
3,4,0.1,0.06,11.32617035
4,0,0.1,0.39364284,2.125004094
4,1,0.1,0.40057144,5.110691572
4,2,0.1,0.89857143,0.36041538
4,3,0.1,0.17071429,4.316968676
4,4,0.1,0.94871426,0.165955954
