Mutation Number,Run Num,Percentage,Accuracy,Loss
0,0,0.001,0.9908571,0.034074122
0,1,0.001,0.9907857,0.03200701
0,2,0.001,0.9919286,0.029669416
0,3,0.001,0.9907143,0.033465815
0,4,0.001,0.99042857,0.035811746
1,0,0.001,0.9907143,0.032351834
1,1,0.001,0.9918572,0.029019802
1,2,0.001,0.9892857,0.034086597
1,3,0.001,0.9907857,0.031470827
1,4,0.001,0.9902857,0.033572523
2,0,0.001,0.9912143,0.032001392
2,1,0.001,0.9917143,0.032962515
2,2,0.001,0.991,0.032795134
2,3,0.001,0.97321427,0.084784799
2,4,0.001,0.9915,0.034175243
3,0,0.001,0.9907143,0.034631481
3,1,0.001,0.9907143,0.037747004
3,2,0.001,0.9902857,0.033008253
3,3,0.001,0.9900714,0.035193111
3,4,0.001,0.9895,0.036108988
4,0,0.001,0.93135715,0.191993755
4,1,0.001,0.9895,0.041493539
4,2,0.001,0.9895,0.039758124
4,3,0.001,0.92142856,0.200976639
4,4,0.001,0.99057144,0.038335311
0,0,0.005,0.9905,0.034348987
0,1,0.005,0.9907143,0.031987167
0,2,0.005,0.9917143,0.029390392
0,3,0.005,0.99114287,0.031418099
0,4,0.005,0.9908571,0.035742753
1,0,0.005,0.98985714,0.03336563
1,1,0.005,0.9917143,0.028996315
1,2,0.005,0.9890714,0.034243202
1,3,0.005,0.99035716,0.031682252
1,4,0.005,0.98978573,0.034814185
2,0,0.005,0.99142855,0.031577371
2,1,0.005,0.9915714,0.033590319
2,2,0.005,0.9912143,0.032594466
2,3,0.005,0.99164283,0.034246173
2,4,0.005,0.99114287,0.034150266
3,0,0.005,0.99114287,0.034207362
3,1,0.005,0.99042857,0.037889812
3,2,0.005,0.98985714,0.034337707
3,3,0.005,0.9902857,0.03508467
3,4,0.005,0.98957145,0.036681711
4,0,0.005,0.98964286,0.039221324
4,1,0.005,0.9890714,0.039326668
4,2,0.005,0.98957145,0.039931685
4,3,0.005,0.99042857,0.036044245
4,4,0.005,0.98964286,0.04083695
0,0,0.01,0.99057144,0.034126274
0,1,0.01,0.99057144,0.032355142
0,2,0.01,0.9915714,0.029793906
0,3,0.01,0.99142855,0.030797815
0,4,0.01,0.9902857,0.036091865
1,0,0.01,0.9907143,0.032753514
1,1,0.01,0.99142855,0.028689038
1,2,0.01,0.9893571,0.034036142
1,3,0.01,0.99042857,0.031253941
1,4,0.01,0.98992854,0.034186853
2,0,0.01,0.99128574,0.031733195
2,1,0.01,0.9918572,0.032610671
2,2,0.01,0.9915,0.032292066
2,3,0.01,0.99135715,0.034699444
2,4,0.01,0.99135715,0.034181859
3,0,0.01,0.9775,0.076274451
3,1,0.01,0.9905,0.037581961
3,2,0.01,0.9900714,0.033236203
3,3,0.01,0.99064285,0.034037367
3,4,0.01,0.9900714,0.036192165
4,0,0.01,0.98914284,0.040439
4,1,0.01,0.9885,0.040446817
4,2,0.01,0.98992854,0.03923359
4,3,0.01,0.99035716,0.03647083
4,4,0.01,0.9907857,0.038389372
0,0,0.05,0.9912143,0.034083006
0,1,0.05,0.9869286,0.04628436
0,2,0.05,0.9907857,0.030373174
0,3,0.05,0.9697857,0.090116305
0,4,0.05,0.94107145,0.165986214
1,0,0.05,0.9886429,0.040138509
1,1,0.05,0.9382857,0.183825251
1,2,0.05,0.9892857,0.035615832
1,3,0.05,0.95835716,0.124998425
1,4,0.05,0.9895,0.037864933
2,0,0.05,0.9391429,0.166472446
2,1,0.05,0.9915714,0.033667992
2,2,0.05,0.9915,0.030464803
2,3,0.05,0.99207145,0.031178682
2,4,0.05,0.99035716,0.033382698
3,0,0.05,0.9292143,0.191102256
3,1,0.05,0.9456428,0.167842331
3,2,0.05,0.98971426,0.034045548
3,3,0.05,0.98664284,0.052595543
3,4,0.05,0.888,0.240344729
4,0,0.05,0.7584286,0.692035055
4,1,0.05,0.98792857,0.043209656
4,2,0.05,0.9875714,0.042350061
4,3,0.05,0.98885715,0.044291794
4,4,0.05,0.9905,0.035445835
0,0,0.1,0.66814286,0.740556573
0,1,0.1,0.87364286,0.311386461
0,2,0.1,0.9882143,0.044496447
0,3,0.1,0.932,0.183695437
0,4,0.1,0.98807144,0.040755645
1,0,0.1,0.98807144,0.054009105
1,1,0.1,0.9902857,0.036056741
1,2,0.1,0.98385715,0.060612464
1,3,0.1,0.93435717,0.182872092
1,4,0.1,0.9882857,0.041652217
2,0,0.1,0.9602857,0.114133312
2,1,0.1,0.85785717,0.296194908
2,2,0.1,0.90885717,0.28524574
2,3,0.1,0.97642857,0.075337011
2,4,0.1,0.94621426,0.168204747
3,0,0.1,0.8726429,0.278999398
3,1,0.1,0.7902143,0.561596893
3,2,0.1,0.9447857,0.152077312
3,3,0.1,0.7912857,0.481564127
3,4,0.1,0.97914284,0.068586024
4,0,0.1,0.74307144,0.590723187
4,1,0.1,0.87214285,0.342566131
4,2,0.1,0.89285713,0.289622593
4,3,0.1,0.97171426,0.104196364
4,4,0.1,0.98728573,0.047336483
