Mutation Number,Run Num,Percentage,Accuracy,Loss
0,0,0.001,0.9908571,0.034676354
0,1,0.001,0.9909286,0.032348058
0,2,0.001,0.9902857,0.041894409
0,3,0.001,0.9912143,0.031280207
0,4,0.001,0.9902143,0.03671743
1,0,0.001,0.7862143,0.622335393
1,1,0.001,0.9919286,0.029057721
1,2,0.001,0.98914284,0.034201992
1,3,0.001,0.991,0.030940434
1,4,0.001,0.98985714,0.034756662
2,0,0.001,0.9915714,0.031194759
2,1,0.001,0.9918572,0.033611028
2,2,0.001,0.99142855,0.032530567
2,3,0.001,0.9912143,0.035567676
2,4,0.001,0.99128574,0.033516233
3,0,0.001,0.99142855,0.034860331
3,1,0.001,0.7771429,1.131882393
3,2,0.001,0.99042857,0.03360647
3,3,0.001,0.99057144,0.03584227
3,4,0.001,0.798,1.357377694
4,0,0.001,0.79135716,1.689061015
4,1,0.001,0.9892143,0.038410946
4,2,0.001,0.98978573,0.040038196
4,3,0.001,0.98892856,0.03904581
4,4,0.001,0.991,0.039420477
0,0,0.005,0.9908571,0.033916487
0,1,0.005,0.9907857,0.031820728
0,2,0.005,0.9054286,1.349487369
0,3,0.005,0.9910714,0.031560785
0,4,0.005,0.99035716,0.03601554
1,0,0.005,0.9909286,0.032691979
1,1,0.005,0.99164283,0.029529571
1,2,0.005,0.89192855,0.587029667
1,3,0.005,0.99064285,0.031317907
1,4,0.005,0.99,0.03501859
2,0,0.005,0.99128574,0.031517476
2,1,0.005,0.9917857,0.033559175
2,2,0.005,0.9912143,0.03271843
2,3,0.005,0.9907857,0.035899783
2,4,0.005,0.99114287,0.034000757
3,0,0.005,0.99128574,0.03466767
3,1,0.005,0.99035716,0.038713622
3,2,0.005,0.98985714,0.035114011
3,3,0.005,0.99035716,0.035542708
3,4,0.005,0.98957145,0.036960101
4,0,0.005,0.9893571,0.040228532
4,1,0.005,0.9892143,0.039785097
4,2,0.005,0.98957145,0.039938646
4,3,0.005,0.9902857,0.036826178
4,4,0.005,0.99114287,0.039072043
0,0,0.01,0.9902143,0.035032491
0,1,0.01,0.9910714,0.031993676
0,2,0.01,0.9908571,0.030875178
0,3,0.01,0.9909286,0.031599377
0,4,0.01,0.99057144,0.036109302
1,0,0.01,0.99035716,0.03227431
1,1,0.01,0.99164283,0.029388167
1,2,0.01,0.9894286,0.033957501
1,3,0.01,0.9910714,0.030585018
1,4,0.01,0.89,1.01286876
2,0,0.01,0.991,0.032229436
2,1,0.01,0.9919286,0.033455825
2,2,0.01,0.99042857,0.034398339
2,3,0.01,0.99135715,0.036225429
2,4,0.01,0.991,0.034050542
3,0,0.01,0.9907143,0.035461631
3,1,0.01,0.9905,0.038236897
3,2,0.01,0.9900714,0.03382407
3,3,0.01,0.7987857,1.33300836
3,4,0.01,0.98971426,0.039491267
4,0,0.01,0.9895,0.039288682
4,1,0.01,0.9890714,0.040513922
4,2,0.01,0.9893571,0.04217293
4,3,0.01,0.806,0.46062334
4,4,0.01,0.9907857,0.039047747
0,0,0.05,0.9892143,0.036622565
0,1,0.05,0.9895,0.03482636
0,2,0.05,0.887,0.677876803
0,3,0.05,0.98985714,0.033384703
0,4,0.05,0.9892857,0.03827384
1,0,0.05,0.9875714,0.040170239
1,1,0.05,0.9907143,0.034035196
1,2,0.05,0.8745,0.582613749
1,3,0.05,0.988,0.040239498
1,4,0.05,0.87292856,0.395996077
2,0,0.05,0.9015,0.613707192
2,1,0.05,0.7829286,0.722345849
2,2,0.05,0.9893571,0.037499486
2,3,0.05,0.8945,1.216106501
2,4,0.05,0.9901429,0.03344561
3,0,0.05,0.98914284,0.033103381
3,1,0.05,0.98992854,0.037810112
3,2,0.05,0.9900714,0.037005233
3,3,0.05,0.7942857,1.441997077
3,4,0.05,0.98735714,0.042743134
4,0,0.05,0.8945,0.700705411
4,1,0.05,0.98914284,0.044721651
4,2,0.05,0.81392854,0.48970296
4,3,0.05,0.87621427,0.611052129
4,4,0.05,0.8057143,1.939346183
0,0,0.1,0.7220714,1.241251447
0,1,0.1,0.78564286,0.776865008
0,2,0.1,0.884,1.006591404
0,3,0.1,0.79085714,1.203672296
0,4,0.1,0.6785,1.534749031
1,0,0.1,0.98792857,0.045040616
1,1,0.1,0.87207144,0.380195981
1,2,0.1,0.8957143,1.309342139
1,3,0.1,0.6037143,1.301965524
1,4,0.1,0.6135,1.25924129
2,0,0.1,0.9892143,0.036146207
2,1,0.1,0.79242855,1.022002739
2,2,0.1,0.88785714,1.182365232
2,3,0.1,0.7976429,0.885574512
2,4,0.1,0.98785716,0.039153348
3,0,0.1,0.8887143,1.379487112
3,1,0.1,0.71735716,1.227152618
3,2,0.1,0.7895714,1.426461261
3,3,0.1,0.7080714,2.457659067
3,4,0.1,0.78657144,1.011351425
4,0,0.1,0.8005,1.239689701
4,1,0.1,0.5774286,2.315492555
4,2,0.1,0.6942143,3.895621186
4,3,0.1,0.8242857,0.374919019
4,4,0.1,0.9887143,0.039379462
