Mutation Number,Run Num,Percentage,Accuracy,Loss
0,0,0.001,0.99057144,0.033545133
0,1,0.001,0.9908571,0.032169587
0,2,0.001,0.898,0.518981745
0,3,0.001,0.9907143,0.031289052
0,4,0.001,0.9905,0.036125664
1,0,0.001,0.9907143,0.032950922
1,1,0.001,0.9915714,0.028961142
1,2,0.001,0.989,0.034257696
1,3,0.001,0.9909286,0.031396701
1,4,0.001,0.98985714,0.041784437
2,0,0.001,0.99142855,0.031689317
2,1,0.001,0.99142855,0.033149505
2,2,0.001,0.9910714,0.032268975
2,3,0.001,0.9910714,0.034923901
2,4,0.001,0.99114287,0.033926331
3,0,0.001,0.9912143,0.034061778
3,1,0.001,0.9905,0.038318865
3,2,0.001,0.99057144,0.032519485
3,3,0.001,0.9902857,0.035340299
3,4,0.001,0.9893571,0.037569401
4,0,0.001,0.98957145,0.039909881
4,1,0.001,0.98914284,0.040082223
4,2,0.001,0.98978573,0.039407691
4,3,0.001,0.98985714,0.036552833
4,4,0.001,0.991,0.039089327
0,0,0.005,0.99064285,0.034184517
0,1,0.005,0.98721427,0.042073127
0,2,0.005,0.9915714,0.029701451
0,3,0.005,0.8897143,0.808548091
0,4,0.005,0.90442854,0.80957183
1,0,0.005,0.99035716,0.033531993
1,1,0.005,0.9918572,0.028636422
1,2,0.005,0.9892857,0.034124872
1,3,0.005,0.9907857,0.030437092
1,4,0.005,0.99,0.034539029
2,0,0.005,0.9908571,0.031437898
2,1,0.005,0.9917143,0.033977627
2,2,0.005,0.9912143,0.032360149
2,3,0.005,0.9915,0.035402509
2,4,0.005,0.99135715,0.034306105
3,0,0.005,0.9915714,0.033224804
3,1,0.005,0.9905,0.038040675
3,2,0.005,0.9901429,0.032830788
3,3,0.005,0.9901429,0.035239667
3,4,0.005,0.9893571,0.037776533
4,0,0.005,0.9893571,0.040126589
4,1,0.005,0.9893571,0.039834526
4,2,0.005,0.98985714,0.039632932
4,3,0.005,0.9905,0.036144748
4,4,0.005,0.9907857,0.039079846
0,0,0.01,0.99057144,0.034249646
0,1,0.01,0.9909286,0.031531358
0,2,0.01,0.9919286,0.029130575
0,3,0.01,0.99057144,0.032403325
0,4,0.01,0.99057144,0.036871518
1,0,0.01,0.99057144,0.03413087
1,1,0.01,0.9917857,0.028883448
1,2,0.01,0.9895,0.034019908
1,3,0.01,0.9910714,0.030342061
1,4,0.01,0.9902143,0.034558704
2,0,0.01,0.98892856,0.040092403
2,1,0.01,0.9917857,0.033293827
2,2,0.01,0.99128574,0.032096244
2,3,0.01,0.9915,0.034444386
2,4,0.01,0.9915714,0.031891433
3,0,0.01,0.99135715,0.034262167
3,1,0.01,0.99064285,0.037845476
3,2,0.01,0.99035716,0.033164667
3,3,0.01,0.98964286,0.037319087
3,4,0.01,0.9892857,0.03645398
4,0,0.01,0.9890714,0.040745882
4,1,0.01,0.9890714,0.040903406
4,2,0.01,0.9895,0.040310417
4,3,0.01,0.99035716,0.036659338
4,4,0.01,0.9905,0.040387542
0,0,0.05,0.98971426,0.035213244
0,1,0.05,0.98971426,0.033199239
0,2,0.05,0.9105,0.2817553
0,3,0.05,0.903,0.601084347
0,4,0.05,0.9909286,0.032914816
1,0,0.05,0.913,0.310533086
1,1,0.05,0.8982143,0.503049191
1,2,0.05,0.987,0.04193234
1,3,0.05,0.8931429,0.966625291
1,4,0.05,0.9882143,0.037276581
2,0,0.05,0.9907143,0.030991784
2,1,0.05,0.89607143,1.18581211
2,2,0.05,0.9907143,0.032579418
2,3,0.05,0.7927143,1.406662009
2,4,0.05,0.89107144,0.533779545
3,0,0.05,0.99,0.039841817
3,1,0.05,0.7656429,1.856305954
3,2,0.05,0.9860714,0.049264073
3,3,0.05,0.89214283,0.67160348
3,4,0.05,0.891,0.40791091
4,0,0.05,0.89035714,0.618082838
4,1,0.05,0.8891429,0.529547754
4,2,0.05,0.98964286,0.035861698
4,3,0.05,0.9894286,0.036263411
4,4,0.05,0.9095714,0.282239258
0,0,0.1,0.9859286,0.050915384
0,1,0.1,0.7845714,1.063369047
0,2,0.1,0.98785716,0.039878289
0,3,0.1,0.9742143,0.115721992
0,4,0.1,0.98657143,0.044177754
1,0,0.1,0.8866429,0.72648366
1,1,0.1,0.99042857,0.032365213
1,2,0.1,0.89357144,0.453994143
1,3,0.1,0.98335713,0.073207628
1,4,0.1,0.894,0.594996889
2,0,0.1,0.895,0.56599905
2,1,0.1,0.9909286,0.030423026
2,2,0.1,0.9902857,0.033367786
2,3,0.1,0.61485714,1.970748568
2,4,0.1,0.98535717,0.058480452
3,0,0.1,0.8865,0.563279942
3,1,0.1,0.8906429,0.434653335
3,2,0.1,0.878,0.446489738
3,3,0.1,0.8892143,0.678076044
3,4,0.1,0.7106429,1.140362784
4,0,0.1,0.98707145,0.044022285
4,1,0.1,0.86378574,0.414211252
4,2,0.1,0.8935,0.722647331
4,3,0.1,0.8074286,1.109498956
4,4,0.1,0.775,1.246624264
