"Run Number","Layer Number","Loss","Accuracy"
1,0,0.0390022475,0.9886429
1,1,0.0390557468,0.98885715
1,2,0.0367446624,0.9901429
1,3,0.0404175179,0.9893571
1,4,0.0369782495,0.9902857
1,5,0.0431429609,0.98814285
1,6,0.0404753101,0.9892143
1,7,0.0454095242,0.98985714
1,8,0.0379711989,0.9893571
1,9,0.0453733774,0.9875
1,10,0.0335962386,0.9917857
1,11,0.0450013238,0.9890714
1,12,0.0328710387,0.9908571
1,13,0.0464642352,0.98721427
1,14,0.0315723161,0.9908571
1,15,0.0369747594,0.9882857
1,16,0.0460448354,0.98785716
1,17,0.0359170945,0.9900714
1,18,0.034893213,0.99057144
1,19,0.0383567851,0.99042857
2,0,0.0427627699,0.9902143
2,1,0.0425041322,0.9894286
2,2,0.0391394313,0.98978573
2,3,0.0392289242,0.9900714
2,4,0.0467951627,0.98807144
2,5,0.0374171736,0.98964286
2,6,0.0382207371,0.9902143
2,7,0.0437953521,0.9892857
2,8,0.0413542286,0.99
2,9,0.0414483072,0.9893571
2,10,0.0418983712,0.98971426
2,11,0.0416912053,0.98978573
2,12,0.0366055316,0.98985714
2,13,0.0435788804,0.9900714
2,14,0.0319003351,0.991
2,15,0.0366371118,0.9907857
2,16,0.0454202228,0.98878574
2,17,0.0326441774,0.9917857
2,18,0.0407456185,0.9902857
2,19,0.0351876656,0.9902857
3,0,0.0338320437,0.9894286
3,1,0.0371859499,0.9894286
3,2,0.0377870275,0.98978573
3,3,0.0557679314,0.9861429
3,4,0.036767654,0.99064285
3,5,0.0415571099,0.9882857
3,6,0.0386443207,0.98914284
3,7,0.0405334285,0.9892857
3,8,0.0381163944,0.9885
3,9,0.0463922298,0.9877857
3,10,0.0364542986,0.99142855
3,11,0.0395563934,0.9902143
3,12,0.0363684953,0.99042857
3,13,0.042137032,0.9883571
3,14,0.0345112197,0.9901429
3,15,0.0310472435,0.9907143
3,16,0.0457514185,0.9882143
3,17,0.032636776,0.98985714
3,18,0.0366736306,0.98978573
3,19,0.0341987227,0.98957145
4,0,9.8509308537,0.10414286
4,1,9.6720085569,0.10235714
4,2,"nan",0.09971429
4,3,7.6272436556,0.12814286
4,4,8.7241624603,0.103
4,5,"nan",0.099214286
4,6,"nan",0.09192857
4,7,6.783415638,0.084285714
4,8,"nan",0.102142856
4,9,"nan",0.09878571
4,10,8.0014831815,0.10257143
4,11,7.2313516917,0.10178571
4,12,7.4578271991,0.08921429
4,13,7.8460586777,0.096357144
4,14,7.8467353788,0.11757143
4,15,7.9450697904,0.12307143
4,16,"nan",0.09507143
4,17,9.7410861228,0.10057143
4,18,"nan",0.099214286
4,19,"nan",0.09771428
