"Layer Number","Run Number","Loss","Accuracy"
1,0,0.0267082241,0.9926429
1,1,0.0307603731,0.9917143
1,2,0.0285540803,0.99292856
1,3,0.0315500202,0.99114287
1,4,0.0392409576,0.9907857
1,5,0.0295117895,0.9917143
1,6,0.0296934987,0.9915714
1,7,0.0355835315,0.9907143
1,8,0.0362609053,0.99042857
1,9,0.0356408452,0.98992854
1,10,0.0352547454,0.9912143
1,11,0.0352430216,0.992
1,12,0.0326481794,0.9912143
1,13,0.0330499898,0.9915
1,14,0.0261797949,0.9917857
1,15,0.0278390068,0.99207145
1,16,0.0375508612,0.9905
1,17,0.0296615493,0.99221426
1,18,0.0319123651,0.9915714
1,19,0.0276769586,0.9917143
2,0,0.0294491894,0.9917857
2,1,0.0292011966,0.9909286
2,2,0.029140676,0.9925
2,3,0.0340660271,0.99128574
2,4,0.0316368828,0.99207145
2,5,0.0310248801,0.9918572
2,6,0.0344633821,0.9907143
2,7,0.0346641813,0.9910714
2,8,0.0322096809,0.9908571
2,9,0.0393985354,0.98985714
2,10,0.0304642183,0.9919286
2,11,0.0320028286,0.992
2,12,0.0327908563,0.99164283
2,13,0.0340846318,0.991
2,14,0.0245895306,0.9927857
2,15,0.0290487698,0.9915
2,16,0.0392890406,0.99035716
2,17,0.0271475166,0.9924286
2,18,0.0287746339,0.99221426
2,19,0.0308718204,0.991
3,0,0.0322067314,0.9902143
3,1,0.032431703,0.99
3,2,0.0278287302,0.9924286
3,3,0.0340274332,0.9907857
3,4,0.0329379176,0.99128574
3,5,0.028375841,0.99221426
3,6,0.029604996,0.99114287
3,7,0.0314326483,0.99064285
3,8,0.0307390248,0.99
3,9,0.0357956267,0.9902143
3,10,0.0307012623,0.99064285
3,11,0.0330894952,0.9918572
3,12,0.0324393989,0.9908571
3,13,0.0341518763,0.99
3,14,0.0248354363,0.99214286
3,15,0.0257595933,0.99207145
3,16,0.0342085508,0.9905
3,17,0.0249386727,0.9919286
3,18,0.0293127573,0.99135715
3,19,0.0285182392,0.99142855
4,0,0.0360595982,0.9894286
4,1,0.0339668768,0.99064285
4,2,0.0307259718,0.9917143
4,3,0.0328953307,0.9912143
4,4,0.036714593,0.99035716
4,5,0.0311926738,0.99042857
4,6,0.0350827742,0.98992854
4,7,0.0355246258,0.9900714
4,8,0.0360012032,0.9892857
4,9,0.0375718717,0.9892143
4,10,0.0367531698,0.9894286
4,11,0.0379366483,0.9908571
4,12,0.0340228649,0.9902143
4,13,0.0432569255,0.989
4,14,0.029874583,0.9915714
4,15,0.03613426,0.9892857
4,16,0.0429416364,0.9882143
4,17,0.0306980984,0.9917857
4,18,0.0389607419,0.9895
4,19,0.0312466821,0.9907857
6,0,0.0391154807,0.9910714
6,1,0.0410256389,0.9908571
6,2,0.0385470656,0.9915
6,3,0.0387695503,0.9907143
6,4,0.0422362465,0.98971426
6,5,0.0385213651,0.9907143
6,6,0.0405156213,0.9902857
6,7,0.0416110661,0.9910714
6,8,0.0475581974,0.98964286
6,9,0.0518115564,0.98957145
6,10,0.0443271731,0.9907143
6,11,0.0527751289,0.98985714
6,12,0.0485113878,0.9885714
6,13,0.0434049298,0.98985714
6,14,0.038159436,0.9907143
6,15,0.0340071127,0.9924286
6,16,0.0527974721,0.98878574
6,17,0.0380541594,0.9917143
6,18,0.0422331815,0.9905
6,19,0.0396425315,0.9907143
7,0,0.044097745,0.9877143
7,1,0.0453733956,0.9869286
7,2,0.0363214154,0.98992854
7,3,0.0437802032,0.98785716
7,4,0.040772854,0.989
7,5,0.0445806942,0.98714286
7,6,0.0446140308,0.98742855
7,7,0.0423620995,0.98885715
7,8,0.0407221537,0.98878574
7,9,0.050095647,0.9868571
7,10,0.0367323623,0.9892143
7,11,0.0439566334,0.9887143
7,12,0.0380318823,0.9882857
7,13,0.0459913211,0.9877857
7,14,0.0398302523,0.98792857
7,15,0.0375214347,0.9885714
7,16,0.0465735832,0.9857857
7,17,0.033039166,0.9902143
7,18,0.0399271216,0.98807144
7,19,0.0426364253,0.9892857
8,0,0.0338820995,0.9902143
8,1,0.0331472144,0.99128574
8,2,0.0313491667,0.99221426
8,3,0.0321386718,0.9909286
8,4,0.0415566082,0.9910714
8,5,0.0455057515,0.9886429
8,6,0.031818107,0.99114287
8,7,0.0429499262,0.9892857
8,8,0.0395335528,0.98985714
8,9,0.0392567622,0.98964286
8,10,0.0332969531,0.99057144
8,11,0.0391423618,0.9908571
8,12,0.0318182698,0.9902143
8,13,0.0421236794,0.98892856
8,14,0.0294841121,0.9915714
8,15,0.0334483679,0.9908571
8,16,0.0427168262,0.9890714
8,17,0.0293498216,0.9917857
8,18,0.0377277794,0.9902143
8,19,0.0343736709,0.9900714
