"Run Number","Mutation Number","Accuracy","Loss"
0,0,0.9904285714,0.0317534651
0,1,0.9912142857,0.0310313659
0,2,0.9904285714,0.0328596514
0,3,0.9907142857,0.0322972099
0,4,0.9917142857,0.0332822597
1,0,0.9907857143,0.0322921212
1,1,0.9896428571,0.0358867774
1,2,0.9905,0.0347096133
1,3,0.9903571429,0.0345495769
1,4,0.9907142857,0.0350869987
2,0,0.9917142857,0.029992821
2,1,0.9915714286,0.0321074124
2,2,0.9917142857,0.0332264486
2,3,0.9915,0.0338729879
2,4,0.9912142857,0.031707119
3,0,0.9899285714,0.0379652815
3,1,0.9897142857,0.0394399864
3,2,0.9917142857,0.0306448002
3,3,0.9908571429,0.0321620243
3,4,0.9893571429,0.0425562795
4,0,0.9884285714,0.0405703388
4,1,0.9905,0.0345814686
4,2,0.9897857143,0.0375223112
4,3,0.9897857143,0.0386371715
4,4,0.9909285714,0.0353052021
