"Mutation Number","Percentage","Accuracy","Loss"
0,5,0.9895714286,0.0351381381
1,5,0.9912857143,0.0316649831
2,5,0.9918571429,0.034252054
3,5,0.9896428571,0.0364152565
4,5,0.9907142857,0.03341381
5,5,0.9907142857,0.0351430043
6,5,0.9899285714,0.0382108069
7,5,0.9906428571,0.0363475527
8,5,0.9894285714,0.0375698722
9,5,0.9896428571,0.0397106816
10,5,0.9910714286,0.0332264353
11,5,0.9901428571,0.0419276226
12,5,0.9915,0.0306016128
13,5,0.9901428571,0.0372680496
14,5,0.9904285714,0.0319244633
15,5,0.9893571429,0.0327238613
16,5,0.9891428571,0.0392707776
17,5,0.9912142857,0.0293387557
18,5,0.9902857143,0.0346884139
19,5,0.9907142857,0.0330348612
0,5,0.9904285714,0.0324348205
1,5,0.9897142857,0.0384745752
2,5,0.9916428571,0.0343140668
3,5,0.9900714286,0.0347006956
4,5,0.9905714286,0.0399204087
0,10,0.9908571429,0.033116853
1,10,0.9914285714,0.0344739591
2,10,0.9903571429,0.0329443192
3,10,0.9907142857,0.0351159116
4,10,0.9907142857,0.0409764062
5,10,0.9900714286,0.0373477653
6,10,0.9902857143,0.0382420658
7,10,0.9907142857,0.0384370022
8,10,0.9909285714,0.0326019131
9,10,0.9898571429,0.0420446746
10,10,0.9910714286,0.0327148802
11,10,0.9893571429,0.0416499656
12,10,0.991,0.0324113798
13,10,0.9894285714,0.0375454788
14,10,0.9906428571,0.0326896295
15,10,0.9897857143,0.0355586878
16,10,0.9892142857,0.0393394472
17,10,0.9914285714,0.0293658188
18,10,0.9907857143,0.0384018373
19,10,0.9914285714,0.0327263269
0,10,0.9907857143,0.0334113893
1,10,0.9915714286,0.0295236762
2,10,0.9917857143,0.0314660666
3,10,0.9909285714,0.0342192405
4,10,0.9900714286,0.0382623341
0,25,0.9915714286,0.0321329618
1,25,0.9907857143,0.03470335
2,25,0.9908571429,0.0332215415
3,25,0.9911428571,0.0329975726
4,25,0.9899285714,0.0374624339
5,25,0.9895714286,0.0360578946
6,25,0.9896428571,0.0366645988
7,25,0.9898571429,0.0377192052
8,25,0.9885,0.0368506472
