"Run Number","Mutation Number","Percentage","Accuracy","Loss"
0,0,5,0.9905,0.0311167969
0,1,5,0.9898571429,0.0374894529
0,2,5,0.9908571429,0.0315362697
0,3,5,0.9904285714,0.0348065925
0,4,5,0.9897142857,0.0408322192
1,0,5,0.9904285714,0.0366969647
1,1,5,0.9897857143,0.03930332
1,2,5,0.9912857143,0.0346598942
1,3,5,0.9915,0.03109265
1,4,5,0.9909285714,0.0354482941
2,0,5,0.9906428571,0.0340120952
2,1,5,0.991,0.0330238973
2,2,5,0.9912142857,0.0332531751
2,3,5,0.9905714286,0.0327005361
2,4,5,0.9902857143,0.0359447462
3,0,5,0.9900714286,0.031701472
3,1,5,0.9907142857,0.034082995
3,2,5,0.9899285714,0.0367922558
3,3,5,0.9916428571,0.0341277364
3,4,5,0.9907142857,0.0364981193
4,0,5,0.9910714286,0.0315910123
4,1,5,0.9906428571,0.0351280835
4,2,5,0.9919285714,0.0313453317
4,3,5,0.9911428571,0.0320722322
4,4,5,0.989,0.0414868792
0,0,10,0.9902857143,0.0332608063
0,1,10,0.9898571429,0.0351370722
0,2,10,0.9922857143,0.0343352088
0,3,10,0.9905714286,0.0349425766
0,4,10,0.9905,0.0389778844
1,0,10,0.9912857143,0.0319303016
1,1,10,0.9907857143,0.0330651552
1,2,10,0.9919285714,0.0308608375
1,3,10,0.991,0.0344235755
1,4,10,0.9911428571,0.0344486853
2,0,10,0.9903571429,0.0312240333
2,1,10,0.9904285714,0.0352865755
2,2,10,0.9917142857,0.0290677067
2,3,10,0.9907857143,0.0358635523
2,4,10,0.9907857143,0.0354835717
3,0,10,0.9916428571,0.0310796155
3,1,10,0.9905,0.034685184
3,2,10,0.992,0.03141597
3,3,10,0.9903571429,0.0347949451
3,4,10,0.9906428571,0.0339607822
4,0,10,0.9912142857,0.0324490144
4,1,10,0.9902142857,0.0349760505
4,2,10,0.9922857143,0.0316368025
4,3,10,0.9897857143,0.0366004383
4,4,10,0.9904285714,0.0373374167
0,0,25,0.9912142857,0.0307055987
0,1,25,0.9905714286,0.0337954274
0,2,25,0.9910714286,0.0298600018
0,3,25,0.9901428571,0.0375493871
0,4,25,0.9897142857,0.0381867398
1,0,25,0.9906428571,0.0350090297
1,1,25,0.9916428571,0.0315466503
1,2,25,0.9912142857,0.0311779132
1,3,25,0.9908571429,0.0325539342
