"Run Number","Mutation Number","Percentage","Accuracy","Loss"
0,0,5,0.9915,0.0380874387
0,1,5,0.9909285714,0.0367561199
0,2,5,0.9916428571,0.0385774467
0,3,5,0.9897857143,0.0400777388
0,4,5,0.9895,0.0385482185
1,0,5,0.9900714286,0.0407897854
1,1,5,0.9903571429,0.038420921
1,2,5,0.9916428571,0.0343353533
1,3,5,0.9911428571,0.0372540392
1,4,5,0.99,0.0378935794
2,0,5,0.9907142857,0.0341308582
2,1,5,0.9901428571,0.0384698847
2,2,5,0.9912142857,0.0344675728
2,3,5,0.989,0.0447508165
2,4,5,0.9900714286,0.0371780992
3,0,5,0.9914285714,0.0353237392
3,1,5,0.9903571429,0.0376303157
3,2,5,0.9914285714,0.0341819013
3,3,5,0.9911428571,0.0366000125
3,4,5,0.9910714286,0.0369497067
4,0,5,0.9902142857,0.0376376429
4,1,5,0.9902857143,0.0378037756
4,2,5,0.9909285714,0.0335149626
4,3,5,0.9905714286,0.0340557317
4,4,5,0.9902142857,0.0391623479
0,0,10,0.9912857143,0.0429806594
0,1,10,0.9902142857,0.042909354
0,2,10,0.9912142857,0.0439144436
0,3,10,0.99,0.0433439626
0,4,10,0.9907857143,0.0439334893
1,0,10,0.9902857143,0.0525299227
1,1,10,0.9898571429,0.0443731509
1,2,10,0.9906428571,0.0466325706
1,3,10,0.9906428571,0.0442245692
1,4,10,0.9907142857,0.0431660913
2,0,10,0.9910714286,0.0394414197
2,1,10,0.9898571429,0.0464625251
2,2,10,0.9918571429,0.040168665
2,3,10,0.99,0.0440722581
2,4,10,0.9905,0.0426459454
3,0,10,0.9898571429,0.0420833657
3,1,10,0.9897857143,0.048506015
3,2,10,0.9917857143,0.0390381018
3,3,10,0.9902857143,0.0442394504
3,4,10,0.9902857143,0.0453698826
4,0,10,0.9900714286,0.0438826167
4,1,10,0.9910714286,0.0418904982
4,2,10,0.9912857143,0.0413863682
4,3,10,0.9906428571,0.0467010073
4,4,10,0.9873571429,0.05490399
0,0,25,0.9905714286,0.0556182081
0,1,25,0.9909285714,0.0612644347
0,2,25,0.9917142857,0.0566891849
0,3,25,0.9905714286,0.0594691714
0,4,25,0.99,0.073675468
1,0,25,0.9891428571,0.0580523514
1,1,25,0.9896428571,0.0585963047
1,2,25,0.9902857143,0.0613049328
1,3,25,0.9915714286,0.0558444716
1,4,25,0.9904285714,0.0646586694
2,0,25,0.9890714286,0.060697713
2,1,25,0.9895,0.0729344186
2,2,25,0.9907142857,0.0567515768
2,3,25,0.9896428571,0.0679293726
2,4,25,0.9898571429,0.0635215607
3,0,25,0.9905,0.0619353145
3,1,25,0.9889285714,0.0591527466
3,2,25,0.9917142857,0.0605152628
3,3,25,0.9873571429,0.0735724804
3,4,25,0.9907142857,0.0510487909
4,0,25,0.9902142857,0.0573754025
4,1,25,0.9898571429,0.0676329269
4,2,25,0.9913571429,0.0510757677
4,3,25,0.9908571429,0.0584369444
4,4,25,0.9894285714,0.0593573874
0,0,50,0.9725714286,0.0946204881
0,1,50,0.9718571429,0.0976142229
0,2,50,0.9306428571,0.1048347925
0,3,50,0.9790714286,0.0935366764
0,4,50,0.9000714286,0.1219907328
1,0,50,0.9765714286,0.0917400735
1,1,50,0.8992857143,0.1252414861
1,2,50,0.9730714286,0.0952376156
1,3,50,0.9481428571,0.1043496898
1,4,50,0.9105714286,0.1140323733
2,0,50,0.8987142857,0.1262570431
2,1,50,0.9276428571,0.1086537855
2,2,50,0.9663571429,0.0956609884
2,3,50,0.9176428571,0.1124166195
2,4,50,0.9337857143,0.1061719346
3,0,50,0.9764285714,0.098944969
3,1,50,0.9058571429,0.111679844
3,2,50,0.9279285714,0.1060277642
3,3,50,0.8978571429,0.1144271342
3,4,50,0.9591428571,0.1062432317
4,0,50,0.9481428571,0.0978294507
4,1,50,0.9194285714,0.1085606243
4,2,50,0.9168571429,0.1179266892
4,3,50,0.9092142857,0.1142990335
4,4,50,0.905,0.1309474527
0,0,75,0.892,0.2001279969
0,1,75,0.8927857143,0.1378777548
0,2,75,0.8912857143,0.180639591
0,3,75,0.8897857143,0.1630484895
0,4,75,0.8908571429,0.203079432
1,0,75,0.8914285714,0.1706663634
1,1,75,0.8933571429,0.1621235479
1,2,75,0.8915714286,0.1851670795
1,3,75,0.8880714286,0.1793323218
1,4,75,0.8905714286,0.1689185299
2,0,75,0.8921428571,0.1673566997
2,1,75,0.8929285714,0.2332298559
2,2,75,0.8909285714,0.1546693517
2,3,75,0.8893571429,0.1889990154
2,4,75,0.8914285714,0.213464753
3,0,75,0.8922857143,0.1787718285
3,1,75,0.8927857143,0.1554038228
3,2,75,0.8917857143,0.1832192159
3,3,75,0.8889285714,0.1490982424
3,4,75,0.8922142857,0.1832776915
4,0,75,0.8932142857,0.1814032851
4,1,75,0.8932142857,0.1745549398
4,2,75,0.8906428571,0.2146250427
4,3,75,0.8880714286,0.1758348945
4,4,75,0.8936428571,0.2049019798
0,0,80,0.8915,0.1911479174
0,1,80,0.8925714286,0.1759421238
0,2,80,0.8910714286,0.2138240545
0,3,80,0.8892857143,0.2032353857
0,4,80,0.8923571429,0.181221907
1,0,80,0.8937142857,0.1832802047
1,1,80,0.8928571429,0.2431027315
1,2,80,0.8908571429,0.1653982223
1,3,80,0.8892857143,0.2363343884
1,4,80,0.8922857143,0.2019715113
2,0,80,0.8932857143,0.1994795681
2,1,80,0.8923571429,0.2128032887
2,2,80,0.8915,0.2102278579
2,3,80,0.8877142857,0.2770387001
2,4,80,0.8924285714,0.2143019466
3,0,80,0.8918571429,0.2252064161
3,1,80,0.8921428571,0.2002799553
3,2,80,0.8919285714,0.2104396001
3,3,80,0.8890714286,0.273763193
3,4,80,0.8925714286,0.1718153813
4,0,80,0.8918571429,0.1871862671
4,1,80,0.8911428571,0.2213829048
4,2,80,0.8910714286,0.1783060251
4,3,80,0.8897142857,0.2025654544
4,4,80,0.8924285714,0.2121603651
