"Run Number","Mutation Number","Percentage","Accuracy","Loss"
0,0,5,0.9906428571,0.0330657227
0,1,5,0.9908571429,0.0352168539
0,2,5,0.9917142857,0.0327088082
0,3,5,0.9895,0.0405053068
0,4,5,0.9900714286,0.0376030186
1,0,5,0.9903571429,0.0344672648
1,1,5,0.9895,0.0351878629
1,2,5,0.9907142857,0.0326676847
1,3,5,0.9892857143,0.0363092928
1,4,5,0.9899285714,0.0385930174
2,0,5,0.9899285714,0.0347591047
2,1,5,0.9902857143,0.0345252232
2,2,5,0.9912857143,0.0309177756
2,3,5,0.9887857143,0.0416592968
2,4,5,0.9891428571,0.0392067731
3,0,5,0.9901428571,0.0357857027
3,1,5,0.9904285714,0.03215773
3,2,5,0.9915714286,0.0312619393
3,3,5,0.9907857143,0.0442346771
3,4,5,0.9900714286,0.0357880439
4,0,5,0.9907142857,0.0363503589
4,1,5,0.9899285714,0.0344985665
4,2,5,0.9911428571,0.032384321
4,3,5,0.9902857143,0.0349681272
4,4,5,0.9906428571,0.0361350895
0,0,10,0.9902857143,0.039542645
0,1,10,0.9898571429,0.0389903043
0,2,10,0.9907142857,0.0356430381
0,3,10,0.9905714286,0.0740904017
0,4,10,0.9895714286,0.0522158559
1,0,10,0.9901428571,0.04033833
1,1,10,0.9900714286,0.0373702731
1,2,10,0.9908571429,0.0401927108
1,3,10,0.9887142857,0.0519219488
1,4,10,0.9893571429,0.0372242225
2,0,10,0.9897142857,0.0543658042
2,1,10,0.9901428571,0.0343609671
2,2,10,0.9914285714,0.0431471809
2,3,10,0.9902142857,0.0455780617
2,4,10,0.9900714286,0.0453027081
3,0,10,0.9896428571,0.0482563855
3,1,10,0.9899285714,0.0408655186
3,2,10,0.9897142857,0.0533664473
3,3,10,0.9907857143,0.0416807247
3,4,10,0.9893571429,0.0462992336
4,0,10,0.9883571429,0.0402186709
4,1,10,0.9883571429,0.0496634799
4,2,10,0.9908571429,0.0360620181
4,3,10,0.9906428571,0.0396997361
4,4,10,0.9905714286,0.0370646186
0,0,25,0.9897857143,0.0687739025
0,1,25,0.9900714286,0.0586524371
0,2,25,0.9907857143,0.0536976967
0,3,25,0.9901428571,0.0626071598
0,4,25,0.9901428571,0.0752835292
1,0,25,0.9892857143,0.080060007
1,1,25,0.9893571429,0.0578409693
1,2,25,0.9900714286,0.0809353865
1,3,25,0.9890714286,0.0714245614
1,4,25,0.9901428571,0.0606225855
2,0,25,0.99,0.0775012634
2,1,25,0.9900714286,0.068773261
2,2,25,0.9908571429,0.05744343
2,3,25,0.9897142857,0.0633005366
2,4,25,0.9898571429,0.0647784091
3,0,25,0.9903571429,0.0676465242
3,1,25,0.9902857143,0.0706888814
3,2,25,0.9910714286,0.048823167
3,3,25,0.9892142857,0.0591040853
3,4,25,0.9896428571,0.0634233011
4,0,25,0.9898571429,0.0665507977
4,1,25,0.9885,0.0597275591
4,2,25,0.9902142857,0.0752165852
4,3,25,0.9892142857,0.0608260215
4,4,25,0.9907142857,0.0561549551
0,0,50,0.9895714286,0.1006938885
0,1,50,0.9897857143,0.0847281937
0,2,50,0.9894285714,0.1008031942
0,3,50,0.9901428571,0.0986598323
0,4,50,0.9893571429,0.1030006687
1,0,50,0.9903571429,0.1032951402
1,1,50,0.9903571429,0.0844510485
1,2,50,0.9905714286,0.0974761202
1,3,50,0.9892857143,0.1112160556
1,4,50,0.9891428571,0.0938619387
2,0,50,0.9875714286,0.1074923658
2,1,50,0.9891428571,0.112213309
2,2,50,0.9899285714,0.107482832
2,3,50,0.9885,0.1024475388
2,4,50,0.9886428571,0.1046496319
3,0,50,0.9889285714,0.1219302569
3,1,50,0.9867857143,0.1073076191
3,2,50,0.9891428571,0.1209263904
3,3,50,0.9902857143,0.106237474
3,4,50,0.9875,0.1145332902
4,0,50,0.9885714286,0.0943923037
