"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy","Loss"
0,1,5,25,0.9895,0.0390050762
0,2,5,25,0.9905714286,0.0345748021
0,3,5,25,0.9898571429,0.035523209
0,4,5,25,0.9905714286,0.0312626938
0,,5,25,0.9909285714,0.0326912433
1,1,5,25,0.9905714286,0.0330898042
1,2,5,25,0.9911428571,0.0348197334
1,3,5,25,0.9911428571,0.0342755582
1,4,5,25,0.9913571429,0.0318245201
1,,5,25,0.9895,0.0387698121
2,1,5,25,0.9914285714,0.0354848511
2,2,5,25,0.9909285714,0.0348366245
2,3,5,25,0.991,0.0303238059
2,4,5,25,0.9913571429,0.0368093429
2,,5,25,0.9917142857,0.0330535536
3,1,5,25,0.9905714286,0.0341237597
3,2,5,25,0.9907142857,0.0357146772
3,3,5,25,0.9907142857,0.0331409141
3,4,5,25,0.9902142857,0.0355088445
3,,5,25,0.9900714286,0.0363757513
4,1,5,25,0.9904285714,0.0371560544
4,2,5,25,0.991,0.0364630878
4,3,5,25,0.9912142857,0.0354329204
4,4,5,25,0.9906428571,0.0364637171
4,,5,25,0.9897857143,0.0395847824
0,1,5,50,0.9906428571,0.0324207728
0,2,5,50,0.9906428571,0.0313688656
0,3,5,50,0.9916428571,0.0313517221
0,4,5,50,0.9902857143,0.0348852235
0,,5,50,0.9915714286,0.0300408591
1,1,5,50,0.9907857143,0.0378995477
1,2,5,50,0.9900714286,0.037360621
1,3,5,50,0.9915714286,0.0318881566
1,4,5,50,0.9911428571,0.0320246371
1,,5,50,0.9900714286,0.0399014227
2,1,5,50,0.9912142857,0.0317534977
2,2,5,50,0.9905714286,0.0342521734
2,3,5,50,0.9905714286,0.0351119264
2,4,5,50,0.9915,0.0331898029
2,,5,50,0.9910714286,0.0375655085
3,1,5,50,0.9892142857,0.0352124623
3,2,5,50,0.9897142857,0.0377445964
3,3,5,50,0.9907857143,0.0347314374
3,4,5,50,0.9910714286,0.0344217727
3,,5,50,0.9912857143,0.0316342966
4,1,5,50,0.9904285714,0.0402399883
4,2,5,50,0.9901428571,0.0361196136
4,3,5,50,0.989,0.0442305174
4,4,5,50,0.9905714286,0.0345505567
4,,5,50,0.9892142857,0.0360974048
0,1,5,75,0.9915,0.0303445942
0,2,5,75,0.9911428571,0.0300374711
0,3,5,75,0.9901428571,0.0344908652
0,4,5,75,0.9894285714,0.0380157297
0,,5,75,0.9899285714,0.0341924614
1,1,5,75,0.9910714286,0.0296754226
1,2,5,75,0.991,0.0373931134
1,3,5,75,0.9917142857,0.0350204081
1,4,5,75,0.9909285714,0.0350122962
1,,5,75,0.9907142857,0.0355051481
2,1,5,75,0.9906428571,0.033969014
2,2,5,75,0.9910714286,0.0344405463
2,3,5,75,0.9906428571,0.0354716085
2,4,5,75,0.9908571429,0.0375571302
2,,5,75,0.9904285714,0.0374545244
3,1,5,75,0.9910714286,0.0326669035
