"Run Number","Mutation Number","Loss","Accuracy"
0,0,0.0345924995,0.9906428571
0,1,0.0318072356,0.9907857143
0,2,0.0295210495,0.9917142857
0,3,0.0315011274,0.991
0,4,0.036374003,0.9905714286
1,0,0.0327278068,0.9908571429
1,1,0.0290407506,0.9917142857
1,2,0.034201634,0.9892142857
1,3,0.0309622044,0.9908571429
1,4,0.0346542234,0.9898571429
2,0,0.0316572987,0.9914285714
2,1,0.033652459,0.9917857143
2,2,0.0324963365,0.9911428571
2,3,0.034754556,0.9915714286
2,4,0.0340826978,0.9913571429
3,0,0.034373583,0.9912142857
3,1,0.0380250257,0.9905714286
3,2,0.0328930295,0.9902857143
3,3,0.0352229879,0.9904285714
3,4,0.0368702311,0.9895
4,0,0.0401265075,0.9893571429
4,1,0.0398613614,0.9893571429
4,2,0.0397931524,0.9897142857
4,3,0.036207875,0.9905
4,4,0.0393459346,0.9908571429
