"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,1,0.9879677,0.992571,0.9899315408,0.98991974196,0.00119463096384728,1,"negligible",0.950059496403447,"nk","bla bla","nk",0.972597981844221,"nk",0,0,0
"2",2,2,0.9882284,0.99198836,0.989955006,0.98991974196,0.00112341014674072,1,"negligible",0.95056049776394,"nk","bla bla","nk",0.91582708883518,"nk",0,0,0
"3",3,3,0.98767424,0.993008,0.9898199384,0.98991974196,0.00124900742008298,1,"negligible",0.953912518913077,"nk","bla bla","nk",0.776376088436481,"nk",0,0,0
"4",4,4,0.9875275,0.993008,0.9897844356,0.98991974196,0.00134729020942062,1,"negligible",0.95645408878772,"nk","bla bla","nk",0.711514228836876,"nk",0,0,0
"5",5,5,0.9879677,0.99286234,0.989622,0.98991974196,0.00122829521014561,1,"small",0.976086608085446,"nk","bla bla","nk",0.394377427253839,"nk",0,0,0
"6",6,6,0.98486406,0.9924253,0.9886119144,0.98991974196,0.00181267509237746,1,"large",0.99999343245626,"nk","bla bla","nk",0.00437086970349089,"k",0,0,0
"7",7,7,0.98051476,0.99098444,0.9868615952,0.98991974196,0.00219893607998677,1,"large",1,"nk","bla bla","nk",1.89976257462043e-07,"k",0,0,0
"8",8,8,0.97505504,0.98936635,0.9847559464,0.98991974196,0.00403632208242735,1,"large",1,"nk","bla bla","nk",1.62938831631082e-07,"k",0.16,0,0
"9",9,9,0.9870873,0.99359065,0.9896554264,0.98991974196,0.00156219071279695,1,"negligible",0.967912008065355,"nk","bla bla","nk",0.508312247799798,"nk",0,0,0
"10",10,10,0.98425543,0.9911143,0.9875306904,0.98991974196,0.00178222719510935,1,"large",0.999999999999997,"nk","bla bla","nk",1.30447308054256e-06,"k",0,0,0
"11",11,11,0.9603025,0.9898034,0.9822723864,0.98991974196,0.00586132563989574,1,"large",1,"nk","bla bla","nk",6.42404853392943e-08,"k",0.2,0,0
"12",12,12,0.89743966,0.98602116,0.9653711076,0.98991974196,0.0193608521435803,1,"large",1,"nk","bla bla","nk",7.91707886612943e-08,"k",0.72,0.04,0
"13",13,13,0.98633355,0.9924253,0.989393858,0.98991974196,0.00113316064662076,1,"small",0.995842850627602,"nk","bla bla","nk",0.121091933689742,"nk",0,0,0
"14",14,14,0.97527957,0.9895665,0.98556886,0.98991974196,0.00365535333481252,1,"large",0.999999999999999,"nk","bla bla","nk",8.71011109663403e-07,"k",0.08,0,0
"15",15,15,0.94552076,0.98723406,0.9786670576,0.98991974196,0.00979728451134986,1,"large",1,"nk","bla bla","nk",7.21218347568512e-07,"k",0.4,0,0
"16",16,16,0.8739985,0.98429936,0.9531585504,0.98991974196,0.0330794282987007,1,"large",0.999999999999998,"nk","bla bla","nk",1.19978860635967e-06,"k",0.88,0.28,0.08
"17",17,17,0.98532647,0.992571,0.9890175644,0.98991974196,0.00197193121886701,1,"medium",0.998855039819401,"nk","bla bla","nk",0.0576809952731464,"nk",0,0,0
"18",18,18,0.96909946,0.989949,0.9843776572,0.98991974196,0.00421661312544847,1,"large",1,"nk","bla bla","nk",8.34582804614396e-08,"k",0.12,0,0
"19",19,19,0.85691434,0.9883467,0.9676777528,0.98991974196,0.026212486209096,1,"large",0.999999999188186,"nk","bla bla","nk",0.00010177617392575,"k",0.8,0.08,0.04
"20",20,20,0.81467354,0.97426206,0.9239465556,0.98991974196,0.0403204984830794,1,"large",1,"nk","bla bla","nk",1.1896916523047e-10,"k",1,0.48,0.16
