"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.9869040612,0.9930080117,0.989865903992,0.98991974196,0.00144507420159517,1,"negligible",0.951000473549137,"nk","bla bla","nk",0.88746274243176,"nk",0,0,0
"2",2,10,0.9876561352,0.9919883467,0.989561996904,0.98991974196,0.00122242573350781,1,"small",0.982848819891647,"nk","bla bla","nk",0.305805452015896,"nk",0,0,0
"3",3,25,0.9876397881,0.992425346,0.989767230312,0.98991974196,0.00138554512897789,1,"negligible",0.9578255926319,"nk","bla bla","nk",0.681553359461002,"nk",0,0,0
"4",4,50,0.9848771267,0.9921340131,0.989071834884,0.98991974196,0.00164955357573906,1,"medium",0.999294180606327,"nk","bla bla","nk",0.0442960703071273,"k",0,0,0
"5",5,75,0.9848640705,0.9905316824,0.987678133188,0.98991974196,0.00158410715589085,1,"large",0.999999999999999,"nk","bla bla","nk",1.00651579042703e-06,"k",0,0,0
"6",6,80,0.9816311536,0.9898033503,0.986363724356,0.98991974196,0.00206030781090539,1,"large",1,"nk","bla bla","nk",1.65476540361628e-09,"k",0,0,0
"7",7,85,0.9816311536,0.9873270211,0.984588984192,0.98991974196,0.00195320859579469,1,"large",1,"nk","bla bla","nk",1.73037099103435e-15,"k",0,0,0
"8",8,90,0.9759354364,0.9879096868,0.981820243252,0.98991974196,0.00337673199936518,1,"large",1,"nk","bla bla","nk",4.27326184527635e-15,"k",0.32,0,0
"9",9,95,0.9606749815,0.9809176985,0.973392892664,0.98991974196,0.0049946005067933,1,"large",1,"nk","bla bla","nk",5.98909844706308e-21,"k",1,0,0
"10",10,99,0.8666177548,0.9245144203,0.899410701744,0.98991974196,0.0153673983709506,1,"large",1,"nk","bla bla","nk",2.54592518205176e-32,"k",1,1,0.32
"11",11,100,0.8015008828,0.8129316679,0.808022468068,0.98991974196,0.00390849976888325,1,"large",1,"nk","bla bla","nk",5.8128128201084e-74,"k",1,1,1
