"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.9883908891,0.9930080117,0.990096173124,0.98991974196,0.00121160621479693,1,"negligible",0.961545700429523,"nk","bla bla","nk",0.610473714530867,"nk",0,0,0
"2",2,10,0.9880969875,0.9919883467,0.989797432112,0.98991974196,0.00110184023248652,1,"negligible",0.956445969932678,"nk","bla bla","nk",0.711699891517373,"nk",0,0,0
"3",3,25,0.987803086,0.9922796795,0.989902519692,0.98991974196,0.00125876681174669,1,"negligible",0.950120206224556,"nk","bla bla","nk",0.961046837873481,"nk",0,0,0
"4",4,50,0.9860396767,0.992425346,0.98963802476,0.98991974196,0.00140117556948236,1,"small",0.97182107725677,"nk","bla bla","nk",0.452279962031614,"nk",0,0,0
"5",5,75,0.9872152829,0.9916970138,0.989544359444,0.98991974196,0.00123824415432019,1,"small",0.984371083007547,"nk","bla bla","nk",0.285922584133597,"nk",0,0,0
"6",6,80,0.9869040612,0.9918426803,0.989603029064,0.98991974196,0.00120069505049655,1,"small",0.978706972620354,"nk","bla bla","nk",0.359813332805462,"nk",0,0,0
"7",7,85,0.9863335783,0.9928623452,0.989596616396,0.98991974196,0.0014224200229697,1,"small",0.976181044152246,"nk","bla bla","nk",0.393121672519999,"nk",0,0,0
"8",8,90,0.9869213813,0.9918426803,0.989639133692,0.98991974196,0.0011855952292058,1,"small",0.97462967869174,"nk","bla bla","nk",0.413874189976789,"nk",0,0,0
"9",9,95,0.9879500367,0.9921340131,0.98993700974,0.98991974196,0.00124554655416677,1,"negligible",0.950122154652935,"nk","bla bla","nk",0.960732287996604,"nk",0,0,0
"10",10,99,0.9867569159,0.9918426803,0.989790466524,0.98991974196,0.0012105005082308,1,"negligible",0.9565793642516,"nk","bla bla","nk",0.708663009790278,"nk",0,0,0
"11",11,100,0.9875091844,0.9921340131,0.989626475844,0.98991974196,0.00122962115445454,1,"small",0.975535477666571,"nk","bla bla","nk",0.401724464233506,"nk",0,0,0
