"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.987198352,0.992425346,0.989649309324,0.98991974196,0.00136262756455069,1,"small",0.97101488926022,"nk","bla bla","nk",0.463554274136331,"nk",0,0,0
"2",2,10,0.9863154797,0.9928623452,0.989215759988,0.98991974196,0.00155892557394259,1,"medium",0.997867143151324,"nk","bla bla","nk",0.0818476254752994,"nk",0,0,0
"3",3,25,0.9839611537,0.9912600146,0.988033026592,0.98991974196,0.00167901599514848,1,"large",0.999999999944267,"nk","bla bla","nk",3.74171442570695e-05,"k",0,0,0
"4",4,50,0.8126839317,0.9793996469,0.901046595432,0.98991974196,0.0530613377675208,1,"large",1,"nk","bla bla","nk",6.06301081817268e-11,"k",1,0.72,0.32
"5",5,75,0.7992937022,0.811609111,0.806946295832,0.98991974196,0.00385601864793318,1,"large",1,"nk","bla bla","nk",2.42855531694608e-74,"k",1,1,1
"6",6,80,0.7987051207,0.811609111,0.806933096448,0.98991974196,0.00423368058531586,1,"large",1,"nk","bla bla","nk",1.46748830660567e-72,"k",1,1,1
"7",7,85,0.8000294291,0.811609111,0.806810517988,0.98991974196,0.00389225892841562,1,"large",1,"nk","bla bla","nk",3.52458729071735e-74,"k",1,1,1
"8",8,90,0.7987051207,0.8114621602,0.806699121084,0.98991974196,0.00427044165531997,1,"large",1,"nk","bla bla","nk",2.02428276362806e-72,"k",1,1,1
"9",9,95,0.7991465568,0.8123438648,0.80697451576,0.98991974196,0.00408234591661191,1,"large",1,"nk","bla bla","nk",2.97530127703728e-73,"k",1,1,1
"10",10,99,0.7997351383,0.8119030125,0.807068462224,0.98991974196,0.00420566010291518,1,"large",1,"nk","bla bla","nk",1.13343573718641e-72,"k",1,1,1
"11",11,100,0.8001765745,0.811609111,0.80709146324,0.98991974196,0.00405588662693435,1,"large",1,"nk","bla bla","nk",2.30476095282861e-73,"k",1,1,1
