"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.9882283697,0.9922796795,0.989996500244,0.98991974196,0.00100998577073991,1,"negligible",0.95284377104271,"nk","bla bla","nk",0.809692438130912,"nk",0,0,0
"2",2,10,0.9875091844,0.9930080117,0.989930643556,0.98991974196,0.00139622503431995,1,"negligible",0.950043089846695,"nk","bla bla","nk",0.976680818027805,"nk",0,0,0
"3",3,25,0.987198352,0.9928623452,0.989807529532,0.98991974196,0.00130300401874064,1,"negligible",0.954692618264758,"nk","bla bla","nk",0.754768097225397,"nk",0,0,0
"4",4,50,0.9877869335,0.9918426803,0.989755949428,0.98991974196,0.00106527188404336,1,"negligible",0.961253691365405,"nk","bla bla","nk",0.615650119268905,"nk",0,0,0
"5",5,75,0.9877869335,0.9922796795,0.989972402096,0.98991974196,0.00120663224127841,1,"negligible",0.951160588192342,"nk","bla bla","nk",0.878760183693586,"nk",0,0,0
"6",6,80,0.9882283697,0.9928623452,0.990043486524,0.98991974196,0.00119059264277725,1,"negligible",0.956156559260282,"nk","bla bla","nk",0.718390637978784,"nk",0,0,0
"7",7,85,0.9882283697,0.9931536781,0.990154594416,0.98991974196,0.00122661782400896,1,"negligible",0.968421124010651,"nk","bla bla","nk",0.500799369033784,"nk",0,0,0
"8",8,90,0.987803086,0.9925710124,0.99007105714,0.98991974196,0.00136578174891344,1,"negligible",0.957827852663733,"nk","bla bla","nk",0.681506068291802,"nk",0,0,0
"9",9,95,0.9877869335,0.9921340131,0.990078065892,0.98991974196,0.0012297043634384,1,"negligible",0.959402498677518,"nk","bla bla","nk",0.649921561098668,"nk",0,0,0
"10",10,99,0.9876397881,0.9925710124,0.990083793168,0.98991974196,0.00131479938403652,1,"negligible",0.959414955471096,"nk","bla bla","nk",0.649681552380872,"nk",0,0,0
"11",11,100,0.9866274798,0.9927166788,0.99020610332,0.98991974196,0.00147743343568758,1,"small",0.971357060352102,"nk","bla bla","nk",0.458753558871587,"nk",0,0,0
