"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.9873622337,0.9922796795,0.989773427812,0.98991974196,0.00124204300279702,1,"negligible",0.958074261144173,"nk","bla bla","nk",0.676386551897645,"nk",0,0,0
"2",2,10,0.9877869335,0.9919883467,0.989679821268,0.98991974196,0.00117927433238397,1,"negligible",0.969628952532694,"nk","bla bla","nk",0.483255092219068,"nk",0,0,0
"3",3,25,0.9869405723,0.992425346,0.98897642522,0.98991974196,0.00125052583391432,1,"medium",0.999965200076661,"nk","bla bla","nk",0.00959311187179151,"k",0,0,0
"4",4,50,0.9839823659,0.9908230153,0.988075289744,0.98991974196,0.0015794959241488,1,"large",0.999999999972028,"nk","bla bla","nk",2.91303585832319e-05,"k",0,0,0
"5",5,75,0.9679647318,0.9845497351,0.97736119346,0.98991974196,0.00442659026707439,1,"large",1,"nk","bla bla","nk",3.55773514664267e-18,"k",0.68,0,0
"6",6,80,0.9634377276,0.9791697014,0.971140676708,0.98991974196,0.00423248371845382,1,"large",1,"nk","bla bla","nk",4.03941325722978e-26,"k",1,0,0
"7",7,85,0.9212032282,0.9685360524,0.953475143068,0.98991974196,0.0113414779502072,1,"large",1,"nk","bla bla","nk",7.64874439026809e-21,"k",1,0.16,0
"8",8,90,0.819227968,0.9178545187,0.86103740366,0.98991974196,0.0308202027045825,1,"large",1,"nk","bla bla","nk",9.63201162914309e-26,"k",1,1,0.8
"9",9,95,0.8015008828,0.813519471,0.808403373372,0.98991974196,0.00393280697355777,1,"large",1,"nk","bla bla","nk",8.42826932731012e-74,"k",1,1,1
"10",10,99,0.8010594467,0.8123816461,0.808214989084,0.98991974196,0.00393034704679486,1,"large",1,"nk","bla bla","nk",7.80282862674226e-74,"k",1,1,1
"11",11,100,0.8015008829,0.8126377664,0.808175414956,0.98991974196,0.00398127316955166,1,"large",1,"nk","bla bla","nk",1.35671807390791e-73,"k",1,1,1
