"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,0.9872152829,0.9925710124,0.990053097896,0.98991974196,0.00138921632951779,1,"negligible",0.956084252009731,"nk","bla bla","nk",0.720084971809257,"nk",0,0,0
"2",2,10,0.9882283697,0.9931536781,0.990041973504,0.98991974196,0.00134661388706667,1,"negligible",0.955335751459088,"nk","bla bla","nk",0.738211416097115,"nk",0,0,0
"3",3,25,0.9880969875,0.9925710124,0.99025899984,0.98991974196,0.00110023256584363,1,"small",0.982734042306516,"nk","bla bla","nk",0.307301300932265,"nk",0,0,0
"4",4,50,0.987803086,0.9925710124,0.989820420848,0.98991974196,0.00115801428963616,1,"negligible",0.954163156921472,"nk","bla bla","nk",0.769226097792949,"nk",0,0,0
"5",5,75,0.9876561352,0.9925710124,0.989701638984,0.98991974196,0.00144974963570564,1,"negligible",0.964070495952264,"nk","bla bla","nk",0.567801788847659,"nk",0,0,0
"6",6,80,0.9870512066,0.9921340131,0.98952782762,0.98991974196,0.00116670415609954,1,"small",0.986960293047922,"nk","bla bla","nk",0.251734404172072,"nk",0,0,0
"7",7,85,0.9873454974,0.9922796795,0.989398550312,0.98991974196,0.00113355522617519,1,"small",0.995651619283787,"nk","bla bla","nk",0.124422632268058,"nk",0,0,0
"8",8,90,0.9876397881,0.9928623452,0.989841805604,0.98991974196,0.00149249395778645,1,"negligible",0.951997512447348,"nk","bla bla","nk",0.840726067220322,"nk",0,0,0
"9",9,95,0.9867569159,0.9927166788,0.989437689872,0.98991974196,0.00153257804490232,1,"small",0.988959910652342,"nk","bla bla","nk",0.224737414137856,"nk",0,0,0
"10",10,99,0.9870512066,0.992425346,0.989386635808,0.98991974196,0.00137129485460091,1,"small",0.993901313845547,"nk","bla bla","nk",0.153142620013576,"nk",0,0,0
"11",11,100,0.9874926427,0.9919883467,0.989409259212,0.98991974196,0.00143195550953958,1,"small",0.992031767171848,"nk","bla bla","nk",0.181399427950119,"nk",0,0,0
