Run Number,Mutation Number,Accuracy1,Loss1,Accuracy2,Loss2
0,2,0.995135511,0.017935308,0.989272594,0.034953496
1,2,0.99375347,0.024717208,0.989258387,0.034936379
2,2,0.994253679,0.017700932,0.991697014,0.029126413
3,2,0.994154489,0.019513288,0.989288335,0.031369422
4,2,0.993822827,0.022519846,0.988221608,0.036146128
5,2,0.992303387,0.028867819,0.989786986,0.032585213
6,2,0.994508589,0.017619046,0.988112496,0.036089937
7,2,0.99467638,0.017749855,0.989070242,0.038054929
8,2,0.993572726,0.021452333,0.990793512,0.035709045
9,2,0.993835808,0.022293556,0.988195861,0.037911281
10,2,0.995278434,0.015916758,0.988527725,0.036478136
11,2,0.996042962,0.011789363,0.989312536,0.038899746
12,2,0.993972526,0.017189173,0.990096126,0.028034216
13,2,0.993171683,0.025701203,0.989595545,0.031670264
14,2,0.993909348,0.016239828,0.98962536,0.032808764
15,2,0.993355482,0.018363644,0.991145218,0.027641642
16,2,0.9944483,0.023643626,0.988668138,0.034600248
17,2,0.995516323,0.01454331,0.990674632,0.033459074
18,2,0.994177987,0.022705103,0.990568818,0.034400066
19,2,0.992616328,0.025035986,0.990032249,0.031473721
0,4,0.994996525,0.018692144,0.98853784,0.037245253
1,4,0.993198223,0.023028667,0.991465568,0.032551887
2,4,0.993973371,0.020382253,0.991988347,0.028581399
3,4,0.991788448,0.028844656,0.98943507,0.029525064
4,4,0.994384389,0.018835044,0.990839029,0.032853589
5,4,0.994122586,0.022220059,0.990078786,0.03205843
6,4,0.994367784,0.019309785,0.987822557,0.035981775
7,4,0.994816475,0.021216035,0.990527543,0.034308611
8,4,0.994969959,0.01980415,0.990647377,0.03236804
9,4,0.993835808,0.022092964,0.989798892,0.036169704
10,4,0.993611998,0.018758029,0.99014561,0.031291144
11,4,0.996184285,0.01346032,0.988157135,0.038015458
12,4,0.996355481,0.014141228,0.991406933,0.026075841
13,4,0.99219621,0.027205152,0.988423212,0.034752411
14,4,0.993909348,0.018299811,0.990201729,0.030812379
15,4,0.992940199,0.019436864,0.991440378,0.027911604
16,4,0.994170715,0.02518157,0.989256806,0.032570097
17,4,0.994255289,0.017917777,0.990674632,0.033083739
18,4,0.995148323,0.019631433,0.989242558,0.032006156
19,4,0.994566732,0.019182852,0.99135151,0.02883175
0,9,0.994440584,0.019996233,0.988096988,0.036192831
1,9,0.993198223,0.025292646,0.987786933,0.038162296
2,9,0.994253679,0.019201324,0.991405681,0.031243088
3,9,0.994154489,0.023026105,0.988701394,0.03707542
4,9,0.993120876,0.023412064,0.988221608,0.041044526
5,9,0.992583263,0.027226618,0.988619784,0.036382563
6,9,0.993804562,0.024165791,0.988112496,0.039739608
7,9,0.992715046,0.025767097,0.98703002,0.043621235
8,9,0.992315216,0.023897649,0.987432413,0.040579674
9,9,0.993555618,0.024825408,0.988778782,0.036084294
10,9,0.99305652,0.023215392,0.988527725,0.037749846
11,9,0.995053703,0.014901997,0.987435009,0.046618103
12,9,0.994393047,0.01889455,0.990387416,0.029718376
13,9,0.990942029,0.03101273,0.987690504,0.041579813
14,9,0.994475921,0.017539833,0.988040346,0.039127622
15,9,0.991140642,0.026147687,0.989817001,0.035059456
16,9,0.991256072,0.032113585,0.985724798,0.044652521
17,9,0.994675634,0.016388136,0.989217543,0.033420762
18,9,0.995286942,0.018498341,0.990274094,0.031497421
19,9,0.993730844,0.021173206,0.987980064,0.036729179
0,12,0.187630299,6.238901481,0.201028655,6.653303496
1,12,0.395197113,10.341816,0.190847557,1.19E-07
2,12,0.04302733,3.719388771,0.209468318,10.6443653
3,12,0.005427975,2.506748282,0.196625092,7.196761033
4,12,0.52730591,1.45123798,0.337065581,8.075529193
5,12,0.194374475,7.909939161,0.184709659,6.490508256
6,12,0.38228668,8.978661299,0.208611192,10.68719291
7,12,0.397170076,9.863870784,0.197027106,6.677899397
8,12,0.199804387,6.892921244,0.175946222,7.599064538
9,12,0.491594284,2.207165348,0.116584086,1.600765733
10,12,0.199416748,7.981825994,0.216649507,3.942674476
11,12,0.005794234,3.756372042,0.002455228,4.308902929
12,12,0.225259322,3.867980498,0.199097,6.341744807
13,12,0.221014493,9.245766871,0.205158265,5.893905679
14,12,0.225070822,6.965021159,0.087319885,7.992486095
15,12,0.190753045,6.537277869,0.213252656,9.816909658
16,12,0.001943095,7.59009379,0.661810155,1.421178617
17,12,0.195460277,6.626102319,0.185487396,11.53775048
18,12,0.27571389,2.502157659,0.747421161,1.423675818
19,12,0.821955977,1.107561249,0.002198769,1.239870209
