Run Number,Mutation Number,Accuracy1,Loss1,Accuracy2,Loss2
0,13,0.995135511,0.018293629,0.989125643,0.033211164
1,13,0.993614659,0.025778256,0.98852266,0.037961232
2,13,0.994533987,0.018663626,0.991551347,0.028533109
3,13,0.99512874,0.019927878,0.990168745,0.02949342
4,13,0.993963218,0.021400151,0.99025738,0.032330737
5,13,0.988944864,0.034708942,0.990370587,0.03117925
6,13,0.994649395,0.019542201,0.989562192,0.032831579
7,13,0.99467638,0.019433684,0.988050131,0.038424195
8,13,0.994830236,0.01856493,0.989624434,0.035277657
9,13,0.994115999,0.023564243,0.989944623,0.034185464
10,13,0.995556173,0.015126668,0.99014561,0.033455622
11,13,0.996608253,0.01107273,0.988012709,0.039659801
12,13,0.994533221,0.016769884,0.990096126,0.029803311
13,13,0.99345039,0.025215986,0.990328253,0.03136057
14,13,0.995184136,0.015406566,0.989769452,0.032375025
15,13,0.993493909,0.018246247,0.990997639,0.029150615
16,13,0.99389313,0.024792837,0.988373804,0.032798579
17,13,0.994535519,0.016358887,0.988926126,0.034487226
18,13,0.9957028,0.01769903,0.989537283,0.029399328
19,13,0.995402619,0.01706067,0.989885664,0.031842725
0,15,0.994996525,0.018149628,0.987803086,0.0374049
1,15,0.994031094,0.02282149,0.989846969,0.035274768
2,15,0.993973371,0.018816886,0.992134013,0.03009316
3,15,0.994432846,0.018528632,0.99002201,0.033186715
4,15,0.994524779,0.021243677,0.989966555,0.031385761
5,15,0.993562832,0.023780244,0.989786986,0.031422393
6,15,0.994649395,0.017434562,0.987242679,0.036349009
7,15,0.994396189,0.020544414,0.989798892,0.034141863
8,15,0.995109683,0.017890516,0.98918603,0.034435772
9,15,0.994256094,0.0236821,0.989653162,0.036173036
10,15,0.995278434,0.01536753,0.988527725,0.035790859
11,15,0.996184285,0.012102081,0.989601386,0.037360261
12,15,0.994813569,0.015423955,0.991115642,0.028515655
13,15,0.990802676,0.032325663,0.989742087,0.032872683
14,15,0.994475921,0.017870743,0.98962536,0.031925897
15,15,0.994047619,0.01768236,0.992030697,0.027059989
16,15,0.993754337,0.022799904,0.987785136,0.038484688
17,15,0.994675634,0.015035738,0.989946088,0.036244294
18,15,0.995148323,0.018960606,0.991305629,0.030403711
19,15,0.99512399,0.016342171,0.991058341,0.029534269
0,17,0.99485754,0.018975864,0.989713446,0.033547577
1,17,0.994031094,0.022892045,0.98852266,0.036009143
2,17,0.992852137,0.02307736,0.992716679,0.027457839
3,17,0.996520529,0.01629021,0.989875275,0.030515403
4,17,0.993261266,0.022638628,0.989530318,0.034837406
5,17,0.993842709,0.022048434,0.988182083,0.035777185
6,17,0.992396508,0.025989904,0.988982314,0.035712737
7,17,0.995096666,0.021115238,0.990090353,0.037391901
8,17,0.993153556,0.022542112,0.989039895,0.03515328
9,17,0.994816475,0.02196449,0.989070242,0.03538923
10,17,0.993750868,0.019140699,0.988233564,0.035777958
11,17,0.996749576,0.012493742,0.989023686,0.035884629
12,17,0.996075133,0.016021445,0.989950481,0.028434011
13,17,0.994147157,0.021998822,0.988716295,0.036557624
14,17,0.995184136,0.013986715,0.990345821,0.028125738
15,17,0.993632337,0.018025736,0.991292798,0.027022737
16,17,0.994031922,0.023191872,0.988815305,0.032874667
17,17,0.994395404,0.014901772,0.990383214,0.0289132
18,17,0.995009703,0.018809878,0.989832007,0.03083324
19,17,0.994427417,0.019896701,0.991204925,0.030441658
0,18,0.995413482,0.017314394,0.988096988,0.036931367
1,18,0.994308717,0.022033269,0.988964097,0.035983472
2,18,0.994533987,0.018371572,0.991405681,0.0305783
3,18,0.994293667,0.020749562,0.988994864,0.034139025
4,18,0.994384389,0.020227353,0.990402792,0.032220183
5,18,0.993842709,0.022018104,0.989495185,0.032667719
6,18,0.995494227,0.016129873,0.989272253,0.035963866
7,18,0.99467638,0.019314219,0.990381813,0.033849639
8,18,0.995249406,0.017863497,0.989332164,0.032773755
9,18,0.992855141,0.023022451,0.990381813,0.034485209
10,18,0.995000694,0.018009829,0.988233564,0.036067164
11,18,0.996042962,0.012442082,0.98859041,0.0385872
12,18,0.995093916,0.015251759,0.990678707,0.026043334
13,18,0.994147157,0.023591879,0.99003517,0.03448447
14,18,0.995609065,0.015187316,0.989769452,0.029968373
15,18,0.993355482,0.01992324,0.991587957,0.027089663
16,18,0.994031922,0.022478381,0.989109639,0.033909074
17,18,0.994395404,0.015046015,0.990237505,0.031381397
18,18,0.994871084,0.019193499,0.989832007,0.029613476
19,18,0.994706046,0.017862306,0.990618587,0.031196454
0,19,0.995691452,0.017040037,0.989566495,0.03353422
1,19,0.994863964,0.02128757,0.987786934,0.038033115
2,19,0.993693062,0.017969268,0.991697014,0.028926273
3,19,0.994850383,0.018341797,0.98943507,0.031359755
4,19,0.994524779,0.020292423,0.990693616,0.03237618
5,19,0.993982648,0.020136269,0.988182083,0.0340894
6,19,0.994649395,0.018927982,0.989707161,0.030932067
7,19,0.994115999,0.021447429,0.987758671,0.039416988
8,19,0.994131619,0.021093187,0.990355107,0.033399661
9,19,0.993975904,0.022148626,0.989507432,0.036003612
10,19,0.995139564,0.017371878,0.988968966,0.031784715
11,19,0.996749576,0.011388162,0.987579434,0.038143703
12,19,0.993832352,0.021575527,0.991698223,0.025818861
13,19,0.992474916,0.025489759,0.989888628,0.034113587
14,19,0.995042493,0.015368501,0.990778098,0.027866007
15,19,0.994047619,0.019148367,0.990850059,0.027194377
16,19,0.994309507,0.022928436,0.987049301,0.035875361
17,19,0.995095979,0.015637863,0.990674632,0.031617891
18,19,0.995009703,0.018687675,0.990274094,0.030872351
19,19,0.994984675,0.019818083,0.990911756,0.030946575
0,22,0.993745657,0.023226559,0.983982366,0.049702263
1,22,0.991948917,0.028426958,0.985138317,0.048157864
2,22,0.992291521,0.024813784,0.988346686,0.041354358
3,22,0.993319415,0.02546547,0.985473221,0.044932722
4,22,0.992418925,0.027616386,0.986331249,0.04202509
5,22,0.991743633,0.028863546,0.98584768,0.045598516
6,22,0.99295973,0.023182858,0.986372862,0.045815485
7,22,0.992715046,0.027264135,0.984844069,0.053106395
8,22,0.992594663,0.02780904,0.984801987,0.051419294
9,22,0.992434856,0.029383767,0.981929467,0.057903393
10,22,0.99305652,0.022807554,0.984556552,0.048218925
11,22,0.995477671,0.016524435,0.985701906,0.050121191
12,22,0.988926269,0.03311045,0.986746286,0.041451125
13,22,0.990942029,0.033476056,0.985932005,0.051237378
14,22,0.992634561,0.023280183,0.984726225,0.047052066
15,22,0.992801772,0.024658152,0.989226682,0.041095441
16,22,0.991533657,0.035154266,0.984841795,0.049252267
