Run Number,Mutation Number,Accuracy1,Loss1,Accuracy2,Loss2
0,1,0.992216817,0.026211909,0.985745775,0.045552116
1,1,0.991532482,0.028660394,0.986021189,0.044894549
2,1,0.991871058,0.025501221,0.988783685,0.038581846
3,1,0.991649269,0.029361483,0.987967718,0.039919608
4,1,0.991716973,0.026691151,0.986476661,0.043888312
5,1,0.990764064,0.029923697,0.984680479,0.047004865
6,1,0.991692481,0.029399703,0.982313714,0.049499688
7,1,0.991734379,0.026516582,0.981783737,0.056556291
8,1,0.992035769,0.027712519,0.9861172,0.047047788
9,1,0.990753713,0.031386518,0.983532498,0.049978773
10,1,0.992084433,0.025107163,0.984997794,0.0463251
11,1,0.994205766,0.018509807,0.985557481,0.048621023
12,1,0.992710962,0.023508157,0.987183222,0.040869705
13,1,0.989269788,0.033752691,0.986518171,0.040235449
14,1,0.992776204,0.02349355,0.986887608,0.041778307
15,1,0.99127907,0.027495604,0.987898465,0.036479446
16,1,0.990978487,0.032813068,0.98513613,0.046121746
17,1,0.992153566,0.025622624,0.987177619,0.042175883
18,1,0.991960078,0.028080723,0.986590038,0.042360475
19,1,0.990526609,0.031195454,0.986074465,0.043403121
0,3,0.992216817,0.027084254,0.985892726,0.043961823
1,3,0.991671294,0.029246304,0.986021189,0.043628894
2,3,0.990469516,0.027326629,0.986890022,0.040576317
3,3,0.992623521,0.025697366,0.986060161,0.044072234
4,3,0.991295802,0.027566905,0.986040425,0.043411371
5,3,0.991463756,0.031268054,0.98599358,0.045714154
6,3,0.992537313,0.023406828,0.984923166,0.043021844
7,3,0.990193331,0.029742647,0.981492276,0.059551274
8,3,0.993153556,0.025765065,0.9861172,0.045368948
9,3,0.992574951,0.030669851,0.983823958,0.050811441
10,3,0.99305652,0.02109173,0.986027357,0.040909381
11,3,0.99392312,0.019717341,0.986279607,0.044527064
12,3,0.993692178,0.021225732,0.986454996,0.039900368
13,3,0.988154961,0.038193781,0.98637163,0.043160764
14,3,0.992209632,0.023072439,0.986167147,0.040718705
15,3,0.992248062,0.025406994,0.990112161,0.034301782
16,3,0.99111728,0.032037033,0.984400294,0.048053202
