Run Number,Mutation Number,Accuracy1,Loss1,Accuracy2,Loss2
0,0,0.994301598,0.019513414,0.989125643,0.032955474
0,1,0.99305073,0.025937467,0.988243938,0.035011604
0,2,0.994579569,0.019404046,0.987068332,0.036440968
0,3,0.99485754,0.019428989,0.987656135,0.038725201
0,4,0.994996525,0.019351238,0.988243938,0.034143337
1,0,0.993337035,0.022236989,0.989258387,0.034056536
1,1,0.993475847,0.025633688,0.99014126,0.034617915
1,2,0.994586341,0.020704547,0.98852266,0.035634424
1,3,0.994031094,0.022907349,0.989258387,0.036906966
1,4,0.99375347,0.02131924,0.988816951,0.035671625
2,0,0.993552908,0.020877502,0.991260015,0.028881894
2,1,0.995094604,0.016773377,0.992716679,0.026344985
2,2,0.99495445,0.017034312,0.991405681,0.029832767
2,3,0.994393833,0.02024414,0.989949017,0.02978902
2,4,0.993973371,0.020874471,0.991405681,0.029073208
3,0,0.993458594,0.023337537,0.988848129,0.034620908
3,1,0.994989562,0.01801926,0.987527513,0.039031597
3,2,0.994432846,0.01970026,0.988848129,0.032036287
3,3,0.995407098,0.018230364,0.99002201,0.031741136
3,4,0.994432846,0.018669727,0.990902421,0.030203961
4,0,0.99494595,0.020254309,0.989675731,0.034410845
4,1,0.99522673,0.019110415,0.989966555,0.031383769
4,2,0.994665169,0.019885445,0.988512433,0.035295685
4,3,0.994243998,0.021857734,0.990402792,0.0342664
4,4,0.994243998,0.021737129,0.99025738,0.03224266
