"Run Number","Mutation Number","Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
0,0,5,0.9959694232,0.0167555346,0.9895664952,0.0325436368
0,1,5,0.9945795691,0.0193585763,0.9891256429,0.0339399022
0,2,5,0.9954134816,0.0176443729,0.9891256429,0.0341914118
0,3,5,0.9943015983,0.0191282177,0.9888317414,0.035732356
0,4,5,0.9951355108,0.0184631033,0.9885378398,0.0367046168
1,0,5,0.9944475292,0.0217245832,0.9894055327,0.0339810862
1,1,5,0.9934758468,0.0242863077,0.9899941142,0.0362899192
1,2,5,0.9943087174,0.0221506749,0.9874926428,0.0387327409
1,3,5,0.9938922821,0.0246386992,0.9888169512,0.0365648716
1,4,5,0.9934758468,0.0240081728,0.9869040612,0.0384882606
2,0,5,0.9949544499,0.0166042515,0.9930080117,0.0258646675
2,1,5,0.9938332165,0.0179302938,0.9922796795,0.0271469052
2,2,5,0.9922915207,0.02642333,0.9895120175,0.0328432583
2,3,5,0.9941135249,0.0204516267,0.9911143481,0.032047956
2,4,5,0.9953749124,0.016589961,0.9925710124,0.0289353935
3,0,5,0.9934585943,0.0222201907,0.9903154806,0.0332240327
3,1,5,0.9948503827,0.0183213194,0.9901687454,0.0320998642
3,2,5,0.9956854558,0.0170849581,0.9901687454,0.0305407299
3,3,5,0.9944328462,0.0186048911,0.9888481291,0.0362299667
3,4,5,0.9949895616,0.0190668756,0.988701394,0.0345556485
4,0,5,0.9946651692,0.0195592675,0.9909844409,0.0324307564
4,1,5,0.9936824372,0.0219757667,0.9901119674,0.0335786751
4,2,5,0.9945247789,0.0211343447,0.9896757307,0.0348310733
4,3,5,0.9948055595,0.0191071088,0.9904027919,0.0319686904
4,4,5,0.994103608,0.021295225,0.9909844409,0.0312938393
0,0,10,0.9951355108,0.0181608751,0.9880969875,0.0329854031
0,1,10,0.9956914524,0.0175864603,0.9900073475,0.032923849
0,2,10,0.9941626129,0.0188807457,0.9876561352,0.0363716998
0,3,10,0.99485754,0.0209995608,0.9889786921,0.0358699553
0,4,10,0.9944405837,0.0228355791,0.9879500367,0.0379181511
1,0,10,0.9936146585,0.025502343,0.9886698058,0.0356609145
1,1,10,0.9922265408,0.0280700981,0.9902884049,0.0326427354
1,2,10,0.9929205997,0.0238735627,0.9888169512,0.0346622183
1,3,10,0.9945863409,0.0222651402,0.9882283697,0.0372643805
1,4,10,0.9943087174,0.0202782445,0.9882283697,0.0384567941
2,0,10,0.9952347582,0.0173999614,0.991405681,0.0298560101
2,1,10,0.9938332165,0.0190831731,0.9909686817,0.0329418713
2,2,10,0.9938332165,0.0193138736,0.9906773489,0.0299136672
2,3,10,0.9946741416,0.0195959997,0.9919883467,0.0297093407
2,4,10,0.9950946041,0.0167780052,0.990386016,0.0320716476
3,0,10,0.9924843424,0.024902033,0.9892883346,0.033948674
3,1,10,0.9954070981,0.0163980017,0.9900220103,0.0308104938
3,2,10,0.9948503827,0.0212198474,0.9884079237,0.0332707326
3,3,10,0.9951287404,0.0192991658,0.9878209831,0.0334650908
3,4,10,0.991927627,0.027408169,0.9900220103,0.0346866641
