"Run Number","Mutation Number","Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
0,0,5,0.9954134816,0.0174070179,0.9891256429,0.0342680074
0,1,5,0.99485754,0.0190246522,0.9895664952,0.0337259355
0,2,5,0.9951355108,0.0184842927,0.9895664952,0.0342893734
0,3,5,0.9941626129,0.0196662003,0.9889786921,0.0342756041
0,4,5,0.9944405837,0.0195784504,0.9891256429,0.0324774707
1,0,5,0.9944475292,0.0209770228,0.9882283697,0.0396895812
1,1,5,0.9938922821,0.0236720635,0.9880812243,0.036987908
1,2,5,0.9941699056,0.0235651373,0.988375515,0.0367796949
1,3,5,0.9941699056,0.0222154933,0.9904355503,0.0322093689
1,4,5,0.9934758468,0.0255302177,0.9888169512,0.0347011911
2,0,5,0.9948142957,0.0178225182,0.9925710124,0.0286656531
2,1,5,0.9952347582,0.0164244887,0.9916970138,0.031925966
2,2,5,0.9936930624,0.019085792,0.991405681,0.028235654
2,3,5,0.9932725999,0.0223555717,0.9919883467,0.0280908657
2,4,5,0.9946741416,0.0172526313,0.9912600146,0.0311613056
3,0,5,0.9949895616,0.0191117098,0.9888481291,0.0338816417
3,1,5,0.995546277,0.0178821195,0.9888481291,0.0347790293
3,2,5,0.9958246347,0.0157064365,0.9884079237,0.0367468802
3,3,5,0.9941544885,0.0196027538,0.9898752751,0.0321884761
3,4,5,0.9942936674,0.0209658914,0.9892883346,0.0345583585
4,0,5,0.99508634,0.0191555701,0.9905482042,0.0340224436
4,1,5,0.994103608,0.0224641106,0.9906936164,0.0323853351
4,2,5,0.9942439983,0.01947962,0.9896757307,0.0345771299
4,3,5,0.9948055595,0.0221548346,0.9905482042,0.0318538538
4,4,5,0.9946651692,0.0189881496,0.9908390286,0.0323692791
0,0,10,0.9941626129,0.0199508041,0.9886847906,0.0357291428
0,1,10,0.9945795691,0.0193401856,0.9901542983,0.0331811142
0,2,10,0.99485754,0.0200681794,0.9894195445,0.0327300946
0,3,10,0.9947185546,0.0190731863,0.9891256429,0.0348028725
0,4,10,0.9945795691,0.0196296927,0.9898603968,0.0336856442
1,0,10,0.9941699056,0.0233489746,0.9889640966,0.0352678255
1,1,10,0.9950027762,0.0200773635,0.988375515,0.0392220823
1,2,10,0.9947251527,0.0218110025,0.9896998235,0.0369218606
1,3,10,0.9943087174,0.02176306,0.9889640966,0.0362360586
1,4,10,0.9941699056,0.0214144429,0.9894055327,0.0351577048
2,0,10,0.9950946041,0.0160513909,0.9921340131,0.027711165
2,1,10,0.992571829,0.0231702386,0.9916970138,0.0274874966
2,2,10,0.9945339874,0.0180753565,0.9905316824,0.0323488632
2,3,10,0.9943938332,0.0179275773,0.9918426803,0.0279684006
2,4,10,0.994253679,0.0197618958,0.9921340131,0.0273184171
3,0,10,0.9949895616,0.0179367633,0.9903154806,0.0316880909
3,1,10,0.9959638135,0.0179220674,0.9903154806,0.0307930051
3,2,10,0.9948503827,0.0182298114,0.9898752751,0.0332867759
3,3,10,0.9941544885,0.0197806798,0.988701394,0.0329565829
3,4,10,0.9951287404,0.0178660858,0.98972854,0.032486267
4,0,10,0.9948055595,0.0200754414,0.9911298531,0.0325051947
4,1,10,0.9943843886,0.0191489726,0.9883670205,0.0346701264
4,2,10,0.9948055595,0.020191087,0.9912752654,0.0323016074
4,3,10,0.9945247789,0.0201167434,0.9904027919,0.0319745912
4,4,10,0.9945247789,0.019259616,0.9895303185,0.0331585245
0,0,25,0.9949965254,0.0180765366,0.9885378398,0.0381187575
0,1,25,0.99485754,0.0179405384,0.9891256429,0.0318270279
0,2,25,0.9954134816,0.0176542308,0.9895664952,0.033526126
0,3,25,0.9947185546,0.0188403852,0.9898603968,0.0334305117
0,4,25,0.9954134816,0.0192770978,0.9883908891,0.0362678214
1,0,25,0.9930594114,0.0236472346,0.9879340789,0.0383217276
