"Run Number","Mutation Number","Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
0,0,5,0.9943015983,0.024375966,0.9898603968,0.0336874692
0,1,5,0.9952744962,0.0237788468,0.9889786921,0.0335245022
0,2,5,0.9941626129,0.0237122274,0.9894195445,0.0320144139
0,3,5,0.9947185546,0.028099692,0.989713446,0.0329428082
0,4,5,0.9945795691,0.0293707989,0.9891256429,0.0337447397
1,0,5,0.9934758468,0.0346363425,0.9894055327,0.0352015031
1,1,5,0.9943087174,0.0316934925,0.9882283697,0.036669468
1,2,5,0.9938922821,0.0302113718,0.9898469688,0.0316693284
1,3,5,0.9929205997,0.0339052356,0.9889640966,0.0359301641
1,4,5,0.9938922821,0.0304353503,0.9904355504,0.0338765519
2,0,5,0.9941135249,0.0272786112,0.9906773489,0.0321442077
2,1,5,0.9941135249,0.0295083043,0.9919883467,0.0278155236
2,2,5,0.9935529082,0.0284212162,0.9922796795,0.0287533229
2,3,5,0.9948142957,0.0290368434,0.9915513474,0.0281136615
2,4,5,0.9920112123,0.0319369076,0.9909686817,0.0296504631
3,0,5,0.995546277,0.0280421855,0.9894350697,0.0326810809
3,1,5,0.9942936674,0.0265178164,0.9889948643,0.0317139222
3,2,5,0.9933194154,0.0264803467,0.9900220103,0.0321633715
3,3,5,0.9945720251,0.029818302,0.9900220103,0.0336655962
3,4,5,0.9831593598,0.0631487877,0.9894350697,0.0311268984
4,0,5,0.994103608,0.0246426123,0.9914206776,0.0320968286
4,1,5,0.9934016566,0.0271140358,0.9902573797,0.0320402485
4,2,5,0.9936824372,0.0295172025,0.9901119674,0.0304307114
4,3,5,0.994103608,0.0337610031,0.9893849062,0.0350641577
4,4,5,0.9943843886,0.0351967631,0.9893849062,0.0330027829
0,0,10,0.99485754,0.0382404032,0.9892725937,0.0318350715
0,1,10,0.9941626129,0.0412959426,0.9875091844,0.0383488295
0,2,10,0.9944405837,0.0420663538,0.9882439383,0.036335567
0,3,10,0.9938846421,0.0386390966,0.9907421014,0.0323237989
0,4,10,0.9945795691,0.040187282,0.9889786921,0.0358381848
1,0,10,0.993337035,0.0509759905,0.9891112419,0.0348521883
1,1,10,0.9931982232,0.052426528,0.9889640966,0.0348334615
1,2,10,0.9930594114,0.045099716,0.988375515,0.0350301229
1,3,10,0.9945863409,0.0404665737,0.988375515,0.0373688711
1,4,10,0.9943087174,0.0337514939,0.988375515,0.0358793769
2,0,10,0.9936930624,0.0595087894,0.9930080117,0.0260256873
2,1,10,0.9948142957,0.0416215572,0.9906773489,0.0324042878
2,2,10,0.9946741416,0.0521997427,0.991405681,0.030944139
2,3,10,0.9899088997,0.0479617515,0.9912600146,0.0275888505
2,4,10,0.9943938332,0.04802902,0.9925710124,0.0246950504
3,0,10,0.9947112039,0.030206144,0.9891415994,0.0319286377
3,1,10,0.9945720251,0.0334981653,0.9900220103,0.0292625779
3,2,10,0.9952679193,0.0259099845,0.9913426266,0.0298836836
3,3,10,0.9949895616,0.0336997378,0.9894350697,0.0318833115
3,4,10,0.9938761308,0.0502251824,0.9900220103,0.0298777643
4,0,10,0.9935420469,0.0310907695,0.9902573797,0.0319324304
4,1,10,0.9936824372,0.0389423495,0.9906936164,0.0313115041
4,2,10,0.9949459497,0.0341560074,0.9898211429,0.0333932599
4,3,10,0.9928400955,0.0519750289,0.989239494,0.0337188109
4,4,10,0.9946651692,0.0347489051,0.9914206776,0.0304543741
0,0,25,0.9947185546,0.0739503564,0.9889786921,0.034682805
0,1,25,0.9938846421,0.0765944359,0.9894195445,0.0319043101
0,2,25,0.9945795691,0.076020876,0.9895664952,0.0349147527
